"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,844,546","±11,416","1,844,546","(X)","257,330","±3,380","257,330","(X)","2,356,055","±12,130","2,356,055","(X)","1,127,621","±7,837","1,127,621","(X)","12,468,743","±22,250","12,468,743","(X)","1,975,388","±9,057","1,975,388","(X)","1,351,643","±7,309","1,351,643","(X)","333,192","±3,426","333,192","(X)","268,670","±3,200","268,670","(X)","7,106,283","±31,131","7,106,283","(X)","3,494,542","±15,336","3,494,542","(X)","448,563","±5,562","448,563","(X)","580,193","±6,204","580,193","(X)","4,737,208","±12,865","4,737,208","(X)","2,467,111","±11,107","2,467,111","(X)","1,216,765","±7,072","1,216,765","(X)","1,101,701","±5,567","1,101,701","(X)","1,672,134","±9,367","1,672,134","(X)","1,702,030","±9,725","1,702,030","(X)","552,051","±5,238","552,051","(X)","2,134,517","±9,936","2,134,517","(X)","2,532,067","±9,349","2,532,067","(X)","3,772,433","±14,208","3,772,433","(X)","2,096,477","±7,824","2,096,477","(X)","1,080,991","±8,431","1,080,991","(X)","2,341,074","±10,807","2,341,074","(X)","404,250","±4,567","404,250","(X)","723,800","±4,514","723,800","(X)","982,352","±9,598","982,352","(X)","516,454","±4,150","516,454","(X)","3,167,629","±9,918","3,167,629","(X)","767,285","±6,715","767,285","(X)","7,187,938","±18,167","7,187,938","(X)","3,683,364","±19,202","3,683,364","(X)","283,440","±2,528","283,440","(X)","4,538,555","±15,280","4,538,555","(X)","1,442,731","±7,338","1,442,731","(X)","1,516,979","±8,379","1,516,979","(X)","4,937,333","±13,801","4,937,333","(X)","412,259","±3,948","412,259","(X)","1,768,834","±12,783","1,768,834","(X)","323,215","±3,255","323,215","(X)","2,467,428","±12,592","2,467,428","(X)","8,850,370","±21,114","8,850,370","(X)","884,253","±5,722","884,253","(X)","257,358","±2,656","257,358","(X)","2,990,650","±13,887","2,990,650","(X)","2,632,621","±9,876","2,632,621","(X)","735,408","±6,147","735,408","(X)","2,275,352","±8,388","2,275,352","(X)","222,539","±3,310","222,539","(X)","1,256,151","±8,804","1,256,151","(X)"
"    1.00 or less","1,808,586","±11,651","98.1%","±0.2","239,696","±3,335","93.1%","±0.7","2,244,049","±12,991","95.2%","±0.3","1,100,859","±8,025","97.6%","±0.3","11,435,095","±22,320","91.7%","±0.1","1,924,388","±9,487","97.4%","±0.2","1,325,512","±7,590","98.1%","±0.2","329,073","±3,500","98.8%","±0.3","259,986","±3,485","96.8%","±0.6","6,920,205","±31,528","97.4%","±0.1","3,409,643","±15,712","97.6%","±0.1","406,648","±5,628","90.7%","±0.7","561,027","±6,422","96.7%","±0.4","4,609,476","±15,066","97.3%","±0.1","2,422,620","±11,887","98.2%","±0.2","1,198,374","±7,136","98.5%","±0.1","1,076,605","±6,206","97.7%","±0.2","1,639,946","±9,883","98.1%","±0.2","1,655,007","±10,237","97.2%","±0.2","545,737","±5,205","98.9%","±0.2","2,091,245","±9,984","98.0%","±0.2","2,485,652","±9,264","98.2%","±0.1","3,710,684","±14,507","98.4%","±0.1","2,052,809","±8,053","97.9%","±0.2","1,053,604","±8,379","97.5%","±0.3","2,303,384","±11,303","98.4%","±0.1","396,497","±4,512","98.1%","±0.3","708,964","±4,870","98.0%","±0.3","938,038","±10,605","95.5%","±0.3","509,966","±4,384","98.7%","±0.3","3,048,574","±11,597","96.2%","±0.2","737,376","±6,340","96.1%","±0.3","6,831,558","±19,939","95.0%","±0.1","3,590,758","±19,327","97.5%","±0.1","279,546","±2,573","98.6%","±0.3","4,478,935","±15,625","98.7%","±0.1","1,405,232","±7,443","97.4%","±0.2","1,472,872","±7,832","97.1%","±0.2","4,874,959","±14,801","98.7%","±0.1","404,999","±4,258","98.2%","±0.4","1,733,153","±13,294","98.0%","±0.2","316,313","±3,188","97.9%","±0.4","2,422,561","±13,381","98.2%","±0.1","8,412,251","±22,683","95.0%","±0.1","854,118","±6,084","96.6%","±0.3","253,740","±2,550","98.6%","±0.3","2,932,930","±14,076","98.1%","±0.1","2,555,223","±10,770","97.1%","±0.2","726,151","±5,900","98.7%","±0.2","2,236,422","±8,965","98.3%","±0.1","218,379","±3,098","98.1%","±0.4","1,200,091","±9,090","95.5%","±0.3"
"    1.01 to 1.50","25,977","±2,696","1.4%","±0.1","11,338","±1,573","4.4%","±0.6","74,478","±5,868","3.2%","±0.2","17,817","±2,359","1.6%","±0.2","669,477","±13,221","5.4%","±0.1","39,276","±3,784","2.0%","±0.2","18,123","±2,228","1.3%","±0.2","3,581","±1,011","1.1%","±0.3","3,489","±1,084","1.3%","±0.4","132,999","±7,438","1.9%","±0.1","64,040","±3,977","1.8%","±0.1","28,949","±2,704","6.5%","±0.6","15,027","±2,099","2.6%","±0.4","93,860","±4,752","2.0%","±0.1","35,468","±3,672","1.4%","±0.1","13,898","±1,515","1.1%","±0.1","15,974","±1,763","1.4%","±0.2","22,808","±2,469","1.4%","±0.1","36,220","±3,868","2.1%","±0.2","4,345","±967","0.8%","±0.2","31,664","±3,366","1.5%","±0.2","31,553","±2,844","1.2%","±0.1","48,383","±3,333","1.3%","±0.1","32,662","±2,704","1.6%","±0.1","21,686","±2,805","2.0%","±0.3","27,190","±2,919","1.2%","±0.1","5,340","±982","1.3%","±0.2","12,221","±1,879","1.7%","±0.3","34,528","±3,463","3.5%","±0.4","4,866","±1,245","0.9%","±0.2","63,116","±3,927","2.0%","±0.1","22,333","±2,442","2.9%","±0.3","233,173","±8,190","3.2%","±0.1","68,572","±5,136","1.9%","±0.1","3,118","±828","1.1%","±0.3","45,797","±3,455","1.0%","±0.1","30,328","±2,476","2.1%","±0.2","34,601","±3,423","2.3%","±0.2","40,630","±3,496","0.8%","±0.1","5,689","±1,337","1.4%","±0.3","23,980","±2,991","1.4%","±0.2","4,432","±1,090","1.4%","±0.3","35,318","±3,049","1.4%","±0.1","312,051","±10,587","3.5%","±0.1","24,456","±2,673","2.8%","±0.3","2,737","±766","1.1%","±0.3","39,661","±3,031","1.3%","±0.1","59,640","±3,927","2.3%","±0.1","6,127","±1,300","0.8%","±0.2","30,038","±2,445","1.3%","±0.1","3,118","±690","1.4%","±0.3","46,618","±2,775","3.7%","±0.2"
"    1.51 or more","9,983","±1,864","0.5%","±0.1","6,296","±924","2.4%","±0.4","37,528","±3,708","1.6%","±0.2","8,945","±1,840","0.8%","±0.2","364,171","±10,571","2.9%","±0.1","11,724","±1,998","0.6%","±0.1","8,008","±1,552","0.6%","±0.1","538","±296","0.2%","±0.1","5,195","±1,583","1.9%","±0.6","53,079","±4,297","0.7%","±0.1","20,859","±2,767","0.6%","±0.1","12,966","±1,869","2.9%","±0.4","4,139","±1,328","0.7%","±0.2","33,872","±3,088","0.7%","±0.1","9,023","±1,525","0.4%","±0.1","4,493","±1,022","0.4%","±0.1","9,122","±1,611","0.8%","±0.1","9,380","±1,683","0.6%","±0.1","10,803","±1,648","0.6%","±0.1","1,969","±725","0.4%","±0.1","11,608","±1,827","0.5%","±0.1","14,862","±1,744","0.6%","±0.1","13,366","±1,764","0.4%","±0.1","11,006","±1,925","0.5%","±0.1","5,701","±1,361","0.5%","±0.1","10,500","±1,691","0.4%","±0.1","2,413","±781","0.6%","±0.2","2,615","±883","0.4%","±0.1","9,786","±1,743","1.0%","±0.2","1,622","±729","0.3%","±0.1","55,939","±3,887","1.8%","±0.1","7,576","±1,261","1.0%","±0.2","123,207","±6,236","1.7%","±0.1","24,034","±2,527","0.7%","±0.1","776","±376","0.3%","±0.1","13,823","±1,991","0.3%","±0.1","7,171","±1,195","0.5%","±0.1","9,506","±1,561","0.6%","±0.1","21,744","±2,662","0.4%","±0.1","1,571","±552","0.4%","±0.1","11,701","±2,362","0.7%","±0.1","2,470","±789","0.8%","±0.2","9,549","±1,877","0.4%","±0.1","126,068","±6,752","1.4%","±0.1","5,679","±1,342","0.6%","±0.2","881","±429","0.3%","±0.2","18,059","±2,760","0.6%","±0.1","17,758","±2,344","0.7%","±0.1","3,130","±948","0.4%","±0.1","8,892","±1,430","0.4%","±0.1","1,042","±455","0.5%","±0.2","9,442","±1,452","0.8%","±0.1"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","1,289,217","±12,212","1,289,217","(X)","162,312","±3,867","162,312","(X)","1,501,528","±15,067","1,501,528","(X)","750,984","±9,249","750,984","(X)","6,843,369","±25,886","6,843,369","(X)","1,271,804","±10,881","1,271,804","(X)","911,059","±6,941","911,059","(X)","238,560","±4,816","238,560","(X)","110,625","±3,425","110,625","(X)","4,741,169","±31,771","4,741,169","(X)","2,256,703","±18,001","2,256,703","(X)","254,700","±5,244","254,700","(X)","398,816","±6,649","398,816","(X)","3,190,282","±18,062","3,190,282","(X)","1,720,062","±14,287","1,720,062","(X)","880,368","±8,898","880,368","(X)","747,079","±8,180","747,079","(X)","1,151,479","±11,521","1,151,479","(X)","1,130,694","±10,222","1,130,694","(X)","391,697","±5,080","391,697","(X)","1,437,447","±9,760","1,437,447","(X)","1,573,279","±12,931","1,573,279","(X)","2,706,280","±14,314","2,706,280","(X)","1,525,449","±9,656","1,525,449","(X)","754,663","±8,918","754,663","(X)","1,593,031","±12,451","1,593,031","(X)","274,570","±4,597","274,570","(X)","484,308","±5,955","484,308","(X)","552,991","±9,890","552,991","(X)","369,070","±5,978","369,070","(X)","2,060,480","±13,626","2,060,480","(X)","523,004","±7,065","523,004","(X)","3,851,687","±18,573","3,851,687","(X)","2,449,902","±20,860","2,449,902","(X)","186,254","±3,477","186,254","(X)","3,039,713","±16,684","3,039,713","(X)","966,998","±7,973","966,998","(X)","922,012","±11,388","922,012","(X)","3,431,023","±18,207","3,431,023","(X)","249,754","±5,701","249,754","(X)","1,223,474","±12,626","1,223,474","(X)","221,382","±3,961","221,382","(X)","1,660,076","±14,005","1,660,076","(X)","5,568,300","±32,153","5,568,300","(X)","613,499","±6,550","613,499","(X)","183,452","±2,866","183,452","(X)","2,013,595","±16,957","2,013,595","(X)","1,653,712","±13,459","1,653,712","(X)","531,392","±6,308","531,392","(X)","1,543,908","±11,604","1,543,908","(X)","157,223","±3,270","157,223","(X)","876,741","±9,559","876,741","(X)"
"    Less than $50,000","206,692","±6,413","16.0%","±0.4","9,372","±1,449","5.8%","±0.9","153,268","±6,662","10.2%","±0.5","136,420","±4,509","18.2%","±0.6","263,488","±7,840","3.9%","±0.1","60,085","±3,817","4.7%","±0.3","17,669","±1,771","1.9%","±0.2","14,069","±1,798","5.9%","±0.7","1,529","±541","1.4%","±0.5","464,550","±11,280","9.8%","±0.2","239,693","±7,118","10.6%","±0.3","2,818","±850","1.1%","±0.3","30,564","±2,756","7.7%","±0.7","224,056","±5,990","7.0%","±0.2","175,877","±5,236","10.2%","±0.3","101,321","±3,693","11.5%","±0.4","104,151","±3,726","13.9%","±0.5","176,443","±5,562","15.3%","±0.5","177,502","±6,689","15.7%","±0.6","32,701","±2,188","8.3%","±0.5","42,003","±3,243","2.9%","±0.2","30,088","±2,921","1.9%","±0.2","409,930","±7,855","15.1%","±0.3","93,527","±3,409","6.1%","±0.2","162,076","±4,976","21.5%","±0.6","182,035","±6,342","11.4%","±0.4","27,857","±2,282","10.1%","±0.8","56,014","±2,544","11.6%","±0.5","42,568","±3,493","7.7%","±0.6","17,098","±1,985","4.6%","±0.5","41,357","±2,832","2.0%","±0.1","69,731","±3,789","13.3%","±0.7","202,845","±5,789","5.3%","±0.1","235,309","±8,763","9.6%","±0.3","31,464","±1,951","16.9%","±0.9","279,067","±5,276","9.2%","±0.2","155,112","±4,050","16.0%","±0.4","56,941","±3,568","6.2%","±0.4","311,456","±7,259","9.1%","±0.2","4,958","±908","2.0%","±0.4","178,667","±6,710","14.6%","±0.5","35,820","±1,952","16.2%","±0.8","175,251","±5,753","10.6%","±0.3","681,452","±12,940","12.2%","±0.2","26,959","±2,338","4.4%","±0.4","8,864","±1,097","4.8%","±0.6","101,719","±4,997","5.1%","±0.2","74,813","±4,131","4.5%","±0.2","116,571","±4,015","21.9%","±0.7","78,524","±2,607","5.1%","±0.2","16,642","±1,777","10.6%","±1.1","60,488","±4,200","6.9%","±0.5"
"    $50,000 to $99,999","310,299","±6,171","24.1%","±0.5","11,297","±1,464","7.0%","±0.9","276,105","±10,049","18.4%","±0.6","218,636","±6,310","29.1%","±0.7","328,995","±8,665","4.8%","±0.1","69,195","±4,033","5.4%","±0.3","24,913","±2,315","2.7%","±0.3","9,650","±1,470","4.0%","±0.6","1,338","±559","1.2%","±0.5","994,868","±16,334","21.0%","±0.3","446,572","±10,452","19.8%","±0.4","5,140","±1,147","2.0%","±0.5","59,260","±3,742","14.9%","±0.9","493,848","±7,741","15.5%","±0.2","468,182","±9,720","27.2%","±0.5","225,583","±5,804","25.6%","±0.6","178,990","±5,362","24.0%","±0.7","282,927","±7,126","24.6%","±0.5","224,450","±6,083","19.9%","±0.5","53,517","±2,719","13.7%","±0.6","57,403","±3,206","4.0%","±0.2","28,017","±2,767","1.8%","±0.2","707,551","±10,036","26.1%","±0.3","165,280","±3,845","10.8%","±0.2","215,691","±6,615","28.6%","±0.8","342,114","±8,150","21.5%","±0.5","33,062","±1,865","12.0%","±0.7","109,786","±3,574","22.7%","±0.7","96,537","±5,130","17.5%","±0.9","19,370","±2,401","5.2%","±0.6","63,421","±3,679","3.1%","±0.2","81,042","±3,827","15.5%","±0.7","459,748","±8,016","11.9%","±0.2","445,257","±11,799","18.2%","±0.4","37,799","±2,011","20.3%","±1.0","761,773","±10,464","25.1%","±0.3","270,158","±5,905","27.9%","±0.5","44,858","±3,015","4.9%","±0.3","608,422","±9,660","17.7%","±0.2","7,226","±1,286","2.9%","±0.5","250,489","±7,809","20.5%","±0.6","41,148","±2,441","18.6%","±1.0","368,115","±8,615","22.2%","±0.5","1,367,087","±17,393","24.6%","±0.3","26,429","±2,559","4.3%","±0.4","13,566","±1,353","7.4%","±0.7","157,238","±5,851","7.8%","±0.3","70,279","±3,893","4.2%","±0.2","151,186","±5,141","28.5%","±0.8","217,298","±5,571","14.1%","±0.3","15,745","±1,719","10.0%","±1.0","246,327","±5,904","28.1%","±0.7"
"    $100,000 to $149,999","250,739","±7,064","19.4%","±0.5","12,930","±1,642","8.0%","±1.0","297,177","±10,184","19.8%","±0.6","146,731","±4,803","19.5%","±0.6","469,223","±10,278","6.9%","±0.1","145,451","±5,894","11.4%","±0.5","65,406","±4,034","7.2%","±0.4","22,503","±2,145","9.4%","±0.9","3,206","±830","2.9%","±0.7","891,772","±17,847","18.8%","±0.3","466,905","±12,184","20.7%","±0.5","6,632","±1,276","2.6%","±0.5","91,271","±4,698","22.9%","±1.1","523,741","±13,071","16.4%","±0.4","432,559","±8,981","25.1%","±0.5","212,034","±5,548","24.1%","±0.6","153,637","±5,910","20.6%","±0.7","262,852","±6,970","22.8%","±0.6","205,634","±7,462","18.2%","±0.7","68,586","±3,214","17.5%","±0.8","104,180","±4,884","7.2%","±0.3","70,346","±4,260","4.5%","±0.3","555,568","±9,936","20.5%","±0.3","260,784","±6,508","17.1%","±0.4","137,578","±6,326","18.2%","±0.8","358,607","±8,703","22.5%","±0.5","40,811","±2,861","14.9%","±1.0","131,205","±4,297","27.1%","±0.8","116,695","±6,718","21.1%","±1.1","30,345","±2,326","8.2%","±0.6","110,236","±4,900","5.4%","±0.2","90,709","±4,593","17.3%","±0.8","439,717","±7,778","11.4%","±0.2","504,555","±13,469","20.6%","±0.5","39,967","±2,303","21.5%","±1.2","753,810","±11,447","24.8%","±0.4","211,763","±5,814","21.9%","±0.6","97,181","±4,788","10.5%","±0.5","582,288","±9,101","17.0%","±0.2","20,355","±2,084","8.2%","±0.8","246,673","±8,772","20.2%","±0.7","49,603","±2,925","22.4%","±1.2","365,087","±9,172","22.0%","±0.5","1,222,597","±14,898","22.0%","±0.2","91,461","±3,959","14.9%","±0.6","22,779","±1,795","12.4%","±1.0","227,513","±6,066","11.3%","±0.3","150,412","±5,925","9.1%","±0.3","96,834","±3,739","18.2%","±0.7","346,112","±7,720","22.4%","±0.5","26,185","±2,336","16.7%","±1.4","259,363","±6,196","29.6%","±0.6"
"    $150,000 to $199,999","206,216","±7,215","16.0%","±0.6","26,180","±2,866","16.1%","±1.6","249,026","±8,152","16.6%","±0.6","109,048","±5,489","14.5%","±0.7","589,284","±12,268","8.6%","±0.2","225,217","±5,984","17.7%","±0.5","137,241","±4,104","15.1%","±0.4","40,577","±3,002","17.0%","±1.2","5,032","±902","4.5%","±0.8","767,443","±17,433","16.2%","±0.3","388,056","±10,697","17.2%","±0.4","8,734","±1,339","3.4%","±0.5","86,189","±5,024","21.6%","±1.2","549,647","±11,079","17.2%","±0.3","291,874","±8,027","17.0%","±0.5","145,653","±4,716","16.5%","±0.5","127,429","±4,419","17.1%","±0.6","174,442","±5,334","15.1%","±0.4","213,048","±6,479","18.8%","±0.5","79,594","±3,458","20.3%","±0.9","175,443","±6,904","12.2%","±0.5","151,080","±5,273","9.6%","±0.3","444,042","±7,673","16.4%","±0.3","336,656","±7,215","22.1%","±0.4","105,128","±5,131","13.9%","±0.7","285,475","±7,802","17.9%","±0.5","49,032","±2,937","17.9%","±1.0","80,276","±3,614","16.6%","±0.7","102,508","±5,765","18.5%","±1.0","63,568","±3,624","17.2%","±0.9","195,020","±5,161","9.5%","±0.2","91,268","±4,058","17.5%","±0.7","371,084","±7,844","9.6%","±0.2","440,800","±12,200","18.0%","±0.5","34,396","±2,376","18.5%","±1.2","545,150","±8,267","17.9%","±0.3","145,300","±4,862","15.0%","±0.5","169,029","±6,083","18.3%","±0.6","607,307","±8,923","17.7%","±0.3","45,194","±3,310","18.1%","±1.3","188,106","±7,323","15.4%","±0.6","41,142","±2,519","18.6%","±1.1","284,681","±7,695","17.1%","±0.4","880,231","±15,082","15.8%","±0.3","145,824","±5,771","23.8%","±0.9","38,349","±1,909","20.9%","±1.0","297,857","±8,047","14.8%","±0.4","261,683","±7,610","15.8%","±0.4","72,920","±3,689","13.7%","±0.7","336,099","±8,766","21.8%","±0.5","32,940","±2,396","21.0%","±1.5","162,431","±4,897","18.5%","±0.5"
"    $200,000 to $299,999","177,195","±6,514","13.7%","±0.5","51,355","±3,244","31.6%","±1.9","257,432","±9,546","17.1%","±0.6","83,340","±4,184","11.1%","±0.6","1,165,024","±16,524","17.0%","±0.2","355,644","±9,235","28.0%","±0.7","262,157","±6,530","28.8%","±0.6","77,563","±3,698","32.5%","±1.5","19,143","±2,166","17.3%","±1.9","798,789","±14,837","16.8%","±0.3","375,166","±9,500","16.6%","±0.4","29,500","±2,953","11.6%","±1.1","77,400","±4,326","19.4%","±1.0","681,656","±10,481","21.4%","±0.3","212,994","±6,810","12.4%","±0.4","126,054","±5,081","14.3%","±0.6","110,083","±4,330","14.7%","±0.6","152,191","±5,853","13.2%","±0.5","183,893","±5,376","16.3%","±0.5","86,169","±3,386","22.0%","±0.8","389,609","±9,145","27.1%","±0.6","408,182","±8,925","25.9%","±0.5","355,727","±6,850","13.1%","±0.2","373,386","±6,841","24.5%","±0.4","85,859","±4,446","11.4%","±0.6","245,415","±6,681","15.4%","±0.4","66,328","±3,392","24.2%","±1.2","68,345","±3,071","14.1%","±0.6","99,502","±5,532","18.0%","±1.0","130,867","±4,474","35.5%","±1.1","504,091","±9,482","24.5%","±0.4","99,712","±5,205","19.1%","±0.9","525,642","±8,806","13.6%","±0.2","426,697","±11,591","17.4%","±0.5","28,130","±1,943","15.1%","±1.0","434,678","±9,375","14.3%","±0.3","110,473","±4,162","11.4%","±0.4","258,960","±7,385","28.1%","±0.7","694,111","±11,031","20.2%","±0.3","88,552","±4,836","35.5%","±1.7","182,465","±7,562","14.9%","±0.6","31,498","±2,662","14.2%","±1.2","253,066","±7,513","15.2%","±0.4","766,593","±16,930","13.8%","±0.3","178,194","±5,305","29.0%","±0.8","53,888","±2,497","29.4%","±1.2","472,822","±9,729","23.5%","±0.4","451,863","±9,223","27.3%","±0.5","60,314","±3,254","11.4%","±0.6","345,047","±7,295","22.3%","±0.4","38,414","±2,650","24.4%","±1.6","94,966","±4,018","10.8%","±0.5"
"    $300,000 to $499,999","95,094","±4,121","7.4%","±0.3","40,241","±2,872","24.8%","±1.7","179,153","±8,986","11.9%","±0.6","40,898","±2,872","5.4%","±0.4","1,860,313","±19,644","27.2%","±0.3","273,909","±7,300","21.5%","±0.6","250,385","±6,841","27.5%","±0.7","58,982","±3,285","24.7%","±1.2","34,946","±2,332","31.6%","±1.9","522,708","±13,186","11.0%","±0.3","236,614","±8,372","10.5%","±0.4","79,071","±3,986","31.0%","±1.4","38,132","±2,920","9.6%","±0.7","494,325","±9,115","15.5%","±0.3","104,416","±5,043","6.1%","±0.3","52,369","±3,148","5.9%","±0.4","51,362","±3,193","6.9%","±0.4","71,365","±3,342","6.2%","±0.3","91,548","±4,950","8.1%","±0.4","50,532","±2,849","12.9%","±0.7","420,659","±8,144","29.3%","±0.6","578,071","±9,369","36.7%","±0.5","163,110","±4,880","6.0%","±0.2","214,508","±5,648","14.1%","±0.4","33,903","±3,074","4.5%","±0.4","126,123","±5,880","7.9%","±0.4","36,424","±2,808","13.3%","±1.0","29,123","±1,985","6.0%","±0.4","69,731","±4,745","12.6%","±0.8","86,309","±3,914","23.4%","±1.1","730,874","±10,000","35.5%","±0.4","60,655","±3,558","11.6%","±0.7","968,073","±12,924","25.1%","±0.3","267,037","±9,554","10.9%","±0.4","10,875","±1,233","5.8%","±0.7","192,706","±5,934","6.3%","±0.2","50,959","±2,880","5.3%","±0.3","204,990","±6,895","22.2%","±0.7","453,255","±7,062","13.2%","±0.2","58,318","±3,621","23.4%","±1.3","108,299","±6,269","8.9%","±0.5","16,648","±1,594","7.5%","±0.7","145,889","±6,425","8.8%","±0.4","430,446","±10,806","7.7%","±0.2","106,601","±4,429","17.4%","±0.7","33,400","±2,304","18.2%","±1.2","448,650","±9,656","22.3%","±0.5","425,748","±8,613","25.7%","±0.5","23,505","±2,300","4.4%","±0.4","165,063","±4,303","10.7%","±0.3","19,754","±1,876","12.6%","±1.2","38,159","±2,881","4.4%","±0.3"
"    $500,000 to $999,999","32,740","±2,777","2.5%","±0.2","9,971","±1,498","6.1%","±0.9","69,300","±4,347","4.6%","±0.3","12,890","±1,854","1.7%","±0.2","1,680,288","±16,057","24.6%","±0.2","115,316","±4,755","9.1%","±0.4","113,294","±4,238","12.4%","±0.5","12,033","±1,234","5.0%","±0.5","33,052","±2,250","29.9%","±1.8","224,259","±8,102","4.7%","±0.2","84,674","±4,875","3.8%","±0.2","102,778","±3,734","40.4%","±1.3","12,331","±1,626","3.1%","±0.4","180,295","±5,874","5.7%","±0.2","27,304","±2,179","1.6%","±0.1","13,343","±1,419","1.5%","±0.2","18,384","±1,796","2.5%","±0.2","23,430","±2,100","2.0%","±0.2","28,457","±3,057","2.5%","±0.3","16,131","±1,586","4.1%","±0.4","211,492","±5,872","14.7%","±0.4","253,835","±7,434","16.1%","±0.5","53,442","±2,832","2.0%","±0.1","67,978","±3,703","4.5%","±0.2","10,884","±1,477","1.4%","±0.2","43,297","±2,667","2.7%","±0.2","14,932","±1,938","5.4%","±0.7","7,714","±895","1.6%","±0.2","20,367","±2,572","3.7%","±0.5","18,516","±1,681","5.0%","±0.5","355,075","±7,134","17.2%","±0.3","23,899","±1,904","4.6%","±0.4","700,312","±10,784","18.2%","±0.3","107,192","±5,370","4.4%","±0.2","2,699","±761","1.4%","±0.4","57,418","±2,763","1.9%","±0.1","17,941","±1,836","1.9%","±0.2","76,982","±4,035","8.3%","±0.4","147,860","±4,954","4.3%","±0.1","21,113","±2,076","8.5%","±0.8","52,775","±4,344","4.3%","±0.4","3,550","±884","1.6%","±0.4","52,716","±3,687","3.2%","±0.2","167,308","±6,790","3.0%","±0.1","30,621","±2,466","5.0%","±0.4","10,692","±1,119","5.8%","±0.6","264,164","±6,829","13.1%","±0.3","188,029","±6,735","11.4%","±0.4","7,575","±1,158","1.4%","±0.2","44,831","±2,221","2.9%","±0.1","4,699","±1,018","3.0%","±0.7","10,500","±1,370","1.2%","±0.2"
"    $1,000,000 or more","10,242","±1,752","0.8%","±0.1","966","±332","0.6%","±0.2","20,067","±2,424","1.3%","±0.2","3,021","±806","0.4%","±0.1","486,754","±9,111","7.1%","±0.1","26,987","±2,548","2.1%","±0.2","39,994","±2,178","4.4%","±0.2","3,183","±835","1.3%","±0.4","12,379","±1,376","11.2%","±1.2","76,780","±3,951","1.6%","±0.1","19,023","±2,702","0.8%","±0.1","20,027","±1,753","7.9%","±0.7","3,669","±995","0.9%","±0.2","42,714","±3,255","1.3%","±0.1","6,856","±1,138","0.4%","±0.1","4,011","±729","0.5%","±0.1","3,043","±922","0.4%","±0.1","7,829","±1,371","0.7%","±0.1","6,162","±1,115","0.5%","±0.1","4,467","±876","1.1%","±0.2","36,658","±2,821","2.6%","±0.2","53,660","±3,118","3.4%","±0.2","16,910","±1,793","0.6%","±0.1","13,330","±1,358","0.9%","±0.1","3,544","±868","0.5%","±0.1","9,965","±1,542","0.6%","±0.1","6,124","±1,309","2.2%","±0.5","1,845","±583","0.4%","±0.1","5,083","±1,387","0.9%","±0.3","2,997","±641","0.8%","±0.2","60,406","±3,054","2.9%","±0.1","5,988","±1,266","1.1%","±0.2","184,266","±6,946","4.8%","±0.2","23,055","±2,489","0.9%","±0.1","924","±299","0.5%","±0.2","15,111","±1,870","0.5%","±0.1","5,292","±961","0.5%","±0.1","13,071","±1,943","1.4%","±0.2","26,324","±2,247","0.8%","±0.1","4,038","±859","1.6%","±0.3","16,000","±2,269","1.3%","±0.2","1,973","±620","0.9%","±0.3","15,271","±2,168","0.9%","±0.1","52,586","±3,539","0.9%","±0.1","7,410","±1,401","1.2%","±0.2","1,914","±451","1.0%","±0.2","43,632","±3,586","2.2%","±0.2","30,885","±2,279","1.9%","±0.1","2,487","±735","0.5%","±0.1","10,934","±1,227","0.7%","±0.1","2,844","±742","1.8%","±0.5","4,507","±837","0.5%","±0.1"
