"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"        Bottled, tank, or LP gas","121,771","±4,705","6.7%","±0.2","3,471","±751","1.4%","±0.3","66,318","±3,576","2.8%","±0.2","79,497","±3,779","7.1%","±0.3","414,887","±9,305","3.3%","±0.1","95,660","±4,348","4.8%","±0.2","46,397","±3,381","3.5%","±0.3","32,922","±2,568","9.7%","±0.8","2,849","±652","1.0%","±0.2","74,420","±4,420","1.0%","±0.1","185,887","±5,772","5.2%","±0.2","5,536","±978","1.2%","±0.2","30,365","±2,026","5.2%","±0.3","204,784","±6,280","4.3%","±0.1","176,348","±4,708","7.1%","±0.2","163,459","±4,991","13.2%","±0.4","87,427","±3,818","7.8%","±0.3","108,051","±4,240","6.3%","±0.3","37,860","±3,317","2.2%","±0.2","45,601","±2,950","8.3%","±0.5","67,436","±3,725","3.1%","±0.2","81,306","±4,115","3.2%","±0.2","319,698","±7,118","8.3%","±0.2","220,587","±4,834","10.4%","±0.2","128,930","±5,412","11.8%","±0.5","218,963","±5,273","9.3%","±0.2","49,009","±2,646","12.1%","±0.7","57,576","±2,617","7.9%","±0.3","27,742","±1,941","2.8%","±0.2","76,485","±3,835","14.7%","±0.7","60,943","±3,186","1.9%","±0.1","61,554","±3,243","8.2%","±0.4","259,367","±6,344","3.6%","±0.1","280,693","±6,640","7.5%","±0.2","39,927","±2,243","13.4%","±0.7","236,293","±6,183","5.2%","±0.1","103,324","±3,196","7.1%","±0.2","26,827","±2,386","1.8%","±0.2","195,799","±6,717","4.0%","±0.1","10,035","±1,615","2.5%","±0.4","80,318","±4,318","4.5%","±0.2","52,307","±2,142","15.8%","±0.7","105,832","±5,013","4.2%","±0.2","293,618","±7,693","3.2%","±0.1","20,447","±1,913","2.3%","±0.2","38,339","±2,121","15.1%","±0.9","137,668","±5,121","4.5%","±0.2","80,336","±3,794","3.0%","±0.1","30,813","±2,151","4.2%","±0.3","262,243","±5,690","11.5%","±0.2","23,452","±2,015","10.5%","±0.9","13,354","±1,671","1.1%","±0.1"
"        Electricity","1,149,424","±11,598","63.1%","±0.5","26,064","±2,213","10.6%","±0.9","1,430,518","±12,087","59.6%","±0.4","536,242","±8,246","47.6%","±0.7","3,379,399","±26,477","26.7%","±0.2","432,137","±10,503","21.6%","±0.5","209,463","±7,031","15.6%","±0.5","110,313","±4,385","32.5%","±1.2","104,674","±3,842","38.5%","±1.4","6,648,779","±26,192","92.2%","±0.1","1,879,370","±20,179","53.0%","±0.5","125,472","±4,690","27.9%","±1.0","196,590","±5,891","33.4%","±0.9","734,516","±12,440","15.4%","±0.3","717,335","±12,431","28.7%","±0.5","249,151","±6,958","20.2%","±0.6","259,854","±5,960","23.3%","±0.5","868,659","±12,105","50.9%","±0.6","1,068,524","±10,898","61.8%","±0.5","28,747","±2,336","5.2%","±0.4","865,922","±11,994","40.1%","±0.5","371,400","±7,917","14.6%","±0.3","341,965","±7,256","8.9%","±0.2","356,763","±6,914","16.8%","±0.3","602,503","±8,871","55.2%","±0.8","822,051","±10,217","34.8%","±0.4","89,434","±3,958","22.0%","±1.0","199,699","±5,620","27.3%","±0.7","323,768","±7,464","32.3%","±0.7","42,038","±3,433","8.1%","±0.7","388,226","±9,311","12.2%","±0.3","127,124","±5,055","16.9%","±0.7","764,400","±11,655","10.6%","±0.2","2,308,910","±17,409","61.4%","±0.4","114,846","±3,642","38.5%","±1.1","1,049,033","±16,571","23.0%","±0.3","530,472","±6,725","36.7%","±0.5","761,368","±9,977","50.0%","±0.6","1,086,074","±13,031","22.0%","±0.3","39,215","±3,451","9.7%","±0.8","1,254,816","±12,601","69.9%","±0.6","99,973","±3,963","30.2%","±1.1","1,503,502","±14,250","60.4%","±0.5","5,387,263","±27,180","59.1%","±0.3","102,457","±5,191","11.4%","±0.6","11,779","±1,596","4.7%","±0.6","1,625,037","±13,559","53.2%","±0.4","1,436,251","±10,237","54.3%","±0.4","326,536","±6,673","44.2%","±0.8","347,831","±7,736","15.2%","±0.3","50,094","±3,633","22.4%","±1.5","179,253","±5,925","14.3%","±0.4"
"        Fuel oil, kerosene, etc.","2,884","±810","0.2%","±0.1","74,729","±2,664","30.4%","±1.0","2,702","±877","0.1%","±0.1","1,491","±666","0.1%","±0.1","33,220","±2,596","0.3%","±0.1","2,089","±554","0.1%","±0.1","585,757","±8,726","43.7%","±0.6","48,095","±2,645","14.2%","±0.8","6,012","±1,211","2.2%","±0.4","13,461","±1,570","0.2%","±0.1","5,872","±1,024","0.2%","±0.1","38","±49","0.0%","±0.1","9,764","±1,336","1.7%","±0.2","8,689","±1,146","0.2%","±0.1","21,055","±1,947","0.8%","±0.1","7,228","±888","0.6%","±0.1","1,884","±843","0.2%","±0.1","15,839","±1,785","0.9%","±0.1","804","±372","0.0%","±0.1","351,842","±6,388","64.2%","±0.8","214,092","±6,324","9.9%","±0.3","740,917","±11,063","29.2%","±0.4","47,991","±2,368","1.3%","±0.1","49,863","±2,170","2.4%","±0.1","1,319","±569","0.1%","±0.1","4,664","±909","0.2%","±0.1","4,126","±804","1.0%","±0.2","2,188","±424","0.3%","±0.1","6,665","±1,173","0.7%","±0.1","239,542","±6,109","46.1%","±1.0","329,733","±7,169","10.4%","±0.2","1,230","±450","0.2%","±0.1","1,802,442","±16,852","25.0%","±0.2","137,984","±4,908","3.7%","±0.1","10,163","±817","3.4%","±0.3","110,043","±5,289","2.4%","±0.1","1,239","±385","0.1%","±0.1","37,636","±2,503","2.5%","±0.2","870,064","±10,069","17.6%","±0.2","132,486","±4,516","32.6%","±1.0","20,644","±2,173","1.2%","±0.1","8,111","±1,018","2.4%","±0.3","10,849","±1,476","0.4%","±0.1","9,731","±1,862","0.1%","±0.1","966","±352","0.1%","±0.1","111,011","±3,097","43.8%","±1.1","168,558","±5,688","5.5%","±0.2","59,803","±3,094","2.3%","±0.1","20,335","±1,773","2.8%","±0.2","64,775","±3,054","2.8%","±0.1","649","±298","0.3%","±0.1","204","±188","0.0%","±0.1"
"        Coal or coke","136","±132","0.0%","±0.1","860","±354","0.3%","±0.1","145","±260","0.0%","±0.1","0","±192","0.0%","±0.1","1,593","±624","0.0%","±0.1","1,228","±473","0.1%","±0.1","2,501","±857","0.2%","±0.1","851","±457","0.3%","±0.1","91","±148","0.0%","±0.1","523","±316","0.0%","±0.1","283","±308","0.0%","±0.1","77","±127","0.0%","±0.1","494","±320","0.1%","±0.1","710","±325","0.0%","±0.1","3,857","±799","0.2%","±0.1","134","±126","0.0%","±0.1","80","±68","0.0%","±0.1","4,011","±1,019","0.2%","±0.1","195","±192","0.0%","±0.1","1,910","±578","0.3%","±0.1","2,458","±591","0.1%","±0.1","2,333","±696","0.1%","±0.1","1,336","±475","0.0%","±0.1","585","±294","0.0%","±0.1","118","±149","0.0%","±0.1","398","±264","0.0%","±0.1","618","±225","0.2%","±0.1","65","±66","0.0%","±0.1","59","±96","0.0%","±0.1","744","±463","0.1%","±0.1","843","±421","0.0%","±0.1","164","±103","0.0%","±0.1","18,997","±1,923","0.3%","±0.1","656","±579","0.0%","±0.1","1,331","±378","0.4%","±0.1","3,538","±898","0.1%","±0.1","52","±63","0.0%","±0.1","0","±200","0.0%","±0.1","67,774","±3,107","1.4%","±0.1","845","±535","0.2%","±0.1","245","±146","0.0%","±0.1","485","±288","0.1%","±0.1","810","±406","0.0%","±0.1","193","±171","0.0%","±0.1","1,078","±287","0.1%","±0.1","648","±349","0.3%","±0.1","2,445","±785","0.1%","±0.1","402","±333","0.0%","±0.1","4,521","±1,038","0.6%","±0.1","393","±239","0.0%","±0.1","1,951","±777","0.9%","±0.3","112","±158","0.0%","±0.1"
"        Wood","19,735","±1,811","1.1%","±0.1","15,670","±1,731","6.4%","±0.7","48,822","±2,599","2.0%","±0.1","48,006","±3,019","4.3%","±0.3","204,825","±6,747","1.6%","±0.1","41,289","±3,036","2.1%","±0.2","29,361","±2,576","2.2%","±0.2","3,396","±704","1.0%","±0.2","0","±203","0.0%","±0.1","14,787","±1,865","0.2%","±0.1","36,761","±3,264","1.0%","±0.1","1,728","±661","0.4%","±0.1","46,389","±2,899","7.9%","±0.5","25,245","±1,954","0.5%","±0.1","55,561","±3,205","2.2%","±0.1","20,468","±1,577","1.7%","±0.1","20,096","±1,511","1.8%","±0.1","51,434","±3,002","3.0%","±0.2","9,805","±1,526","0.6%","±0.1","76,707","±3,073","14.0%","±0.6","33,464","±2,471","1.5%","±0.1","47,009","±3,225","1.9%","±0.1","132,347","±4,077","3.5%","±0.1","53,776","±2,348","2.5%","±0.1","14,648","±2,040","1.3%","±0.2","95,809","±4,140","4.1%","±0.2","37,525","±2,396","9.2%","±0.6","9,928","±982","1.4%","±0.1","13,813","±1,565","1.4%","±0.2","44,711","±2,706","8.6%","±0.5","17,421","±1,881","0.5%","±0.1","49,712","±2,721","6.6%","±0.4","148,422","±4,641","2.1%","±0.1","84,384","±4,701","2.2%","±0.1","1,695","±483","0.6%","±0.2","91,040","±4,332","2.0%","±0.1","29,239","±1,759","2.0%","±0.1","106,592","±4,502","7.0%","±0.3","148,597","±4,787","3.0%","±0.1","8,547","±1,258","2.1%","±0.3","19,846","±2,167","1.1%","±0.1","5,240","±997","1.6%","±0.3","53,113","±3,728","2.1%","±0.1","39,408","±3,475","0.4%","±0.1","10,536","±1,107","1.2%","±0.1","44,411","±2,228","17.5%","±0.9","82,334","±4,611","2.7%","±0.2","113,511","±4,895","4.3%","±0.2","49,289","±3,430","6.7%","±0.5","106,043","±2,926","4.6%","±0.1","11,656","±1,387","5.2%","±0.6","34","±60","0.0%","±0.1"
"        Solar energy","134","±206","0.0%","±0.1","0","±147","0.0%","±0.1","5,487","±965","0.2%","±0.1","0","±192","0.0%","±0.1","22,534","±2,255","0.2%","±0.1","3,069","±864","0.2%","±0.1","401","±258","0.0%","±0.1","166","±132","0.0%","±0.1","317","±274","0.1%","±0.1","2,486","±671","0.0%","±0.1","298","±300","0.0%","±0.1","11,882","±1,421","2.6%","±0.3","225","±295","0.0%","±0.1","1,112","±486","0.0%","±0.1","680","±322","0.0%","±0.1","430","±219","0.0%","±0.1","70","±87","0.0%","±0.1","506","±348","0.0%","±0.1","401","±219","0.0%","±0.1","486","±256","0.1%","±0.1","898","±402","0.0%","±0.1","1,432","±471","0.1%","±0.1","905","±486","0.0%","±0.1","468","±234","0.0%","±0.1","0","±208","0.0%","±0.1","755","±365","0.0%","±0.1","342","±207","0.1%","±0.1","55","±56","0.0%","±0.1","970","±620","0.1%","±0.1","334","±155","0.1%","±0.1","1,270","±748","0.0%","±0.1","971","±419","0.1%","±0.1","2,525","±606","0.0%","±0.1","1,216","±609","0.0%","±0.1","45","±49","0.0%","±0.1","726","±417","0.0%","±0.1","297","±183","0.0%","±0.1","909","±509","0.1%","±0.1","1,408","±464","0.0%","±0.1","185","±180","0.0%","±0.1","143","±140","0.0%","±0.1","120","±128","0.0%","±0.1","623","±367","0.0%","±0.1","1,829","±509","0.0%","±0.1","152","±95","0.0%","±0.1","257","±217","0.1%","±0.1","1,193","±416","0.0%","±0.1","1,055","±477","0.0%","±0.1","95","±153","0.0%","±0.1","660","±346","0.0%","±0.1","185","±199","0.1%","±0.1","5,526","±922","0.4%","±0.1"
"        Other fuel","1,470","±522","0.1%","±0.1","2,252","±633","0.9%","±0.3","6,165","±1,249","0.3%","±0.1","3,889","±946","0.3%","±0.1","46,996","±3,937","0.4%","±0.1","11,846","±1,875","0.6%","±0.1","10,236","±1,614","0.8%","±0.1","3,067","±817","0.9%","±0.2","1,349","±578","0.5%","±0.2","3,858","±961","0.1%","±0.1","3,344","±1,036","0.1%","±0.1","391","±272","0.1%","±0.1","5,936","±1,282","1.0%","±0.2","23,835","±2,547","0.5%","±0.1","10,442","±1,451","0.4%","±0.1","12,599","±1,683","1.0%","±0.1","4,821","±963","0.4%","±0.1","5,175","±1,120","0.3%","±0.1","1,493","±646","0.1%","±0.1","9,827","±1,120","1.8%","±0.2","11,755","±1,512","0.5%","±0.1","17,553","±1,683","0.7%","±0.1","39,038","±2,337","1.0%","±0.1","22,758","±1,868","1.1%","±0.1","1,547","±576","0.1%","±0.1","7,362","±1,311","0.3%","±0.1","5,500","±934","1.4%","±0.2","4,998","±732","0.7%","±0.1","3,425","±722","0.3%","±0.1","9,251","±1,322","1.8%","±0.3","10,710","±1,423","0.3%","±0.1","7,813","±1,349","1.0%","±0.2","81,841","±4,099","1.1%","±0.1","5,134","±909","0.1%","±0.1","4,013","±871","1.3%","±0.3","34,650","±3,015","0.8%","±0.1","11,132","±1,023","0.8%","±0.1","11,992","±1,863","0.8%","±0.1","33,941","±2,077","0.7%","±0.1","1,769","±493","0.4%","±0.1","1,906","±573","0.1%","±0.1","6,381","±1,279","1.9%","±0.4","2,871","±793","0.1%","±0.1","13,553","±1,789","0.1%","±0.1","3,474","±772","0.4%","±0.1","3,630","±573","1.4%","±0.2","7,919","±1,136","0.3%","±0.1","16,914","±1,887","0.6%","±0.1","5,717","±1,234","0.8%","±0.2","21,358","±1,612","0.9%","±0.1","2,040","±624","0.9%","±0.3","342","±204","0.0%","±0.1"
"        No fuel used","6,884","±1,088","0.4%","±0.1","654","±331","0.3%","±0.1","26,068","±2,206","1.1%","±0.1","2,883","±782","0.3%","±0.1","397,835","±8,811","3.1%","±0.1","8,059","±1,364","0.4%","±0.1","5,957","±1,401","0.4%","±0.1","1,274","±614","0.4%","±0.2","3,778","±752","1.4%","±0.3","134,543","±5,682","1.9%","±0.1","12,995","±1,670","0.4%","±0.1","295,653","±5,418","65.7%","±1.0","2,479","±742","0.4%","±0.1","27,318","±2,100","0.6%","±0.1","8,885","±1,272","0.4%","±0.1","7,041","±1,052","0.6%","±0.1","4,363","±1,052","0.4%","±0.1","6,042","±1,121","0.4%","±0.1","6,008","±1,183","0.3%","±0.1","730","±320","0.1%","±0.1","9,990","±1,260","0.5%","±0.1","8,493","±1,345","0.3%","±0.1","17,868","±1,795","0.5%","±0.1","15,567","±1,685","0.7%","±0.1","3,852","±871","0.4%","±0.1","6,872","±1,072","0.3%","±0.1","2,045","±649","0.5%","±0.2","2,301","±593","0.3%","±0.1","4,151","±813","0.4%","±0.1","4,612","±1,307","0.9%","±0.3","12,169","±1,717","0.4%","±0.1","1,848","±565","0.2%","±0.1","66,852","±4,004","0.9%","±0.1","15,576","±1,954","0.4%","±0.1","2,521","±792","0.8%","±0.3","17,429","±1,806","0.4%","±0.1","3,074","±683","0.2%","±0.1","6,429","±1,294","0.4%","±0.1","19,185","±1,787","0.4%","±0.1","739","±345","0.2%","±0.1","8,074","±1,269","0.4%","±0.1","2,288","±531","0.7%","±0.2","8,752","±1,487","0.4%","±0.1","44,649","±3,243","0.5%","±0.1","1,387","±576","0.2%","±0.1","967","±454","0.4%","±0.2","10,441","±1,569","0.3%","±0.1","12,987","±1,747","0.5%","±0.1","1,811","±730","0.2%","±0.1","12,355","±1,495","0.5%","±0.1","620","±341","0.3%","±0.2","1,054,178","±9,140","84.1%","±0.5"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,822,439","±11,200","1,822,439","(X)","246,015","±2,720","246,015","(X)","2,400,809","±11,557","2,400,809","(X)","1,125,899","±6,925","1,125,899","(X)","12,650,592","±16,944","12,650,592","(X)","2,002,800","±8,550","2,002,800","(X)","1,339,860","±7,005","1,339,860","(X)","339,071","±3,144","339,071","(X)","271,651","±3,228","271,651","(X)","7,211,584","±26,752","7,211,584","(X)","3,546,965","±15,286","3,546,965","(X)","450,120","±4,406","450,120","(X)","588,489","±5,467","588,489","(X)","4,783,421","±13,914","4,783,421","(X)","2,498,395","±10,688","2,498,395","(X)","1,236,209","±7,287","1,236,209","(X)","1,113,729","±6,143","1,113,729","(X)","1,705,623","±9,376","1,705,623","(X)","1,728,149","±9,677","1,728,149","(X)","547,686","±5,711","547,686","(X)","2,161,680","±8,942","2,161,680","(X)","2,536,321","±9,232","2,536,321","(X)","3,832,466","±10,485","3,832,466","(X)","2,119,954","±6,871","2,119,954","(X)","1,091,002","±7,807","1,091,002","(X)","2,362,853","±9,949","2,362,853","(X)","406,288","±3,840","406,288","(X)","730,579","±4,441","730,579","(X)","1,002,571","±7,173","1,002,571","(X)","519,246","±4,617","519,246","(X)","3,176,139","±9,966","3,176,139","(X)","753,507","±6,087","753,507","(X)","7,219,356","±14,194","7,219,356","(X)","3,757,480","±13,443","3,757,480","(X)","298,298","±2,835","298,298","(X)","4,564,745","±13,440","4,564,745","(X)","1,447,277","±6,526","1,447,277","(X)","1,523,799","±7,789","1,523,799","(X)","4,938,894","±14,403","4,938,894","(X)","406,366","±4,030","406,366","(X)","1,794,989","±10,191","1,794,989","(X)","331,406","±2,992","331,406","(X)","2,490,249","±12,758","2,490,249","(X)","9,110,853","±20,640","9,110,853","(X)","899,475","±5,032","899,475","(X)","253,234","±2,792","253,234","(X)","3,055,863","±11,608","3,055,863","(X)","2,644,557","±11,069","2,644,557","(X)","738,653","±5,969","738,653","(X)","2,289,424","±8,727","2,289,424","(X)","224,003","±3,223","224,003","(X)","1,253,690","±9,187","1,253,690","(X)"
"        Lacking complete plumbing facilities","5,859","±1,412","0.3%","±0.1","9,401","±1,131","3.8%","±0.5","17,098","±1,991","0.7%","±0.1","5,160","±1,159","0.5%","±0.1","52,299","±3,403","0.4%","±0.1","6,645","±1,398","0.3%","±0.1","4,883","±1,363","0.4%","±0.1","992","±419","0.3%","±0.1","374","±263","0.1%","±0.1","24,154","±2,650","0.3%","±0.1","10,640","±1,814","0.3%","±0.1","2,800","±735","0.6%","±0.2","3,310","±774","0.6%","±0.1","13,026","±2,041","0.3%","±0.1","7,482","±1,270","0.3%","±0.1","4,226","±929","0.3%","±0.1","4,940","±983","0.4%","±0.1","8,382","±1,187","0.5%","±0.1","6,248","±1,374","0.4%","±0.1","4,191","±1,068","0.8%","±0.2","7,405","±1,479","0.3%","±0.1","8,342","±1,667","0.3%","±0.1","13,734","±1,907","0.4%","±0.1","6,259","±827","0.3%","±0.1","6,173","±1,396","0.6%","±0.1","10,027","±1,566","0.4%","±0.1","2,315","±762","0.6%","±0.2","2,135","±573","0.3%","±0.1","4,241","±1,189","0.4%","±0.1","3,318","±1,000","0.6%","±0.2","11,060","±1,620","0.3%","±0.1","8,490","±1,193","1.1%","±0.2","27,134","±2,415","0.4%","±0.1","11,583","±1,650","0.3%","±0.1","999","±373","0.3%","±0.1","18,254","±2,112","0.4%","±0.1","6,308","±1,025","0.4%","±0.1","7,723","±1,833","0.5%","±0.1","19,544","±2,419","0.4%","±0.1","1,056","±622","0.3%","±0.2","6,952","±1,310","0.4%","±0.1","1,957","±582","0.6%","±0.2","9,423","±1,515","0.4%","±0.1","46,137","±3,998","0.5%","±0.1","2,523","±764","0.3%","±0.1","1,099","±322","0.4%","±0.1","10,679","±1,899","0.3%","±0.1","9,980","±1,783","0.4%","±0.1","4,340","±1,202","0.6%","±0.2","9,246","±1,133","0.4%","±0.1","609","±319","0.3%","±0.1","(X)","(X)","(X)","(X)"
"        Lacking complete kitchen facilities","12,639","±1,607","0.7%","±0.1","7,573","±905","3.1%","±0.4","20,868","±2,231","0.9%","±0.1","8,095","±1,290","0.7%","±0.1","147,088","±7,185","1.2%","±0.1","14,873","±2,056","0.7%","±0.1","8,450","±1,477","0.6%","±0.1","2,005","±689","0.6%","±0.2","1,971","±716","0.7%","±0.3","51,643","±4,499","0.7%","±0.1","20,675","±2,372","0.6%","±0.1","7,951","±1,050","1.8%","±0.2","8,538","±1,438","1.5%","±0.2","33,510","±3,396","0.7%","±0.1","16,302","±2,148","0.7%","±0.1","11,045","±1,703","0.9%","±0.1","11,788","±1,611","1.1%","±0.1","12,649","±1,729","0.7%","±0.1","12,871","±1,649","0.7%","±0.1","6,035","±1,432","1.1%","±0.3","13,192","±2,017","0.6%","±0.1","20,685","±2,279","0.8%","±0.1","30,519","±2,521","0.8%","±0.1","11,094","±1,341","0.5%","±0.1","7,624","±1,570","0.7%","±0.1","17,418","±1,980","0.7%","±0.1","3,899","±921","1.0%","±0.2","8,238","±1,046","1.1%","±0.1","8,628","±1,552","0.9%","±0.2","4,352","±1,218","0.8%","±0.2","23,024","±2,356","0.7%","±0.1","6,630","±1,031","0.9%","±0.1","56,736","±4,182","0.8%","±0.1","21,882","±2,350","0.6%","±0.1","2,738","±834","0.9%","±0.3","42,434","±2,808","0.9%","±0.1","12,629","±1,438","0.9%","±0.1","20,317","±2,143","1.3%","±0.1","47,039","±3,637","1.0%","±0.1","4,156","±1,271","1.0%","±0.3","12,572","±1,622","0.7%","±0.1","3,015","±842","0.9%","±0.3","19,364","±2,163","0.8%","±0.1","77,317","±4,451","0.8%","±0.1","5,482","±1,384","0.6%","±0.2","2,083","±620","0.8%","±0.2","18,707","±2,130","0.6%","±0.1","22,832","±2,626","0.9%","±0.1","4,781","±1,185","0.6%","±0.2","20,601","±2,113","0.9%","±0.1","1,308","±481","0.6%","±0.2","20,791","±1,990","1.7%","±0.2"
"        No telephone service available","47,186","±3,463","2.6%","±0.2","4,984","±997","2.0%","±0.4","63,929","±4,243","2.7%","±0.2","31,950","±2,689","2.8%","±0.2","255,951","±8,605","2.0%","±0.1","46,136","±3,091","2.3%","±0.2","19,201","±2,056","1.4%","±0.2","6,595","±1,428","1.9%","±0.4","7,721","±1,389","2.8%","±0.5","215,562","±6,388","3.0%","±0.1","84,398","±5,818","2.4%","±0.2","10,182","±1,278","2.3%","±0.3","16,874","±2,003","2.9%","±0.3","107,794","±4,439","2.3%","±0.1","65,090","±3,593","2.6%","±0.1","25,606","±2,144","2.1%","±0.2","29,028","±2,356","2.6%","±0.2","47,652","±3,748","2.8%","±0.2","47,252","±3,192","2.7%","±0.2","12,988","±1,662","2.4%","±0.3","41,799","±3,162","1.9%","±0.1","39,927","±3,006","1.6%","±0.1","98,080","±4,145","2.6%","±0.1","40,393","±2,287","1.9%","±0.1","34,720","±3,169","3.2%","±0.3","57,321","±3,422","2.4%","±0.1","12,707","±1,724","3.1%","±0.4","18,438","±1,881","2.5%","±0.3","21,002","±1,974","2.1%","±0.2","10,740","±1,551","2.1%","±0.3","47,821","±3,202","1.5%","±0.1","24,230","±2,363","3.2%","±0.3","146,934","±6,005","2.0%","±0.1","81,974","±4,958","2.2%","±0.1","6,559","±1,280","2.2%","±0.4","126,863","±5,642","2.8%","±0.1","35,670","±2,157","2.5%","±0.1","36,945","±3,142","2.4%","±0.2","96,815","±4,596","2.0%","±0.1","6,992","±1,389","1.7%","±0.3","41,602","±2,996","2.3%","±0.2","8,172","±1,395","2.5%","±0.4","58,791","±3,938","2.4%","±0.2","210,669","±6,387","2.3%","±0.1","18,812","±1,885","2.1%","±0.2","4,787","±1,080","1.9%","±0.4","54,619","±3,480","1.8%","±0.1","56,347","±3,882","2.1%","±0.1","22,219","±2,217","3.0%","±0.3","49,014","±2,751","2.1%","±0.1","4,265","±1,042","1.9%","±0.5","77,130","±4,012","6.2%","±0.3"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,822,439","±11,200","1,822,439","(X)","246,015","±2,720","246,015","(X)","2,400,809","±11,557","2,400,809","(X)","1,125,899","±6,925","1,125,899","(X)","12,650,592","±16,944","12,650,592","(X)","2,002,800","±8,550","2,002,800","(X)","1,339,860","±7,005","1,339,860","(X)","339,071","±3,144","339,071","(X)","271,651","±3,228","271,651","(X)","7,211,584","±26,752","7,211,584","(X)","3,546,965","±15,286","3,546,965","(X)","450,120","±4,406","450,120","(X)","588,489","±5,467","588,489","(X)","4,783,421","±13,914","4,783,421","(X)","2,498,395","±10,688","2,498,395","(X)","1,236,209","±7,287","1,236,209","(X)","1,113,729","±6,143","1,113,729","(X)","1,705,623","±9,376","1,705,623","(X)","1,728,149","±9,677","1,728,149","(X)","547,686","±5,711","547,686","(X)","2,161,680","±8,942","2,161,680","(X)","2,536,321","±9,232","2,536,321","(X)","3,832,466","±10,485","3,832,466","(X)","2,119,954","±6,871","2,119,954","(X)","1,091,002","±7,807","1,091,002","(X)","2,362,853","±9,949","2,362,853","(X)","406,288","±3,840","406,288","(X)","730,579","±4,441","730,579","(X)","1,002,571","±7,173","1,002,571","(X)","519,246","±4,617","519,246","(X)","3,176,139","±9,966","3,176,139","(X)","753,507","±6,087","753,507","(X)","7,219,356","±14,194","7,219,356","(X)","3,757,480","±13,443","3,757,480","(X)","298,298","±2,835","298,298","(X)","4,564,745","±13,440","4,564,745","(X)","1,447,277","±6,526","1,447,277","(X)","1,523,799","±7,789","1,523,799","(X)","4,938,894","±14,403","4,938,894","(X)","406,366","±4,030","406,366","(X)","1,794,989","±10,191","1,794,989","(X)","331,406","±2,992","331,406","(X)","2,490,249","±12,758","2,490,249","(X)","9,110,853","±20,640","9,110,853","(X)","899,475","±5,032","899,475","(X)","253,234","±2,792","253,234","(X)","3,055,863","±11,608","3,055,863","(X)","2,644,557","±11,069","2,644,557","(X)","738,653","±5,969","738,653","(X)","2,289,424","±8,727","2,289,424","(X)","224,003","±3,223","224,003","(X)","1,253,690","±9,187","1,253,690","(X)"
