"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Solar energy","81","±104","0.0%","±0.1","50","±59","0.0%","±0.1","2,859","±690","0.1%","±0.1","270","±210","0.0%","±0.1","11,821","±1,446","0.1%","±0.1","3,122","±773","0.2%","±0.1","378","±296","0.0%","±0.1","125","±100","0.0%","±0.1","56","±92","0.0%","±0.1","1,321","±524","0.0%","±0.1","347","±179","0.0%","±0.1","6,473","±871","1.4%","±0.2","421","±292","0.1%","±0.1","559","±239","0.0%","±0.1","554","±337","0.0%","±0.1","370","±267","0.0%","±0.1","111","±113","0.0%","±0.1","245","±184","0.0%","±0.1","409","±297","0.0%","±0.1","635","±395","0.1%","±0.1","487","±302","0.0%","±0.1","487","±359","0.0%","±0.1","468","±198","0.0%","±0.1","373","±243","0.0%","±0.1","183","±181","0.0%","±0.1","369","±262","0.0%","±0.1","126","±129","0.0%","±0.1","285","±214","0.0%","±0.1","434","±282","0.0%","±0.1","593","±283","0.1%","±0.1","1,002","±364","0.0%","±0.1","2,578","±650","0.3%","±0.1","2,168","±704","0.0%","±0.1","821","±390","0.0%","±0.1","31","±59","0.0%","±0.1","991","±390","0.0%","±0.1","71","±75","0.0%","±0.1","531","±312","0.0%","±0.1","1,484","±445","0.0%","±0.1","204","±198","0.0%","±0.1","257","±226","0.0%","±0.1","275","±225","0.1%","±0.1","376","±278","0.0%","±0.1","978","±491","0.0%","±0.1","163","±143","0.0%","±0.1","206","±170","0.1%","±0.1","350","±254","0.0%","±0.1","514","±357","0.0%","±0.1","239","±281","0.0%","±0.1","584","±211","0.0%","±0.1","141","±186","0.1%","±0.1","8,020","±1,213","0.6%","±0.1"
"    Other fuel","1,511","±540","0.1%","±0.1","1,072","±329","0.4%","±0.1","5,795","±1,173","0.2%","±0.1","3,305","±969","0.3%","±0.1","43,454","±3,218","0.3%","±0.1","9,329","±1,350","0.5%","±0.1","9,891","±1,375","0.7%","±0.1","1,933","±665","0.6%","±0.2","1,410","±685","0.5%","±0.3","2,869","±785","0.0%","±0.1","2,971","±827","0.1%","±0.1","456","±261","0.1%","±0.1","4,131","±902","0.7%","±0.2","20,728","±2,092","0.4%","±0.1","11,747","±1,511","0.5%","±0.1","10,010","±1,362","0.8%","±0.1","4,288","±842","0.4%","±0.1","4,848","±865","0.3%","±0.1","1,365","±472","0.1%","±0.1","6,995","±1,021","1.3%","±0.2","9,507","±1,232","0.4%","±0.1","14,495","±1,845","0.6%","±0.1","32,087","±2,374","0.8%","±0.1","24,432","±1,703","1.2%","±0.1","1,609","±623","0.1%","±0.1","7,872","±1,383","0.3%","±0.1","7,212","±1,243","1.8%","±0.3","6,269","±918","0.9%","±0.1","3,723","±911","0.4%","±0.1","7,870","±1,198","1.5%","±0.2","10,889","±1,307","0.3%","±0.1","8,257","±1,182","1.1%","±0.2","61,429","±3,371","0.8%","±0.1","5,897","±1,041","0.2%","±0.1","4,751","±1,074","1.6%","±0.4","35,424","±2,655","0.8%","±0.1","8,427","±852","0.6%","±0.1","9,808","±1,404","0.6%","±0.1","31,494","±2,189","0.6%","±0.1","2,165","±569","0.5%","±0.1","1,688","±625","0.1%","±0.1","4,387","±850","1.4%","±0.3","2,391","±608","0.1%","±0.1","12,505","±1,789","0.1%","±0.1","2,717","±783","0.3%","±0.1","3,749","±708","1.5%","±0.3","8,450","±1,234","0.3%","±0.1","16,609","±2,004","0.6%","±0.1","4,121","±808","0.6%","±0.1","20,485","±1,689","0.9%","±0.1","1,738","±678","0.8%","±0.3","626","±428","0.0%","±0.1"
"    No fuel used","4,389","±984","0.2%","±0.1","610","±317","0.2%","±0.1","26,041","±2,335","1.1%","±0.1","1,714","±572","0.1%","±0.1","340,935","±8,542","2.7%","±0.1","5,349","±1,017","0.3%","±0.1","3,932","±1,157","0.3%","±0.1","765","±330","0.2%","±0.1","1,874","±616","0.7%","±0.2","100,748","±3,715","1.4%","±0.1","9,768","±1,356","0.3%","±0.1","280,432","±5,588","62.6%","±1.0","1,064","±408","0.2%","±0.1","18,721","±1,785","0.4%","±0.1","5,456","±920","0.2%","±0.1","5,192","±922","0.4%","±0.1","1,351","±517","0.1%","±0.1","3,131","±605","0.2%","±0.1","4,057","±868","0.2%","±0.1","942","±420","0.2%","±0.1","5,526","±949","0.3%","±0.1","4,985","±872","0.2%","±0.1","12,634","±1,329","0.3%","±0.1","11,343","±1,334","0.5%","±0.1","2,546","±750","0.2%","±0.1","4,064","±847","0.2%","±0.1","1,246","±525","0.3%","±0.1","1,459","±432","0.2%","±0.1","3,472","±847","0.3%","±0.1","4,603","±1,163","0.9%","±0.2","8,240","±1,038","0.3%","±0.1","1,197","±412","0.2%","±0.1","42,097","±3,266","0.6%","±0.1","11,158","±1,477","0.3%","±0.1","2,008","±507","0.7%","±0.2","14,905","±1,743","0.3%","±0.1","1,762","±509","0.1%","±0.1","3,928","±946","0.3%","±0.1","11,269","±1,476","0.2%","±0.1","1,361","±445","0.3%","±0.1","6,395","±1,112","0.4%","±0.1","1,935","±582","0.6%","±0.2","5,413","±1,093","0.2%","±0.1","38,378","±3,050","0.4%","±0.1","991","±402","0.1%","±0.1","460","±282","0.2%","±0.1","7,005","±1,114","0.2%","±0.1","7,658","±1,382","0.3%","±0.1","1,369","±510","0.2%","±0.1","8,228","±978","0.4%","±0.1","399","±234","0.2%","±0.1","1,037,940","±10,143","82.1%","±0.5"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,845,169","±11,483","1,845,169","(X)","251,651","±2,883","251,651","(X)","2,392,168","±11,611","2,392,168","(X)","1,143,859","±7,351","1,143,859","(X)","12,552,658","±18,433","12,552,658","(X)","1,996,088","±8,553","1,996,088","(X)","1,357,812","±6,453","1,357,812","(X)","340,308","±3,122","340,308","(X)","266,662","±3,138","266,662","(X)","7,197,943","±25,102","7,197,943","(X)","3,532,908","±15,691","3,532,908","(X)","447,748","±4,282","447,748","(X)","583,106","±5,317","583,106","(X)","4,770,194","±13,140","4,770,194","(X)","2,480,077","±10,833","2,480,077","(X)","1,227,048","±6,132","1,227,048","(X)","1,113,911","±5,555","1,113,911","(X)","1,707,004","±8,109","1,707,004","(X)","1,719,473","±9,205","1,719,473","(X)","554,543","±4,451","554,543","(X)","2,157,717","±7,667","2,157,717","(X)","2,522,394","±9,088","2,522,394","(X)","3,819,068","±10,789","3,819,068","(X)","2,111,943","±6,274","2,111,943","(X)","1,090,521","±7,826","1,090,521","(X)","2,359,135","±11,280","2,359,135","(X)","408,938","±3,977","408,938","(X)","733,570","±4,667","733,570","(X)","1,006,605","±7,913","1,006,605","(X)","519,137","±4,650","519,137","(X)","3,198,799","±8,893","3,198,799","(X)","764,996","±5,964","764,996","(X)","7,238,922","±16,375","7,238,922","(X)","3,731,325","±14,347","3,731,325","(X)","290,944","±2,708","290,944","(X)","4,554,672","±11,606","4,554,672","(X)","1,446,667","±5,298","1,446,667","(X)","1,516,957","±7,216","1,516,957","(X)","4,958,249","±11,531","4,958,249","(X)","413,083","±3,010","413,083","(X)","1,787,340","±9,096","1,787,340","(X)","323,765","±3,111","323,765","(X)","2,480,090","±11,146","2,480,090","(X)","8,970,959","±21,541","8,970,959","(X)","895,691","±5,044","895,691","(X)","258,520","±2,853","258,520","(X)","3,038,967","±13,344","3,038,967","(X)","2,636,817","±10,074","2,636,817","(X)","741,544","±5,473","741,544","(X)","2,288,362","±8,293","2,288,362","(X)","223,513","±2,812","223,513","(X)","1,263,694","±9,111","1,263,694","(X)"
"    Lacking complete plumbing facilities","7,232","±1,310","0.4%","±0.1","11,580","±1,422","4.6%","±0.6","15,801","±1,615","0.7%","±0.1","6,233","±1,093","0.5%","±0.1","51,482","±4,166","0.4%","±0.1","6,088","±1,301","0.3%","±0.1","2,754","±889","0.2%","±0.1","837","±425","0.2%","±0.1","820","±474","0.3%","±0.2","19,504","±2,346","0.3%","±0.1","10,774","±2,037","0.3%","±0.1","3,770","±904","0.8%","±0.2","2,446","±854","0.4%","±0.1","10,076","±1,434","0.2%","±0.1","7,794","±1,314","0.3%","±0.1","3,690","±1,078","0.3%","±0.1","3,822","±984","0.3%","±0.1","6,942","±1,293","0.4%","±0.1","7,176","±1,415","0.4%","±0.1","4,508","±915","0.8%","±0.2","6,115","±1,345","0.3%","±0.1","7,230","±1,436","0.3%","±0.1","11,370","±1,441","0.3%","±0.1","6,299","±1,028","0.3%","±0.1","4,318","±927","0.4%","±0.1","8,996","±1,409","0.4%","±0.1","1,816","±479","0.4%","±0.1","1,564","±517","0.2%","±0.1","2,942","±790","0.3%","±0.1","2,597","±914","0.5%","±0.2","9,810","±1,734","0.3%","±0.1","7,345","±1,124","1.0%","±0.1","28,168","±2,956","0.4%","±0.1","10,873","±1,745","0.3%","±0.1","869","±460","0.3%","±0.2","14,902","±1,597","0.3%","±0.1","5,912","±853","0.4%","±0.1","6,402","±1,379","0.4%","±0.1","19,023","±2,335","0.4%","±0.1","1,798","±673","0.4%","±0.2","6,179","±1,284","0.3%","±0.1","2,383","±877","0.7%","±0.3","7,276","±1,249","0.3%","±0.1","42,531","±3,251","0.5%","±0.1","1,917","±726","0.2%","±0.1","915","±243","0.4%","±0.1","7,912","±1,486","0.3%","±0.1","11,305","±1,992","0.4%","±0.1","4,142","±905","0.6%","±0.1","8,766","±1,072","0.4%","±0.1","706","±443","0.3%","±0.2","(X)","(X)","(X)","(X)"
"    Lacking complete kitchen facilities","12,198","±1,653","0.7%","±0.1","9,325","±1,496","3.7%","±0.6","18,496","±1,999","0.8%","±0.1","9,614","±1,452","0.8%","±0.1","142,812","±5,737","1.1%","±0.1","14,183","±2,142","0.7%","±0.1","7,719","±1,570","0.6%","±0.1","2,137","±760","0.6%","±0.2","1,906","±738","0.7%","±0.3","52,399","±3,438","0.7%","±0.1","20,229","±2,361","0.6%","±0.1","7,928","±1,240","1.8%","±0.3","4,407","±1,218","0.8%","±0.2","29,735","±2,599","0.6%","±0.1","17,364","±1,782","0.7%","±0.1","10,172","±1,547","0.8%","±0.1","10,729","±1,403","1.0%","±0.1","11,473","±1,529","0.7%","±0.1","10,734","±1,494","0.6%","±0.1","4,438","±910","0.8%","±0.2","12,145","±1,681","0.6%","±0.1","16,141","±2,183","0.6%","±0.1","26,080","±2,299","0.7%","±0.1","12,555","±1,689","0.6%","±0.1","7,758","±1,472","0.7%","±0.1","17,885","±2,257","0.8%","±0.1","4,304","±969","1.1%","±0.2","6,661","±973","0.9%","±0.1","9,377","±1,488","0.9%","±0.1","3,675","±1,048","0.7%","±0.2","23,342","±2,135","0.7%","±0.1","9,370","±1,658","1.2%","±0.2","57,233","±4,340","0.8%","±0.1","22,766","±2,315","0.6%","±0.1","1,327","±520","0.5%","±0.2","41,925","±2,915","0.9%","±0.1","12,326","±1,509","0.9%","±0.1","18,941","±2,134","1.2%","±0.1","47,776","±3,467","1.0%","±0.1","3,364","±1,010","0.8%","±0.2","12,085","±1,786","0.7%","±0.1","3,479","±1,024","1.1%","±0.3","15,867","±1,925","0.6%","±0.1","68,856","±4,154","0.8%","±0.1","4,540","±990","0.5%","±0.1","1,852","±730","0.7%","±0.3","15,691","±1,767","0.5%","±0.1","25,285","±2,703","1.0%","±0.1","5,037","±969","0.7%","±0.1","17,543","±1,690","0.8%","±0.1","1,338","±574","0.6%","±0.3","18,246","±1,972","1.4%","±0.2"
"    No telephone service available","50,573","±3,083","2.7%","±0.2","5,674","±1,218","2.3%","±0.5","65,805","±3,376","2.8%","±0.1","43,734","±3,036","3.8%","±0.3","258,944","±6,974","2.1%","±0.1","46,487","±2,994","2.3%","±0.1","19,932","±2,041","1.5%","±0.1","7,423","±1,043","2.2%","±0.3","8,049","±1,415","3.0%","±0.5","255,213","±7,914","3.5%","±0.1","140,345","±6,645","4.0%","±0.2","11,714","±1,649","2.6%","±0.4","16,683","±2,069","2.9%","±0.3","109,741","±4,755","2.3%","±0.1","81,639","±4,154","3.3%","±0.2","32,053","±2,341","2.6%","±0.2","29,784","±2,372","2.7%","±0.2","54,716","±3,022","3.2%","±0.2","44,561","±3,314","2.6%","±0.2","9,932","±1,306","1.8%","±0.2","46,970","±3,320","2.2%","±0.2","39,616","±2,564","1.6%","±0.1","107,045","±4,249","2.8%","±0.1","42,323","±2,543","2.0%","±0.1","30,332","±2,573","2.8%","±0.2","67,978","±4,071","2.9%","±0.2","10,823","±1,381","2.6%","±0.3","17,709","±1,838","2.4%","±0.2","25,566","±2,105","2.5%","±0.2","10,232","±1,395","2.0%","±0.3","58,037","±3,500","1.8%","±0.1","26,992","±2,155","3.5%","±0.3","178,705","±6,113","2.5%","±0.1","90,175","±4,364","2.4%","±0.1","7,811","±1,672","2.7%","±0.6","144,835","±5,947","3.2%","±0.1","32,833","±1,988","2.3%","±0.1","37,271","±2,975","2.5%","±0.2","100,488","±4,059","2.0%","±0.1","8,507","±1,443","2.1%","±0.3","49,009","±3,613","2.7%","±0.2","9,086","±1,441","2.8%","±0.4","67,208","±3,559","2.7%","±0.1","234,048","±7,443","2.6%","±0.1","21,707","±1,942","2.4%","±0.2","3,656","±610","1.4%","±0.2","72,745","±4,066","2.4%","±0.1","69,857","±4,958","2.6%","±0.2","26,106","±2,453","3.5%","±0.3","52,375","±2,852","2.3%","±0.1","5,065","±1,069","2.3%","±0.5","73,304","±3,770","5.8%","±0.3"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,845,169","±11,483","1,845,169","(X)","251,651","±2,883","251,651","(X)","2,392,168","±11,611","2,392,168","(X)","1,143,859","±7,351","1,143,859","(X)","12,552,658","±18,433","12,552,658","(X)","1,996,088","±8,553","1,996,088","(X)","1,357,812","±6,453","1,357,812","(X)","340,308","±3,122","340,308","(X)","266,662","±3,138","266,662","(X)","7,197,943","±25,102","7,197,943","(X)","3,532,908","±15,691","3,532,908","(X)","447,748","±4,282","447,748","(X)","583,106","±5,317","583,106","(X)","4,770,194","±13,140","4,770,194","(X)","2,480,077","±10,833","2,480,077","(X)","1,227,048","±6,132","1,227,048","(X)","1,113,911","±5,555","1,113,911","(X)","1,707,004","±8,109","1,707,004","(X)","1,719,473","±9,205","1,719,473","(X)","554,543","±4,451","554,543","(X)","2,157,717","±7,667","2,157,717","(X)","2,522,394","±9,088","2,522,394","(X)","3,819,068","±10,789","3,819,068","(X)","2,111,943","±6,274","2,111,943","(X)","1,090,521","±7,826","1,090,521","(X)","2,359,135","±11,280","2,359,135","(X)","408,938","±3,977","408,938","(X)","733,570","±4,667","733,570","(X)","1,006,605","±7,913","1,006,605","(X)","519,137","±4,650","519,137","(X)","3,198,799","±8,893","3,198,799","(X)","764,996","±5,964","764,996","(X)","7,238,922","±16,375","7,238,922","(X)","3,731,325","±14,347","3,731,325","(X)","290,944","±2,708","290,944","(X)","4,554,672","±11,606","4,554,672","(X)","1,446,667","±5,298","1,446,667","(X)","1,516,957","±7,216","1,516,957","(X)","4,958,249","±11,531","4,958,249","(X)","413,083","±3,010","413,083","(X)","1,787,340","±9,096","1,787,340","(X)","323,765","±3,111","323,765","(X)","2,480,090","±11,146","2,480,090","(X)","8,970,959","±21,541","8,970,959","(X)","895,691","±5,044","895,691","(X)","258,520","±2,853","258,520","(X)","3,038,967","±13,344","3,038,967","(X)","2,636,817","±10,074","2,636,817","(X)","741,544","±5,473","741,544","(X)","2,288,362","±8,293","2,288,362","(X)","223,513","±2,812","223,513","(X)","1,263,694","±9,111","1,263,694","(X)"
"    1.00 or less","1,810,113","±11,810","98.1%","±0.2","235,587","±3,030","93.6%","±0.6","2,281,834","±12,055","95.4%","±0.2","1,116,302","±7,228","97.6%","±0.2","11,523,780","±23,151","91.8%","±0.1","1,943,742","±9,725","97.4%","±0.2","1,334,512","±6,679","98.3%","±0.2","334,440","±2,936","98.3%","±0.4","257,165","±3,054","96.4%","±0.6","6,994,176","±24,428","97.2%","±0.1","3,445,551","±17,682","97.5%","±0.1","409,294","±4,571","91.4%","±0.6","566,738","±5,055","97.2%","±0.4","4,646,382","±13,673","97.4%","±0.1","2,437,808","±11,409","98.3%","±0.1","1,208,387","±6,328","98.5%","±0.2","1,089,582","±6,305","97.8%","±0.2","1,677,644","±8,118","98.3%","±0.1","1,678,425","±9,176","97.6%","±0.2","545,150","±4,467","98.3%","±0.3","2,116,285","±8,097","98.1%","±0.1","2,478,537","±9,311","98.3%","±0.1","3,758,951","±11,038","98.4%","±0.1","2,069,854","±6,823","98.0%","±0.2","1,059,832","±8,427","97.2%","±0.3","2,320,062","±11,207","98.3%","±0.2","400,895","±3,733","98.0%","±0.3","718,790","±4,881","98.0%","±0.2","958,397","±8,490","95.2%","±0.4","513,234","±4,716","98.9%","±0.2","3,094,322","±9,676","96.7%","±0.2","739,816","±6,524","96.7%","±0.3","6,881,330","±17,539","95.1%","±0.1","3,635,737","±14,952","97.4%","±0.1","287,413","±2,800","98.8%","±0.2","4,498,643","±12,387","98.8%","±0.1","1,407,546","±5,694","97.3%","±0.2","1,470,284","±7,609","96.9%","±0.2","4,893,257","±12,549","98.7%","±0.1","406,099","±3,262","98.3%","±0.4","1,755,389","±9,297","98.2%","±0.2","316,705","±2,947","97.8%","±0.4","2,432,195","±11,839","98.1%","±0.2","8,526,934","±24,152","95.1%","±0.1","861,174","±5,635","96.1%","±0.3","255,222","±2,788","98.7%","±0.3","2,978,542","±14,383","98.0%","±0.1","2,562,294","±10,582","97.2%","±0.2","731,600","±5,917","98.7%","±0.2","2,247,957","±8,720","98.2%","±0.1","218,621","±2,984","97.8%","±0.5","1,206,012","±9,386","95.4%","±0.2"
"    1.01 to 1.50","24,241","±2,477","1.3%","±0.1","9,440","±1,055","3.8%","±0.4","77,479","±4,473","3.2%","±0.2","21,418","±2,351","1.9%","±0.2","680,436","±11,328","5.4%","±0.1","38,413","±3,341","1.9%","±0.2","16,327","±1,941","1.2%","±0.1","4,623","±1,257","1.4%","±0.4","4,585","±1,018","1.7%","±0.4","147,633","±6,187","2.1%","±0.1","66,118","±4,416","1.9%","±0.1","24,943","±2,416","5.6%","±0.5","11,527","±1,946","2.0%","±0.3","94,429","±4,457","2.0%","±0.1","32,268","±2,949","1.3%","±0.1","15,304","±1,527","1.2%","±0.1","17,067","±1,890","1.5%","±0.2","23,656","±2,349","1.4%","±0.1","31,242","±2,946","1.8%","±0.2","6,034","±1,188","1.1%","±0.2","30,314","±2,440","1.4%","±0.1","29,374","±2,568","1.2%","±0.1","46,933","±3,103","1.2%","±0.1","31,278","±2,685","1.5%","±0.1","23,934","±2,575","2.2%","±0.2","28,737","±2,699","1.2%","±0.1","5,626","±1,117","1.4%","±0.3","11,790","±1,553","1.6%","±0.2","36,228","±3,457","3.6%","±0.3","3,667","±929","0.7%","±0.2","67,750","±3,715","2.1%","±0.1","16,305","±1,956","2.1%","±0.3","235,391","±8,041","3.3%","±0.1","71,971","±3,869","1.9%","±0.1","2,586","±541","0.9%","±0.2","43,310","±3,326","1.0%","±0.1","30,910","±2,366","2.1%","±0.2","37,264","±3,513","2.5%","±0.2","46,623","±3,168","0.9%","±0.1","5,180","±1,215","1.3%","±0.3","24,106","±2,746","1.3%","±0.2","5,267","±1,177","1.6%","±0.4","37,363","±3,444","1.5%","±0.1","318,749","±8,092","3.6%","±0.1","29,194","±2,543","3.3%","±0.3","2,828","±738","1.1%","±0.3","44,030","±3,600","1.4%","±0.1","55,330","±3,651","2.1%","±0.1","7,732","±1,309","1.0%","±0.2","30,360","±2,715","1.3%","±0.1","3,628","±947","1.6%","±0.4","48,154","±2,860","3.8%","±0.2"
"    1.51 or more","10,815","±2,010","0.6%","±0.1","6,624","±1,171","2.6%","±0.5","32,855","±2,875","1.4%","±0.1","6,139","±1,205","0.5%","±0.1","348,442","±9,006","2.8%","±0.1","13,933","±1,637","0.7%","±0.1","6,973","±1,197","0.5%","±0.1","1,245","±636","0.4%","±0.2","4,912","±1,161","1.8%","±0.4","56,134","±4,143","0.8%","±0.1","21,239","±2,838","0.6%","±0.1","13,511","±1,918","3.0%","±0.4","4,841","±1,301","0.8%","±0.2","29,383","±2,651","0.6%","±0.1","10,001","±1,469","0.4%","±0.1","3,357","±797","0.3%","±0.1","7,262","±1,442","0.7%","±0.1","5,704","±1,085","0.3%","±0.1","9,806","±1,471","0.6%","±0.1","3,359","±928","0.6%","±0.2","11,118","±1,978","0.5%","±0.1","14,483","±2,080","0.6%","±0.1","13,184","±1,546","0.3%","±0.1","10,811","±1,736","0.5%","±0.1","6,755","±1,442","0.6%","±0.1","10,336","±1,752","0.4%","±0.1","2,417","±664","0.6%","±0.2","2,990","±764","0.4%","±0.1","11,980","±1,792","1.2%","±0.2","2,236","±770","0.4%","±0.1","36,727","±3,160","1.1%","±0.1","8,875","±1,309","1.2%","±0.2","122,201","±5,093","1.7%","±0.1","23,617","±2,977","0.6%","±0.1","945","±380","0.3%","±0.1","12,719","±1,793","0.3%","±0.1","8,211","±1,077","0.6%","±0.1","9,409","±1,460","0.6%","±0.1","18,369","±2,316","0.4%","±0.1","1,804","±769","0.4%","±0.2","7,845","±1,633","0.4%","±0.1","1,793","±542","0.6%","±0.2","10,532","±1,554","0.4%","±0.1","125,276","±5,782","1.4%","±0.1","5,323","±1,112","0.6%","±0.1","470","±226","0.2%","±0.1","16,395","±2,200","0.5%","±0.1","19,193","±2,509","0.7%","±0.1","2,212","±682","0.3%","±0.1","10,045","±1,540","0.4%","±0.1","1,264","±585","0.6%","±0.3","9,528","±1,332","0.8%","±0.1"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","1,268,565","±12,217","1,268,565","(X)","159,427","±3,595","159,427","(X)","1,496,650","±13,898","1,496,650","(X)","757,722","±8,214","757,722","(X)","6,781,817","±25,470","6,781,817","(X)","1,278,158","±11,129","1,278,158","(X)","908,452","±7,756","908,452","(X)","241,050","±3,609","241,050","(X)","110,681","±3,549","110,681","(X)","4,724,428","±21,345","4,724,428","(X)","2,248,702","±19,411","2,248,702","(X)","254,770","±4,107","254,770","(X)","398,671","±5,979","398,671","(X)","3,177,104","±16,645","3,177,104","(X)","1,720,780","±14,241","1,720,780","(X)","882,584","±7,833","882,584","(X)","739,191","±7,686","739,191","(X)","1,144,309","±10,967","1,144,309","(X)","1,130,134","±10,390","1,130,134","(X)","396,014","±5,199","396,014","(X)","1,433,937","±10,091","1,433,937","(X)","1,570,055","±10,932","1,570,055","(X)","2,713,964","±15,597","2,713,964","(X)","1,508,810","±9,302","1,508,810","(X)","743,611","±9,469","743,611","(X)","1,591,686","±12,609","1,591,686","(X)","274,196","±4,635","274,196","(X)","486,642","±6,333","486,642","(X)","552,324","±7,892","552,324","(X)","367,863","±5,474","367,863","(X)","2,081,481","±13,198","2,081,481","(X)","518,106","±7,759","518,106","(X)","3,883,893","±16,541","3,883,893","(X)","2,441,626","±15,846","2,441,626","(X)","189,193","±3,576","189,193","(X)","3,019,382","±13,908","3,019,382","(X)","960,369","±7,142","960,369","(X)","933,775","±9,126","933,775","(X)","3,416,499","±15,135","3,416,499","(X)","247,790","±4,277","247,790","(X)","1,217,692","±9,732","1,217,692","(X)","217,200","±3,814","217,200","(X)","1,654,001","±14,531","1,654,001","(X)","5,586,856","±26,359","5,586,856","(X)","623,589","±6,650","623,589","(X)","183,563","±2,872","183,563","(X)","2,010,442","±15,164","2,010,442","(X)","1,643,637","±12,066","1,643,637","(X)","533,758","±5,867","533,758","(X)","1,539,778","±10,829","1,539,778","(X)","154,329","±3,897","154,329","(X)","877,877","±8,341","877,877","(X)"
"    Less than $50,000","205,516","±5,917","16.2%","±0.4","9,698","±1,165","6.1%","±0.7","165,894","±6,291","11.1%","±0.4","136,973","±5,014","18.1%","±0.6","277,446","±6,651","4.1%","±0.1","64,422","±3,414","5.0%","±0.3","18,278","±1,977","2.0%","±0.2","15,427","±1,523","6.4%","±0.6","1,069","±367","1.0%","±0.3","504,923","±10,875","10.7%","±0.2","257,901","±7,915","11.5%","±0.3","4,113","±880","1.6%","±0.3","28,416","±2,488","7.1%","±0.6","229,005","±5,657","7.2%","±0.2","185,341","±5,586","10.8%","±0.3","100,067","±4,043","11.3%","±0.4","105,274","±4,145","14.2%","±0.5","181,061","±6,172","15.8%","±0.5","178,992","±6,730","15.8%","±0.6","30,808","±2,087","7.8%","±0.5","45,707","±3,134","3.2%","±0.2","30,946","±2,402","2.0%","±0.2","454,656","±8,126","16.8%","±0.3","90,763","±2,920","6.0%","±0.2","160,391","±5,985","21.6%","±0.7","189,773","±6,460","11.9%","±0.4","29,415","±2,114","10.7%","±0.7","54,522","±2,521","11.2%","±0.5","48,953","±2,487","8.9%","±0.5","17,489","±1,678","4.8%","±0.5","45,488","±2,494","2.2%","±0.1","65,380","±3,581","12.6%","±0.7","211,158","±6,130","5.4%","±0.2","245,512","±8,074","10.1%","±0.3","29,715","±1,827","15.7%","±0.9","293,962","±7,626","9.7%","±0.2","153,344","±3,965","16.0%","±0.4","68,204","±3,376","7.3%","±0.3","313,473","±7,290","9.2%","±0.2","6,154","±1,102","2.5%","±0.5","178,563","±6,585","14.7%","±0.5","34,934","±1,798","16.1%","±0.8","175,888","±6,310","10.6%","±0.4","687,776","±12,291","12.3%","±0.2","26,889","±2,269","4.3%","±0.4","9,371","±1,187","5.1%","±0.6","112,863","±4,686","5.6%","±0.2","81,162","±4,078","4.9%","±0.2","121,345","±4,396","22.7%","±0.8","83,086","±2,704","5.4%","±0.2","16,850","±1,669","10.9%","±1.0","73,995","±3,557","8.4%","±0.4"
