"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Lacking complete kitchen facilities","15,524","±2,237","0.9%","±0.1","9,983","±1,360","3.9%","±0.5","23,627","±2,747","1.0%","±0.1","11,784","±1,779","1.1%","±0.2","156,922","±6,818","1.3%","±0.1","17,095","±2,045","0.9%","±0.1","10,479","±1,602","0.8%","±0.1","2,977","±974","0.9%","±0.3","2,423","±789","1.0%","±0.3","57,410","±5,162","0.8%","±0.1","29,475","±3,316","0.8%","±0.1","7,737","±1,065","1.7%","±0.2","5,677","±1,344","1.0%","±0.2","42,438","±3,592","0.9%","±0.1","19,868","±2,259","0.8%","±0.1","11,131","±1,455","0.9%","±0.1","8,650","±1,427","0.8%","±0.1","14,868","±1,769","0.9%","±0.1","14,081","±1,916","0.8%","±0.1","6,958","±1,516","1.3%","±0.3","14,268","±2,396","0.7%","±0.1","19,488","±2,386","0.8%","±0.1","30,448","±3,137","0.8%","±0.1","14,689","±2,069","0.7%","±0.1","10,830","±1,666","1.0%","±0.2","20,336","±2,192","0.9%","±0.1","4,825","±970","1.2%","±0.2","5,291","±1,183","0.7%","±0.2","13,424","±2,069","1.4%","±0.2","4,268","±1,064","0.8%","±0.2","26,915","±2,867","0.8%","±0.1","9,751","±1,610","1.3%","±0.2","71,802","±4,623","1.0%","±0.1","26,874","±2,843","0.7%","±0.1","2,406","±712","0.9%","±0.3","47,157","±4,143","1.0%","±0.1","13,215","±1,942","0.9%","±0.1","22,580","±2,507","1.5%","±0.2","48,396","±3,606","1.0%","±0.1","4,981","±1,330","1.2%","±0.3","12,473","±1,906","0.7%","±0.1","3,203","±777","1.0%","±0.2","20,093","±2,628","0.8%","±0.1","93,293","±5,378","1.1%","±0.1","8,033","±1,625","0.9%","±0.2","2,699","±868","1.1%","±0.3","22,918","±2,801","0.8%","±0.1","28,185","±2,477","1.1%","±0.1","4,834","±1,312","0.7%","±0.2","23,864","±2,433","1.0%","±0.1","1,320","±559","0.6%","±0.2","21,529","±2,059","1.6%","±0.2"
"    No telephone service available","47,253","±3,850","2.6%","±0.2","4,347","±959","1.7%","±0.4","70,113","±4,896","3.0%","±0.2","34,724","±2,730","3.1%","±0.2","257,486","±8,261","2.1%","±0.1","44,276","±3,300","2.3%","±0.2","22,851","±2,373","1.7%","±0.2","5,960","±1,460","1.8%","±0.4","8,233","±1,726","3.3%","±0.7","193,696","±6,624","2.8%","±0.1","108,575","±5,387","3.1%","±0.2","11,128","±1,676","2.5%","±0.4","15,157","±1,975","2.6%","±0.3","108,024","±5,250","2.3%","±0.1","70,618","±4,404","2.9%","±0.2","31,242","±2,447","2.6%","±0.2","27,287","±2,089","2.5%","±0.2","52,052","±4,004","3.1%","±0.2","53,802","±3,407","3.2%","±0.2","12,023","±1,378","2.2%","±0.3","50,704","±3,922","2.4%","±0.2","41,091","±3,333","1.6%","±0.1","105,056","±4,361","2.8%","±0.1","38,566","±2,995","1.8%","±0.1","33,223","±2,985","3.1%","±0.3","64,119","±3,666","2.7%","±0.2","12,013","±1,915","3.0%","±0.5","14,325","±1,811","2.0%","±0.3","23,229","±2,284","2.3%","±0.2","8,991","±1,471","1.7%","±0.3","65,525","±4,817","2.1%","±0.2","36,024","±3,266","4.7%","±0.4","202,949","±8,633","2.8%","±0.1","89,152","±5,125","2.4%","±0.1","4,409","±847","1.6%","±0.3","126,563","±5,557","2.8%","±0.1","31,134","±2,516","2.2%","±0.2","34,718","±2,878","2.3%","±0.2","99,712","±4,577","2.0%","±0.1","11,322","±2,001","2.8%","±0.5","50,385","±3,802","2.9%","±0.2","6,411","±1,188","2.0%","±0.4","68,379","±4,365","2.8%","±0.2","227,395","±8,849","2.6%","±0.1","19,789","±2,021","2.2%","±0.2","5,770","±899","2.2%","±0.4","78,305","±4,699","2.6%","±0.2","56,565","±3,611","2.2%","±0.1","27,503","±2,447","3.7%","±0.3","45,328","±3,094","2.0%","±0.1","5,050","±1,009","2.3%","±0.5","85,708","±4,009","6.5%","±0.3"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,815,152","±10,938","1,815,152","(X)","254,610","±2,804","254,610","(X)","2,334,050","±12,895","2,334,050","(X)","1,114,902","±8,104","1,114,902","(X)","12,406,475","±16,820","12,406,475","(X)","1,960,585","±9,151","1,960,585","(X)","1,358,809","±7,109","1,358,809","(X)","328,765","±4,178","328,765","(X)","252,388","±3,730","252,388","(X)","7,035,068","±25,739","7,035,068","(X)","3,482,420","±15,694","3,482,420","(X)","445,812","±4,223","445,812","(X)","576,709","±5,739","576,709","(X)","4,752,857","±13,579","4,752,857","(X)","2,470,905","±11,185","2,470,905","(X)","1,223,439","±6,610","1,223,439","(X)","1,101,658","±6,952","1,101,658","(X)","1,684,348","±9,801","1,684,348","(X)","1,689,822","±9,615","1,689,822","(X)","545,417","±5,576","545,417","(X)","2,127,439","±8,728","2,127,439","(X)","2,520,419","±10,488","2,520,419","(X)","3,806,621","±12,287","3,806,621","(X)","2,091,548","±8,178","2,091,548","(X)","1,079,999","±8,323","1,079,999","(X)","2,350,628","±10,288","2,350,628","(X)","402,747","±4,175","402,747","(X)","719,304","±4,689","719,304","(X)","989,811","±6,963","989,811","(X)","515,431","±4,523","515,431","(X)","3,172,421","±11,815","3,172,421","(X)","765,183","±5,603","765,183","(X)","7,196,427","±16,507","7,196,427","(X)","3,670,859","±14,413","3,670,859","(X)","280,412","±3,191","280,412","(X)","4,525,066","±15,956","4,525,066","(X)","1,432,959","±7,544","1,432,959","(X)","1,507,137","±8,164","1,507,137","(X)","4,936,030","±14,212","4,936,030","(X)","402,295","±4,265","402,295","(X)","1,761,393","±10,691","1,761,393","(X)","318,955","±3,470","318,955","(X)","2,440,663","±12,796","2,440,663","(X)","8,738,664","±20,291","8,738,664","(X)","880,025","±4,985","880,025","(X)","256,922","±2,727","256,922","(X)","2,992,732","±14,604","2,992,732","(X)","2,606,863","±9,745","2,606,863","(X)","741,940","±5,724","741,940","(X)","2,279,532","±9,375","2,279,532","(X)","222,803","±3,575","222,803","(X)","1,319,448","±9,440","1,319,448","(X)"
"    1.00 or less","1,781,492","±11,031","98.1%","±0.2","238,915","±2,872","93.8%","±0.6","2,231,067","±12,942","95.6%","±0.2","1,085,931","±8,547","97.4%","±0.2","11,333,869","±21,087","91.4%","±0.1","1,907,526","±9,528","97.3%","±0.2","1,331,946","±7,400","98.0%","±0.2","321,500","±4,336","97.8%","±0.5","245,317","±4,088","97.2%","±0.5","6,848,576","±27,664","97.3%","±0.1","3,388,101","±15,871","97.3%","±0.1","407,825","±4,980","91.5%","±0.7","558,349","±6,082","96.8%","±0.4","4,626,030","±14,905","97.3%","±0.1","2,424,753","±11,432","98.1%","±0.1","1,206,752","±6,850","98.6%","±0.2","1,081,051","±7,270","98.1%","±0.2","1,653,299","±10,246","98.2%","±0.2","1,635,702","±10,358","96.8%","±0.2","537,849","±5,423","98.6%","±0.3","2,086,583","±9,341","98.1%","±0.2","2,481,690","±10,526","98.5%","±0.1","3,746,565","±12,756","98.4%","±0.1","2,052,927","±8,412","98.2%","±0.1","1,044,452","±8,450","96.7%","±0.3","2,310,192","±10,639","98.3%","±0.1","394,545","±4,320","98.0%","±0.4","705,403","±4,999","98.1%","±0.3","947,559","±7,510","95.7%","±0.3","508,572","±4,736","98.7%","±0.3","3,055,114","±12,432","96.3%","±0.1","737,707","±5,460","96.4%","±0.3","6,836,817","±18,072","95.0%","±0.1","3,585,612","±15,291","97.7%","±0.1","277,429","±3,161","98.9%","±0.2","4,465,440","±15,667","98.7%","±0.1","1,397,239","±7,562","97.5%","±0.2","1,465,056","±8,285","97.2%","±0.2","4,879,481","±14,347","98.9%","±0.1","394,969","±4,643","98.2%","±0.4","1,722,181","±11,353","97.8%","±0.2","312,288","±3,696","97.9%","±0.4","2,391,602","±13,089","98.0%","±0.2","8,284,839","±21,657","94.8%","±0.1","843,809","±5,665","95.9%","±0.4","253,557","±2,904","98.7%","±0.4","2,931,502","±15,450","98.0%","±0.1","2,533,030","±10,292","97.2%","±0.2","733,919","±5,453","98.9%","±0.2","2,241,711","±9,884","98.3%","±0.1","217,545","±3,689","97.6%","±0.6","1,249,415","±9,535","94.7%","±0.3"
"    1.01 to 1.50","23,084","±2,445","1.3%","±0.1","9,886","±1,372","3.9%","±0.5","72,889","±4,577","3.1%","±0.2","18,090","±2,147","1.6%","±0.2","686,062","±14,310","5.5%","±0.1","39,424","±3,973","2.0%","±0.2","18,832","±1,935","1.4%","±0.1","5,938","±1,521","1.8%","±0.5","4,215","±932","1.7%","±0.4","142,016","±6,310","2.0%","±0.1","70,599","±4,664","2.0%","±0.1","24,266","±2,372","5.4%","±0.5","14,713","±1,985","2.6%","±0.3","95,328","±5,369","2.0%","±0.1","35,668","±3,438","1.4%","±0.1","13,141","±1,759","1.1%","±0.1","15,024","±1,928","1.4%","±0.2","23,955","±2,702","1.4%","±0.2","41,469","±3,332","2.5%","±0.2","5,182","±1,227","1.0%","±0.2","31,472","±3,243","1.5%","±0.2","27,068","±3,020","1.1%","±0.1","46,819","±3,171","1.2%","±0.1","29,061","±2,825","1.4%","±0.1","27,442","±3,167","2.5%","±0.3","30,667","±2,623","1.3%","±0.1","6,018","±1,181","1.5%","±0.3","11,273","±1,774","1.6%","±0.2","29,674","±3,050","3.0%","±0.3","4,473","±1,170","0.9%","±0.2","60,066","±3,424","1.9%","±0.1","19,784","±2,371","2.6%","±0.3","235,435","±8,026","3.3%","±0.1","64,823","±4,366","1.8%","±0.1","2,196","±521","0.8%","±0.2","46,763","±3,871","1.0%","±0.1","28,419","±2,032","2.0%","±0.1","31,438","±2,713","2.1%","±0.2","39,481","±3,128","0.8%","±0.1","5,901","±1,312","1.5%","±0.3","25,907","±2,600","1.5%","±0.1","4,550","±1,056","1.4%","±0.3","37,231","±3,401","1.5%","±0.1","332,871","±9,041","3.8%","±0.1","30,244","±2,604","3.4%","±0.3","2,300","±707","0.9%","±0.3","42,175","±3,485","1.4%","±0.1","56,184","±4,048","2.2%","±0.2","5,949","±1,258","0.8%","±0.2","30,283","±2,534","1.3%","±0.1","4,114","±1,073","1.8%","±0.5","56,700","±3,829","4.3%","±0.3"
"    1.51 or more","10,576","±1,671","0.6%","±0.1","5,809","±989","2.3%","±0.4","30,094","±2,936","1.3%","±0.1","10,881","±2,064","1.0%","±0.2","386,544","±10,626","3.1%","±0.1","13,635","±2,110","0.7%","±0.1","8,031","±1,497","0.6%","±0.1","1,327","±594","0.4%","±0.2","2,856","±845","1.1%","±0.3","44,476","±3,897","0.6%","±0.1","23,720","±2,782","0.7%","±0.1","13,721","±1,993","3.1%","±0.4","3,647","±1,050","0.6%","±0.2","31,499","±3,264","0.7%","±0.1","10,484","±1,729","0.4%","±0.1","3,546","±935","0.3%","±0.1","5,583","±1,344","0.5%","±0.1","7,094","±1,492","0.4%","±0.1","12,651","±1,989","0.7%","±0.1","2,386","±803","0.4%","±0.1","9,384","±1,511","0.4%","±0.1","11,661","±1,771","0.5%","±0.1","13,237","±2,049","0.3%","±0.1","9,560","±1,377","0.5%","±0.1","8,105","±1,588","0.8%","±0.1","9,769","±1,713","0.4%","±0.1","2,184","±899","0.5%","±0.2","2,628","±823","0.4%","±0.1","12,578","±1,593","1.3%","±0.2","2,386","±917","0.5%","±0.2","57,241","±3,762","1.8%","±0.1","7,692","±1,423","1.0%","±0.2","124,175","±5,290","1.7%","±0.1","20,424","±3,059","0.6%","±0.1","787","±316","0.3%","±0.1","12,863","±1,730","0.3%","±0.1","7,301","±1,387","0.5%","±0.1","10,643","±1,915","0.7%","±0.1","17,068","±2,513","0.3%","±0.1","1,425","±735","0.4%","±0.2","13,305","±2,131","0.8%","±0.1","2,117","±670","0.7%","±0.2","11,830","±1,811","0.5%","±0.1","120,954","±6,716","1.4%","±0.1","5,972","±1,193","0.7%","±0.1","1,065","±499","0.4%","±0.2","19,055","±2,162","0.6%","±0.1","17,649","±2,011","0.7%","±0.1","2,072","±700","0.3%","±0.1","7,538","±1,417","0.3%","±0.1","1,144","±671","0.5%","±0.3","13,333","±1,816","1.0%","±0.1"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","1,272,846","±12,811","1,272,846","(X)","162,785","±3,878","162,785","(X)","1,522,938","±13,309","1,522,938","(X)","751,568","±9,191","751,568","(X)","6,903,175","±27,402","6,903,175","(X)","1,292,792","±11,248","1,292,792","(X)","923,617","±8,286","923,617","(X)","239,884","±4,113","239,884","(X)","107,193","±3,924","107,193","(X)","4,794,130","±25,332","4,794,130","(X)","2,304,165","±17,073","2,304,165","(X)","258,533","±5,422","258,533","(X)","401,532","±6,302","401,532","(X)","3,219,338","±16,289","3,219,338","(X)","1,736,751","±11,947","1,736,751","(X)","885,284","±8,254","885,284","(X)","749,907","±8,746","749,907","(X)","1,156,292","±12,036","1,156,292","(X)","1,141,504","±11,499","1,141,504","(X)","396,395","±5,449","396,395","(X)","1,426,267","±12,068","1,426,267","(X)","1,568,382","±10,691","1,568,382","(X)","2,769,474","±14,635","2,769,474","(X)","1,527,328","±10,448","1,527,328","(X)","753,374","±9,176","753,374","(X)","1,621,371","±13,182","1,621,371","(X)","280,633","±4,455","280,633","(X)","484,649","±6,026","484,649","(X)","565,869","±9,281","565,869","(X)","369,448","±5,293","369,448","(X)","2,106,728","±14,618","2,106,728","(X)","519,864","±7,374","519,864","(X)","3,904,123","±16,568","3,904,123","(X)","2,465,551","±18,417","2,465,551","(X)","187,673","±3,460","187,673","(X)","3,095,197","±18,587","3,095,197","(X)","971,378","±9,238","971,378","(X)","942,674","±8,824","942,674","(X)","3,461,678","±15,683","3,461,678","(X)","244,516","±5,053","244,516","(X)","1,210,160","±11,085","1,210,160","(X)","216,821","±3,676","216,821","(X)","1,662,768","±15,433","1,662,768","(X)","5,555,903","±27,420","5,555,903","(X)","615,142","±6,267","615,142","(X)","180,847","±3,870","180,847","(X)","2,025,240","±16,608","2,025,240","(X)","1,644,939","±11,518","1,644,939","(X)","553,429","±5,834","553,429","(X)","1,566,039","±12,101","1,566,039","(X)","155,278","±3,397","155,278","(X)","929,831","±9,777","929,831","(X)"
"    Less than $50,000","208,621","±6,063","16.4%","±0.5","9,693","±1,234","6.0%","±0.7","132,496","±4,492","8.7%","±0.3","145,083","±5,388","19.3%","±0.7","248,954","±6,951","3.6%","±0.1","65,851","±4,227","5.1%","±0.3","15,235","±1,542","1.6%","±0.2","14,371","±1,851","6.0%","±0.7","1,900","±586","1.8%","±0.5","417,072","±9,942","8.7%","±0.2","219,956","±7,093","9.5%","±0.3","2,432","±681","0.9%","±0.3","33,728","±2,523","8.4%","±0.6","220,260","±6,472","6.8%","±0.2","173,940","±5,283","10.0%","±0.3","105,709","±5,066","11.9%","±0.6","107,732","±4,552","14.4%","±0.6","184,545","±5,856","16.0%","±0.5","178,784","±6,554","15.7%","±0.5","27,006","±2,128","6.8%","±0.5","40,489","±3,143","2.8%","±0.2","27,170","±2,106","1.7%","±0.1","379,932","±9,591","13.7%","±0.3","88,397","±3,972","5.8%","±0.3","162,506","±5,691","21.6%","±0.7","183,965","±6,164","11.3%","±0.4","31,260","±2,306","11.1%","±0.8","55,042","±2,596","11.4%","±0.5","39,371","±2,760","7.0%","±0.5","16,865","±1,840","4.6%","±0.5","37,703","±3,122","1.8%","±0.1","71,265","±4,524","13.7%","±0.8","203,287","±5,676","5.2%","±0.1","243,876","±8,124","9.9%","±0.3","36,488","±1,970","19.4%","±1.0","268,033","±7,655","8.7%","±0.2","164,106","±6,033","16.9%","±0.6","62,096","±3,474","6.6%","±0.4","311,217","±7,506","9.0%","±0.2","5,483","±861","2.2%","±0.4","170,091","±5,731","14.1%","±0.4","36,338","±2,180","16.8%","±1.0","170,505","±6,473","10.3%","±0.4","680,245","±12,482","12.2%","±0.2","24,649","±2,191","4.0%","±0.4","9,177","±1,151","5.1%","±0.6","115,034","±5,156","5.7%","±0.2","72,372","±4,117","4.4%","±0.2","122,812","±5,639","22.2%","±1.0","79,716","±2,969","5.1%","±0.2","16,358","±2,110","10.5%","±1.3","88,437","±4,256","9.5%","±0.4"
"    $50,000 to $99,999","310,378","±7,872","24.4%","±0.6","8,379","±1,336","5.1%","±0.8","219,688","±7,091","14.4%","±0.4","209,334","±6,104","27.9%","±0.7","298,063","±8,418","4.3%","±0.1","64,220","±3,702","5.0%","±0.3","20,429","±2,019","2.2%","±0.2","9,655","±1,170","4.0%","±0.5","1,501","±586","1.4%","±0.5","824,035","±12,394","17.2%","±0.3","384,154","±9,426","16.7%","±0.4","3,985","±927","1.5%","±0.4","47,008","±3,079","11.7%","±0.7","447,724","±9,087","13.9%","±0.3","467,179","±9,180","26.9%","±0.5","227,064","±5,683","25.6%","±0.6","184,281","±5,350","24.6%","±0.6","275,819","±7,528","23.9%","±0.6","229,868","±6,620","20.1%","±0.5","56,964","±3,233","14.4%","±0.8","47,624","±3,345","3.3%","±0.2","24,155","±1,981","1.5%","±0.1","682,043","±11,194","24.6%","±0.4","139,498","±3,755","9.1%","±0.2","214,040","±6,746","28.4%","±0.8","346,005","±8,739","21.3%","±0.5","35,202","±2,087","12.5%","±0.7","113,289","±3,380","23.4%","±0.6","74,463","±4,041","13.2%","±0.7","17,565","±1,986","4.8%","±0.5","57,252","±3,648","2.7%","±0.2","78,955","±3,850","15.2%","±0.7","472,887","±8,387","12.1%","±0.2","443,529","±9,101","18.0%","±0.4","38,600","±1,923","20.6%","±1.0","724,887","±12,204","23.4%","±0.3","264,491","±6,641","27.2%","±0.6","41,236","±3,147","4.4%","±0.3","619,718","±9,872","17.9%","±0.3","3,922","±902","1.6%","±0.4","244,748","±7,203","20.2%","±0.6","42,972","±2,198","19.8%","±1.0","360,822","±9,407","21.7%","±0.5","1,358,574","±17,560","24.5%","±0.3","22,960","±2,139","3.7%","±0.3","11,589","±1,047","6.4%","±0.5","139,388","±5,267","6.9%","±0.2","64,396","±3,478","3.9%","±0.2","167,253","±5,542","30.2%","±0.9","213,097","±5,221","13.6%","±0.3","14,804","±1,595","9.5%","±1.0","269,973","±6,874","29.0%","±0.7"
"    $100,000 to $149,999","234,497","±6,474","18.4%","±0.5","16,791","±1,848","10.3%","±1.1","287,123","±7,983","18.9%","±0.5","155,711","±6,406","20.7%","±0.8","419,388","±8,626","6.1%","±0.1","144,628","±5,775","11.2%","±0.4","55,321","±3,270","6.0%","±0.4","18,239","±2,025","7.6%","±0.8","2,652","±758","2.5%","±0.7","865,077","±14,290","18.0%","±0.3","482,204","±10,902","20.9%","±0.5","5,307","±1,101","2.1%","±0.4","88,105","±3,910","21.9%","±0.9","475,280","±9,297","14.8%","±0.3","437,693","±9,378","25.2%","±0.5","216,682","±5,535","24.5%","±0.6","146,813","±5,266","19.6%","±0.7","257,901","±7,349","22.3%","±0.6","210,904","±6,593","18.5%","±0.6","63,119","±3,442","15.9%","±0.8","81,635","±4,321","5.7%","±0.3","62,225","±2,951","4.0%","±0.2","600,830","±10,964","21.7%","±0.4","236,063","±7,255","15.5%","±0.4","137,185","±6,403","18.2%","±0.8","353,035","±8,741","21.8%","±0.5","37,202","±2,384","13.3%","±0.8","134,781","±4,902","27.8%","±0.9","103,169","±4,689","18.2%","±0.8","31,748","±2,988","8.6%","±0.8","95,722","±4,128","4.5%","±0.2","84,542","±4,980","16.3%","±0.9","424,871","±8,805","10.9%","±0.2","501,594","±11,445","20.3%","±0.4","39,766","±2,133","21.2%","±1.0","780,103","±12,053","25.2%","±0.4","226,546","±5,428","23.3%","±0.5","82,109","±4,457","8.7%","±0.5","590,335","±10,460","17.1%","±0.3","14,673","±1,910","6.0%","±0.8","244,565","±6,808","20.2%","±0.6","47,413","±2,486","21.9%","±1.1","376,715","±8,212","22.7%","±0.5","1,222,397","±18,387","22.0%","±0.3","81,238","±4,040","13.2%","±0.6","22,451","±1,825","12.4%","±1.0","209,587","±6,351","10.3%","±0.3","132,808","±5,763","8.1%","±0.3","92,746","±3,990","16.8%","±0.7","336,426","±7,068","21.5%","±0.4","25,104","±2,093","16.2%","±1.3","232,325","±6,449","25.0%","±0.6"
"    $150,000 to $199,999","196,046","±6,650","15.4%","±0.5","23,954","±2,168","14.7%","±1.3","273,011","±7,789","17.9%","±0.5","102,337","±4,146","13.6%","±0.5","568,411","±10,732","8.2%","±0.1","216,670","±6,728","16.8%","±0.5","122,528","±4,896","13.3%","±0.5","39,242","±3,329","16.4%","±1.3","3,697","±718","3.4%","±0.7","843,051","±14,522","17.6%","±0.3","429,668","±10,681","18.6%","±0.4","10,781","±1,340","4.2%","±0.5","85,408","±3,650","21.3%","±0.8","541,404","±10,156","16.8%","±0.3","292,678","±6,401","16.9%","±0.4","141,492","±4,247","16.0%","±0.5","132,318","±4,806","17.6%","±0.6","181,843","±6,083","15.7%","±0.5","207,466","±6,658","18.2%","±0.5","79,468","±3,539","20.0%","±0.8","149,102","±5,338","10.5%","±0.4","138,386","±5,943","8.8%","±0.4","470,279","±8,098","17.0%","±0.3","334,189","±7,472","21.9%","±0.5","103,728","±5,094","13.8%","±0.6","293,297","±7,714","18.1%","±0.5","54,383","±2,917","19.4%","±1.0","79,083","±3,613","16.3%","±0.7","107,679","±4,796","19.0%","±0.8","54,214","±3,281","14.7%","±0.8","180,945","±6,617","8.6%","±0.3","91,287","±4,084","17.6%","±0.7","355,932","±8,026","9.1%","±0.2","428,981","±8,533","17.4%","±0.3","34,559","±1,973","18.4%","±1.0","570,128","±10,871","18.4%","±0.3","137,972","±5,302","14.2%","±0.5","145,294","±5,884","15.4%","±0.6","573,732","±8,181","16.6%","±0.2","44,147","±3,232","18.1%","±1.2","189,710","±6,937","15.7%","±0.5","39,511","±2,453","18.2%","±1.1","282,894","±8,454","17.0%","±0.5","896,578","±15,584","16.1%","±0.3","138,293","±4,509","22.5%","±0.7","37,533","±2,484","20.8%","±1.2","289,468","±8,221","14.3%","±0.4","217,717","±6,449","13.2%","±0.4","73,238","±4,140","13.2%","±0.7","337,190","±7,517","21.5%","±0.4","33,687","±2,262","21.7%","±1.4","165,220","±5,439","17.8%","±0.5"
"    $200,000 to $299,999","184,026","±6,675","14.5%","±0.5","52,605","±3,384","32.3%","±1.8","302,113","±7,955","19.8%","±0.5","82,169","±4,007","10.9%","±0.5","1,131,786","±16,558","16.4%","±0.2","364,358","±7,449","28.2%","±0.5","278,420","±5,943","30.1%","±0.6","76,971","±3,317","32.1%","±1.4","18,179","±2,096","17.0%","±1.9","916,653","±15,619","19.1%","±0.3","399,461","±10,371","17.3%","±0.4","30,096","±2,302","11.6%","±0.8","82,728","±3,764","20.6%","±0.9","716,510","±11,501","22.3%","±0.3","223,734","±6,232","12.9%","±0.4","124,543","±4,130","14.1%","±0.5","110,637","±4,761","14.8%","±0.6","156,315","±5,985","13.5%","±0.5","188,742","±5,634","16.5%","±0.5","97,765","±3,509","24.7%","±0.9","390,341","±9,761","27.4%","±0.6","402,289","±8,150","25.6%","±0.5","380,086","±7,846","13.7%","±0.3","405,273","±7,028","26.5%","±0.4","83,643","±3,675","11.1%","±0.5","261,674","±7,215","16.1%","±0.4","65,112","±3,395","23.2%","±1.2","67,716","±2,627","14.0%","±0.6","129,477","±4,970","22.9%","±0.8","134,721","±3,990","36.5%","±1.0","489,118","±8,934","23.2%","±0.4","105,370","±4,175","20.3%","±0.8","511,830","±8,544","13.1%","±0.2","433,446","±10,333","17.6%","±0.4","26,773","±1,914","14.3%","±1.0","470,439","±9,776","15.2%","±0.3","108,184","±4,181","11.1%","±0.4","287,427","±7,772","30.5%","±0.8","708,723","±8,787","20.5%","±0.3","89,682","±4,033","36.7%","±1.5","180,891","±5,451","14.9%","±0.4","28,859","±2,210","13.3%","±1.0","249,522","±7,361","15.0%","±0.4","752,623","±12,765","13.5%","±0.2","195,339","±4,995","31.8%","±0.8","52,768","±2,696","29.2%","±1.4","478,667","±10,482","23.6%","±0.5","457,298","±8,506","27.8%","±0.5","63,360","±3,266","11.4%","±0.6","363,355","±7,112","23.2%","±0.4","38,232","±2,447","24.6%","±1.4","100,292","±4,191","10.8%","±0.4"
"    $300,000 to $499,999","96,265","±4,253","7.6%","±0.3","39,770","±2,869","24.4%","±1.6","205,916","±6,525","13.5%","±0.4","41,087","±2,827","5.5%","±0.4","1,909,175","±18,052","27.7%","±0.2","289,969","±6,752","22.4%","±0.5","268,859","±6,256","29.1%","±0.6","63,697","±3,114","26.6%","±1.3","36,089","±2,427","33.7%","±2.0","605,738","±11,368","12.6%","±0.2","265,550","±8,176","11.5%","±0.3","68,795","±3,555","26.6%","±1.2","44,443","±3,000","11.1%","±0.7","560,941","±9,322","17.4%","±0.3","103,555","±4,359","6.0%","±0.3","51,159","±2,826","5.8%","±0.3","49,604","±2,771","6.6%","±0.3","70,901","±3,741","6.1%","±0.3","91,591","±4,244","8.0%","±0.4","50,356","±3,302","12.7%","±0.8","451,871","±10,153","31.7%","±0.7","592,151","±8,484","37.8%","±0.5","184,703","±5,149","6.7%","±0.2","234,759","±5,137","15.4%","±0.3","37,162","±3,074","4.9%","±0.4","127,638","±4,880","7.9%","±0.3","39,755","±2,436","14.2%","±0.8","25,162","±1,855","5.2%","±0.4","78,388","±4,003","13.9%","±0.7","87,240","±4,041","23.6%","±1.0","789,573","±9,221","37.5%","±0.4","57,569","±3,377","11.1%","±0.7","984,120","±11,816","25.2%","±0.3","276,092","±6,807","11.2%","±0.3","8,697","±1,299","4.6%","±0.7","212,034","±5,978","6.9%","±0.2","49,790","±2,634","5.1%","±0.3","228,343","±6,000","24.2%","±0.6","472,616","±8,034","13.7%","±0.2","61,358","±3,257","25.1%","±1.3","113,259","±4,461","9.4%","±0.4","16,033","±1,518","7.4%","±0.7","155,237","±5,836","9.3%","±0.4","432,512","±8,208","7.8%","±0.1","111,247","±4,300","18.1%","±0.7","34,213","±2,018","18.9%","±1.1","469,334","±9,925","23.2%","±0.5","456,593","±7,630","27.8%","±0.5","25,368","±2,707","4.6%","±0.5","176,687","±4,921","11.3%","±0.3","17,281","±1,801","11.1%","±1.2","49,021","±2,845","5.3%","±0.3"
