"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"        Other fuel","1,530","±526","0.1%","±0.1","2,043","±708","0.8%","±0.3","4,826","±1,047","0.2%","±0.1","4,524","±1,074","0.4%","±0.1","45,421","±3,557","0.4%","±0.1","12,074","±1,317","0.6%","±0.1","11,670","±1,564","0.9%","±0.1","1,864","±615","0.5%","±0.2","1,250","±385","0.5%","±0.1","3,576","±846","0.0%","±0.1","2,971","±841","0.1%","±0.1","356","±209","0.1%","±0.1","4,811","±883","0.8%","±0.1","20,233","±1,832","0.4%","±0.1","10,863","±1,568","0.4%","±0.1","10,258","±1,333","0.8%","±0.1","5,919","±1,065","0.5%","±0.1","6,399","±1,339","0.4%","±0.1","911","±379","0.1%","±0.1","11,692","±1,431","2.1%","±0.3","9,148","±1,269","0.4%","±0.1","21,307","±1,983","0.8%","±0.1","38,130","±2,340","1.0%","±0.1","26,451","±2,174","1.2%","±0.1","1,385","±474","0.1%","±0.1","8,390","±1,313","0.4%","±0.1","4,046","±767","1.0%","±0.2","4,124","±653","0.6%","±0.1","4,454","±1,129","0.4%","±0.1","10,068","±1,470","1.9%","±0.3","13,957","±1,804","0.4%","±0.1","8,016","±1,427","1.1%","±0.2","76,963","±4,513","1.1%","±0.1","5,893","±1,040","0.2%","±0.1","4,850","±967","1.6%","±0.3","34,393","±2,562","0.7%","±0.1","11,911","±1,153","0.8%","±0.1","14,931","±1,953","1.0%","±0.1","36,886","±2,374","0.7%","±0.1","2,159","±638","0.5%","±0.2","2,112","±767","0.1%","±0.1","5,957","±1,114","1.8%","±0.3","3,171","±824","0.1%","±0.1","15,797","±2,223","0.2%","±0.1","2,788","±722","0.3%","±0.1","4,258","±772","1.7%","±0.3","10,067","±1,231","0.3%","±0.1","16,095","±1,805","0.6%","±0.1","4,829","±977","0.7%","±0.1","23,106","±2,043","1.0%","±0.1","2,534","±799","1.1%","±0.3","367","±277","0.0%","±0.1"
"        No fuel used","7,459","±1,268","0.4%","±0.1","1,924","±736","0.8%","±0.3","40,644","±2,653","1.7%","±0.1","2,714","±800","0.2%","±0.1","450,415","±8,652","3.5%","±0.1","7,419","±1,355","0.4%","±0.1","3,761","±795","0.3%","±0.1","2,247","±801","0.6%","±0.2","3,592","±806","1.3%","±0.3","129,623","±4,974","1.8%","±0.1","14,267","±1,602","0.4%","±0.1","295,557","±5,801","65.6%","±0.9","1,352","±485","0.2%","±0.1","31,419","±2,221","0.7%","±0.1","7,838","±1,046","0.3%","±0.1","6,089","±936","0.5%","±0.1","2,491","±740","0.2%","±0.1","5,532","±908","0.3%","±0.1","6,067","±1,043","0.4%","±0.1","1,764","±472","0.3%","±0.1","10,446","±1,388","0.5%","±0.1","17,918","±2,244","0.7%","±0.1","17,612","±1,719","0.5%","±0.1","16,629","±1,609","0.8%","±0.1","3,153","±766","0.3%","±0.1","8,782","±1,370","0.4%","±0.1","1,341","±480","0.3%","±0.1","2,244","±599","0.3%","±0.1","3,586","±809","0.4%","±0.1","4,635","±1,088","0.9%","±0.2","13,579","±1,843","0.4%","±0.1","1,751","±602","0.2%","±0.1","71,456","±4,496","1.0%","±0.1","17,001","±1,913","0.4%","±0.1","3,704","±711","1.2%","±0.2","21,941","±1,780","0.5%","±0.1","3,716","±709","0.3%","±0.1","7,123","±1,400","0.5%","±0.1","18,026","±1,745","0.4%","±0.1","868","±474","0.2%","±0.1","7,687","±1,203","0.4%","±0.1","2,019","±556","0.6%","±0.2","9,576","±1,371","0.4%","±0.1","40,231","±3,014","0.4%","±0.1","1,522","±458","0.2%","±0.1","372","±188","0.1%","±0.1","10,398","±1,398","0.3%","±0.1","12,938","±1,772","0.5%","±0.1","1,779","±580","0.2%","±0.1","12,372","±1,230","0.5%","±0.1","670","±316","0.3%","±0.1","1,047,809","±9,568","84.9%","±0.4"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,841,217","±10,615","1,841,217","(X)","249,659","±2,978","249,659","(X)","2,428,743","±11,353","2,428,743","(X)","1,131,288","±8,373","1,131,288","(X)","12,758,648","±18,835","12,758,648","(X)","2,039,592","±7,530","2,039,592","(X)","1,355,817","±6,673","1,355,817","(X)","349,743","±3,705","349,743","(X)","277,378","±3,304","277,378","(X)","7,328,046","±25,793","7,328,046","(X)","3,587,521","±13,961","3,587,521","(X)","450,769","±4,870","450,769","(X)","591,587","±4,733","591,587","(X)","4,772,421","±12,392","4,772,421","(X)","2,502,739","±10,912","2,502,739","(X)","1,241,471","±6,257","1,241,471","(X)","1,109,280","±6,429","1,109,280","(X)","1,712,094","±8,632","1,712,094","(X)","1,718,194","±10,232","1,718,194","(X)","549,841","±5,205","549,841","(X)","2,165,438","±8,230","2,165,438","(X)","2,549,336","±9,145","2,549,336","(X)","3,834,574","±12,574","3,834,574","(X)","2,129,195","±6,975","2,129,195","(X)","1,095,823","±8,793","1,095,823","(X)","2,354,809","±12,290","2,354,809","(X)","410,962","±3,391","410,962","(X)","740,765","±3,795","740,765","(X)","1,021,519","±6,553","1,021,519","(X)","519,756","±4,605","519,756","(X)","3,194,844","±10,719","3,194,844","(X)","760,916","±6,897","760,916","(X)","7,282,398","±15,877","7,282,398","(X)","3,790,620","±14,716","3,790,620","(X)","305,431","±3,533","305,431","(X)","4,593,172","±13,994","4,593,172","(X)","1,459,759","±5,575","1,459,759","(X)","1,535,511","±6,674","1,535,511","(X)","4,945,972","±12,878","4,945,972","(X)","409,654","±3,327","409,654","(X)","1,826,914","±10,151","1,826,914","(X)","334,475","±2,656","334,475","(X)","2,509,665","±11,315","2,509,665","(X)","9,277,197","±22,719","9,277,197","(X)","918,370","±4,666","918,370","(X)","257,229","±3,177","257,229","(X)","3,083,820","±12,955","3,083,820","(X)","2,679,601","±9,916","2,679,601","(X)","735,375","±6,298","735,375","(X)","2,307,685","±7,753","2,307,685","(X)","232,594","±2,987","232,594","(X)","1,233,490","±9,061","1,233,490","(X)"
"        Lacking complete plumbing facilities","6,234","±1,019","0.3%","±0.1","9,544","±1,023","3.8%","±0.4","14,400","±1,497","0.6%","±0.1","5,088","±977","0.4%","±0.1","58,362","±3,624","0.5%","±0.1","6,426","±1,140","0.3%","±0.1","4,031","±1,025","0.3%","±0.1","1,242","±604","0.4%","±0.2","1,459","±651","0.5%","±0.2","17,423","±2,148","0.2%","±0.1","14,382","±2,128","0.4%","±0.1","2,350","±776","0.5%","±0.2","4,320","±1,378","0.7%","±0.2","13,367","±1,654","0.3%","±0.1","9,250","±1,492","0.4%","±0.1","3,653","±732","0.3%","±0.1","4,658","±1,059","0.4%","±0.1","8,725","±1,563","0.5%","±0.1","7,170","±1,447","0.4%","±0.1","3,872","±789","0.7%","±0.1","7,334","±1,318","0.3%","±0.1","10,634","±1,890","0.4%","±0.1","12,094","±1,582","0.3%","±0.1","7,015","±1,034","0.3%","±0.1","5,074","±1,348","0.5%","±0.1","10,162","±1,409","0.4%","±0.1","1,979","±674","0.5%","±0.2","2,232","±703","0.3%","±0.1","2,783","±875","0.3%","±0.1","2,375","±784","0.5%","±0.1","9,108","±1,654","0.3%","±0.1","8,474","±1,117","1.1%","±0.1","31,057","±2,428","0.4%","±0.1","11,922","±1,651","0.3%","±0.1","1,469","±632","0.5%","±0.2","19,536","±2,118","0.4%","±0.1","5,287","±781","0.4%","±0.1","7,021","±1,457","0.5%","±0.1","19,594","±2,109","0.4%","±0.1","1,699","±767","0.4%","±0.2","6,784","±1,586","0.4%","±0.1","1,636","±480","0.5%","±0.1","10,533","±1,764","0.4%","±0.1","45,702","±4,284","0.5%","±0.1","2,529","±807","0.3%","±0.1","1,167","±367","0.5%","±0.1","10,596","±1,837","0.3%","±0.1","12,124","±2,017","0.5%","±0.1","4,599","±1,101","0.6%","±0.2","10,720","±1,475","0.5%","±0.1","1,083","±532","0.5%","±0.2","18,719","±1,865","1.5%","±0.2"
"        Lacking complete kitchen facilities","12,623","±1,644","0.7%","±0.1","7,715","±982","3.1%","±0.4","17,993","±1,715","0.7%","±0.1","8,846","±1,396","0.8%","±0.1","148,982","±6,167","1.2%","±0.1","15,856","±2,032","0.8%","±0.1","8,233","±1,427","0.6%","±0.1","2,048","±723","0.6%","±0.2","2,254","±718","0.8%","±0.3","44,407","±3,370","0.6%","±0.1","21,036","±2,229","0.6%","±0.1","6,249","±1,088","1.4%","±0.2","6,913","±1,389","1.2%","±0.2","31,052","±2,927","0.7%","±0.1","17,401","±1,709","0.7%","±0.1","11,569","±1,397","0.9%","±0.1","11,716","±1,534","1.1%","±0.1","13,388","±1,880","0.8%","±0.1","11,874","±1,385","0.7%","±0.1","4,810","±1,045","0.9%","±0.2","11,435","±1,394","0.5%","±0.1","19,584","±2,277","0.8%","±0.1","26,659","±2,273","0.7%","±0.1","12,789","±1,536","0.6%","±0.1","9,114","±1,773","0.8%","±0.2","19,216","±2,115","0.8%","±0.1","4,222","±1,062","1.0%","±0.3","8,150","±1,273","1.1%","±0.2","6,332","±1,222","0.6%","±0.1","2,805","±749","0.5%","±0.1","24,496","±2,452","0.8%","±0.1","8,657","±1,292","1.1%","±0.2","55,145","±3,974","0.8%","±0.1","23,131","±2,520","0.6%","±0.1","2,012","±677","0.7%","±0.2","45,457","±3,642","1.0%","±0.1","12,723","±1,544","0.9%","±0.1","19,199","±2,380","1.3%","±0.2","44,835","±3,630","0.9%","±0.1","2,970","±736","0.7%","±0.2","13,035","±2,026","0.7%","±0.1","3,292","±738","1.0%","±0.2","18,830","±2,041","0.8%","±0.1","74,474","±4,812","0.8%","±0.1","6,078","±1,248","0.7%","±0.1","2,228","±644","0.9%","±0.3","21,940","±2,369","0.7%","±0.1","26,065","±2,540","1.0%","±0.1","5,222","±1,328","0.7%","±0.2","20,024","±2,203","0.9%","±0.1","1,928","±699","0.8%","±0.3","18,923","±2,156","1.5%","±0.2"
"        No telephone service available","48,723","±3,195","2.6%","±0.2","4,734","±1,041","1.9%","±0.4","61,722","±3,253","2.5%","±0.1","30,415","±3,147","2.7%","±0.3","264,962","±7,649","2.1%","±0.1","42,781","±2,943","2.1%","±0.1","20,763","±2,162","1.5%","±0.2","7,334","±1,349","2.1%","±0.4","6,565","±1,204","2.4%","±0.4","213,805","±7,190","2.9%","±0.1","98,149","±5,156","2.7%","±0.1","10,256","±1,263","2.3%","±0.3","15,955","±1,912","2.7%","±0.3","121,982","±4,858","2.6%","±0.1","62,229","±3,562","2.5%","±0.1","29,596","±2,536","2.4%","±0.2","29,099","±2,732","2.6%","±0.2","49,364","±3,509","2.9%","±0.2","51,616","±3,415","3.0%","±0.2","10,509","±1,537","1.9%","±0.3","52,182","±3,355","2.4%","±0.2","45,144","±3,032","1.8%","±0.1","91,001","±3,839","2.4%","±0.1","44,272","±2,683","2.1%","±0.1","30,347","±2,511","2.8%","±0.2","68,030","±3,998","2.9%","±0.2","12,300","±1,559","3.0%","±0.4","16,814","±1,425","2.3%","±0.2","35,543","±3,023","3.5%","±0.3","8,583","±1,401","1.7%","±0.3","48,702","±3,964","1.5%","±0.1","21,377","±2,012","2.8%","±0.3","162,628","±7,115","2.2%","±0.1","86,142","±4,714","2.3%","±0.1","5,808","±1,079","1.9%","±0.3","123,499","±5,927","2.7%","±0.1","41,878","±2,601","2.9%","±0.2","36,313","±3,064","2.4%","±0.2","90,261","±4,353","1.8%","±0.1","9,180","±1,384","2.2%","±0.3","44,002","±3,109","2.4%","±0.2","9,306","±1,331","2.8%","±0.4","62,044","±3,634","2.5%","±0.1","215,757","±7,104","2.3%","±0.1","18,431","±1,826","2.0%","±0.2","4,801","±718","1.9%","±0.3","57,128","±3,321","1.9%","±0.1","63,493","±3,382","2.4%","±0.1","22,639","±2,057","3.1%","±0.3","54,201","±2,843","2.3%","±0.1","4,794","±1,008","2.1%","±0.4","70,676","±3,943","5.7%","±0.3"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,841,217","±10,615","1,841,217","(X)","249,659","±2,978","249,659","(X)","2,428,743","±11,353","2,428,743","(X)","1,131,288","±8,373","1,131,288","(X)","12,758,648","±18,835","12,758,648","(X)","2,039,592","±7,530","2,039,592","(X)","1,355,817","±6,673","1,355,817","(X)","349,743","±3,705","349,743","(X)","277,378","±3,304","277,378","(X)","7,328,046","±25,793","7,328,046","(X)","3,587,521","±13,961","3,587,521","(X)","450,769","±4,870","450,769","(X)","591,587","±4,733","591,587","(X)","4,772,421","±12,392","4,772,421","(X)","2,502,739","±10,912","2,502,739","(X)","1,241,471","±6,257","1,241,471","(X)","1,109,280","±6,429","1,109,280","(X)","1,712,094","±8,632","1,712,094","(X)","1,718,194","±10,232","1,718,194","(X)","549,841","±5,205","549,841","(X)","2,165,438","±8,230","2,165,438","(X)","2,549,336","±9,145","2,549,336","(X)","3,834,574","±12,574","3,834,574","(X)","2,129,195","±6,975","2,129,195","(X)","1,095,823","±8,793","1,095,823","(X)","2,354,809","±12,290","2,354,809","(X)","410,962","±3,391","410,962","(X)","740,765","±3,795","740,765","(X)","1,021,519","±6,553","1,021,519","(X)","519,756","±4,605","519,756","(X)","3,194,844","±10,719","3,194,844","(X)","760,916","±6,897","760,916","(X)","7,282,398","±15,877","7,282,398","(X)","3,790,620","±14,716","3,790,620","(X)","305,431","±3,533","305,431","(X)","4,593,172","±13,994","4,593,172","(X)","1,459,759","±5,575","1,459,759","(X)","1,535,511","±6,674","1,535,511","(X)","4,945,972","±12,878","4,945,972","(X)","409,654","±3,327","409,654","(X)","1,826,914","±10,151","1,826,914","(X)","334,475","±2,656","334,475","(X)","2,509,665","±11,315","2,509,665","(X)","9,277,197","±22,719","9,277,197","(X)","918,370","±4,666","918,370","(X)","257,229","±3,177","257,229","(X)","3,083,820","±12,955","3,083,820","(X)","2,679,601","±9,916","2,679,601","(X)","735,375","±6,298","735,375","(X)","2,307,685","±7,753","2,307,685","(X)","232,594","±2,987","232,594","(X)","1,233,490","±9,061","1,233,490","(X)"
"        1.00 or less","1,809,156","±11,340","98.3%","±0.2","233,473","±3,112","93.5%","±0.7","2,320,483","±11,500","95.5%","±0.2","1,104,222","±8,589","97.6%","±0.2","11,710,871","±22,736","91.8%","±0.1","1,986,394","±7,938","97.4%","±0.2","1,330,966","±6,422","98.2%","±0.2","345,294","±3,653","98.7%","±0.3","268,086","±3,712","96.7%","±0.5","7,108,112","±26,638","97.0%","±0.1","3,502,401","±14,218","97.6%","±0.2","412,009","±4,851","91.4%","±0.6","575,418","±5,445","97.3%","±0.4","4,646,222","±14,022","97.4%","±0.1","2,453,535","±11,125","98.0%","±0.1","1,221,282","±7,035","98.4%","±0.2","1,087,139","±6,719","98.0%","±0.2","1,677,026","±8,872","98.0%","±0.2","1,675,616","±11,045","97.5%","±0.2","540,807","±5,265","98.4%","±0.3","2,115,529","±9,077","97.7%","±0.2","2,496,606","±8,414","97.9%","±0.1","3,773,381","±12,975","98.4%","±0.1","2,084,802","±7,300","97.9%","±0.1","1,064,708","±9,118","97.2%","±0.3","2,317,230","±12,705","98.4%","±0.1","402,148","±3,501","97.9%","±0.4","726,543","±4,086","98.1%","±0.2","979,014","±6,739","95.8%","±0.3","511,563","±4,845","98.4%","±0.4","3,099,762","±10,433","97.0%","±0.1","733,407","±7,181","96.4%","±0.3","6,916,124","±18,369","95.0%","±0.1","3,695,920","±15,317","97.5%","±0.1","298,569","±3,384","97.8%","±0.5","4,532,725","±14,530","98.7%","±0.1","1,418,436","±5,912","97.2%","±0.1","1,485,350","±7,324","96.7%","±0.3","4,881,312","±12,583","98.7%","±0.1","402,704","±3,419","98.3%","±0.3","1,793,266","±9,868","98.2%","±0.2","326,548","±2,925","97.6%","±0.4","2,454,944","±12,232","97.8%","±0.2","8,832,235","±26,460","95.2%","±0.1","888,313","±5,049","96.7%","±0.3","252,684","±3,204","98.2%","±0.3","3,020,632","±14,042","98.0%","±0.1","2,597,450","±10,524","96.9%","±0.2","723,707","±6,287","98.4%","±0.2","2,267,557","±8,055","98.3%","±0.1","227,679","±3,114","97.9%","±0.5","1,190,785","±8,980","96.5%","±0.3"
"        1.01 to 1.50","24,737","±2,509","1.3%","±0.1","10,022","±1,236","4.0%","±0.5","76,861","±4,900","3.2%","±0.2","20,033","±2,097","1.8%","±0.2","706,632","±12,321","5.5%","±0.1","38,464","±3,263","1.9%","±0.2","18,373","±2,021","1.4%","±0.1","3,411","±1,023","1.0%","±0.3","5,116","±1,203","1.8%","±0.4","157,503","±6,433","2.1%","±0.1","67,171","±5,109","1.9%","±0.1","24,522","±2,362","5.4%","±0.5","13,257","±1,921","2.2%","±0.3","95,698","±4,874","2.0%","±0.1","36,374","±2,824","1.5%","±0.1","16,249","±2,138","1.3%","±0.2","16,672","±1,741","1.5%","±0.2","27,120","±2,594","1.6%","±0.2","32,741","±3,080","1.9%","±0.2","5,815","±1,199","1.1%","±0.2","39,067","±3,494","1.8%","±0.2","32,801","±2,774","1.3%","±0.1","47,684","±2,809","1.2%","±0.1","33,010","±2,386","1.6%","±0.1","22,396","±2,952","2.0%","±0.3","28,124","±2,360","1.2%","±0.1","6,164","±1,230","1.5%","±0.3","10,741","±1,413","1.4%","±0.2","31,905","±2,752","3.1%","±0.3","5,743","±1,373","1.1%","±0.3","62,080","±3,644","1.9%","±0.1","19,898","±2,295","2.6%","±0.3","238,073","±7,565","3.3%","±0.1","67,163","±4,406","1.8%","±0.1","3,787","±946","1.2%","±0.3","47,415","±3,396","1.0%","±0.1","31,501","±1,850","2.2%","±0.1","38,771","±3,934","2.5%","±0.3","45,390","±3,440","0.9%","±0.1","4,466","±983","1.1%","±0.2","26,457","±3,053","1.4%","±0.2","5,859","±986","1.8%","±0.3","42,763","±3,200","1.7%","±0.1","328,908","±10,030","3.5%","±0.1","24,396","±2,091","2.7%","±0.2","2,756","±765","1.1%","±0.3","47,783","±3,548","1.5%","±0.1","58,911","±3,535","2.2%","±0.1","7,753","±1,515","1.1%","±0.2","31,749","±2,809","1.4%","±0.1","3,560","±1,247","1.5%","±0.5","32,781","±2,645","2.7%","±0.2"
"        1.51 or more","7,324","±1,327","0.4%","±0.1","6,164","±982","2.5%","±0.4","31,399","±3,042","1.3%","±0.1","7,033","±1,408","0.6%","±0.1","341,145","±8,610","2.7%","±0.1","14,734","±2,000","0.7%","±0.1","6,478","±1,641","0.5%","±0.1","1,038","±536","0.3%","±0.2","4,176","±1,076","1.5%","±0.4","62,431","±4,620","0.9%","±0.1","17,949","±2,301","0.5%","±0.1","14,238","±1,727","3.2%","±0.4","2,912","±1,008","0.5%","±0.2","30,501","±2,600","0.6%","±0.1","12,830","±2,213","0.5%","±0.1","3,940","±996","0.3%","±0.1","5,469","±1,148","0.5%","±0.1","7,948","±1,469","0.5%","±0.1","9,837","±1,472","0.6%","±0.1","3,219","±966","0.6%","±0.2","10,842","±1,898","0.5%","±0.1","19,929","±2,485","0.8%","±0.1","13,509","±1,976","0.4%","±0.1","11,383","±1,626","0.5%","±0.1","8,719","±1,505","0.8%","±0.1","9,455","±1,558","0.4%","±0.1","2,650","±879","0.6%","±0.2","3,481","±981","0.5%","±0.1","10,600","±1,641","1.0%","±0.2","2,450","±1,150","0.5%","±0.2","33,002","±2,874","1.0%","±0.1","7,611","±1,461","1.0%","±0.2","128,201","±5,855","1.8%","±0.1","27,537","±2,969","0.7%","±0.1","3,075","±1,079","1.0%","±0.3","13,032","±1,878","0.3%","±0.1","9,822","±1,341","0.7%","±0.1","11,390","±1,926","0.7%","±0.1","19,270","±2,084","0.4%","±0.1","2,484","±935","0.6%","±0.2","7,191","±1,570","0.4%","±0.1","2,068","±845","0.6%","±0.3","11,958","±1,837","0.5%","±0.1","116,054","±5,878","1.3%","±0.1","5,661","±1,117","0.6%","±0.1","1,789","±631","0.7%","±0.2","15,405","±1,863","0.5%","±0.1","23,240","±2,416","0.9%","±0.1","3,915","±1,008","0.5%","±0.1","8,379","±1,313","0.4%","±0.1","1,355","±675","0.6%","±0.3","9,924","±1,328","0.8%","±0.1"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","1,246,080","±12,085","1,246,080","(X)","156,006","±4,250","156,006","(X)","1,484,857","±11,801","1,484,857","(X)","744,318","±10,448","744,318","(X)","6,855,688","±27,608","6,855,688","(X)","1,302,533","±10,820","1,302,533","(X)","900,039","±8,072","900,039","(X)","245,808","±4,425","245,808","(X)","112,492","±3,641","112,492","(X)","4,693,821","±26,616","4,693,821","(X)","2,232,553","±17,839","2,232,553","(X)","255,375","±5,028","255,375","(X)","402,394","±6,319","402,394","(X)","3,125,655","±15,819","3,125,655","(X)","1,716,341","±13,216","1,716,341","(X)","879,878","±7,925","879,878","(X)","739,168","±7,329","739,168","(X)","1,131,197","±10,706","1,131,197","(X)","1,106,785","±10,765","1,106,785","(X)","392,139","±5,035","392,139","(X)","1,426,748","±11,362","1,426,748","(X)","1,570,332","±11,411","1,570,332","(X)","2,693,284","±15,012","2,693,284","(X)","1,526,406","±9,904","1,526,406","(X)","741,504","±10,031","741,504","(X)","1,575,626","±12,914","1,575,626","(X)","272,856","±4,625","272,856","(X)","488,438","±4,861","488,438","(X)","547,905","±6,648","547,905","(X)","364,996","±4,581","364,996","(X)","2,021,062","±12,667","2,021,062","(X)","509,151","±6,597","509,151","(X)","3,857,906","±20,082","3,857,906","(X)","2,435,384","±18,248","2,435,384","(X)","195,002","±4,098","195,002","(X)","3,000,748","±17,269","3,000,748","(X)","950,817","±7,331","950,817","(X)","932,392","±9,092","932,392","(X)","3,404,164","±14,323","3,404,164","(X)","240,878","±4,850","240,878","(X)","1,243,177","±11,898","1,243,177","(X)","228,010","±3,569","228,010","(X)","1,659,797","±14,297","1,659,797","(X)","5,674,241","±28,289","5,674,241","(X)","635,163","±6,737","635,163","(X)","180,184","±3,423","180,184","(X)","2,014,812","±16,640","2,014,812","(X)","1,654,620","±12,782","1,654,620","(X)","530,755","±7,300","530,755","(X)","1,536,893","±11,259","1,536,893","(X)","155,617","±3,486","155,617","(X)","837,840","±10,343","837,840","(X)"
"        Less than $50,000","207,066","±6,972","16.6%","±0.5","12,377","±1,356","7.9%","±0.9","159,089","±5,035","10.7%","±0.3","139,117","±4,803","18.7%","±0.6","358,905","±8,109","5.2%","±0.1","78,551","±4,179","6.0%","±0.3","34,773","±2,511","3.9%","±0.3","17,649","±1,994","7.2%","±0.8","3,330","±837","3.0%","±0.7","525,082","±9,877","11.2%","±0.2","261,291","±7,515","11.7%","±0.3","4,724","±821","1.8%","±0.3","33,506","±2,498","8.3%","±0.6","257,936","±6,111","8.3%","±0.2","192,591","±5,909","11.2%","±0.3","100,678","±3,341","11.4%","±0.4","107,112","±4,196","14.5%","±0.6","177,551","±6,147","15.7%","±0.5","169,439","±6,797","15.3%","±0.6","37,217","±2,346","9.5%","±0.6","65,549","±3,552","4.6%","±0.2","56,776","±2,720","3.6%","±0.2","426,842","±7,875","15.8%","±0.3","110,368","±3,202","7.2%","±0.2","154,610","±6,612","20.9%","±0.8","203,291","±6,371","12.9%","±0.4","30,845","±2,204","11.3%","±0.8","56,191","±2,539","11.5%","±0.5","44,711","±2,795","8.2%","±0.5","21,032","±1,918","5.8%","±0.5","87,444","±4,082","4.3%","±0.2","70,328","±3,248","13.8%","±0.6","248,786","±7,144","6.4%","±0.2","261,226","±8,320","10.7%","±0.3","27,185","±2,134","13.9%","±1.1","328,055","±8,503","10.9%","±0.3","147,496","±4,014","15.5%","±0.4","79,833","±3,997","8.6%","±0.4","328,082","±7,239","9.6%","±0.2","9,656","±1,285","4.0%","±0.5","188,655","±6,350","15.2%","±0.5","35,555","±1,839","15.6%","±0.8","187,713","±5,899","11.3%","±0.4","693,738","±11,817","12.2%","±0.2","36,681","±2,355","5.8%","±0.3","12,636","±1,656","7.0%","±0.9","133,081","±4,636","6.6%","±0.2","99,978","±4,950","6.0%","±0.3","113,791","±4,370","21.4%","±0.8","97,993","±3,848","6.4%","±0.2","16,692","±1,687","10.7%","±1.0","79,349","±3,921","9.5%","±0.5"
