"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Civilian veterans","395,753","±8,677","10.8%","±0.2","72,407","±3,845","14.0%","±0.7","533,608","±13,610","11.0%","±0.3","238,790","±6,929","10.7%","±0.3","1,910,994","±20,168","6.8%","±0.1","411,754","±9,278","10.7%","±0.2","225,987","±5,962","8.2%","±0.2","77,885","±3,895","11.1%","±0.6","29,719","±2,473","5.8%","±0.5","1,571,482","±19,671","10.5%","±0.1","686,591","±13,975","9.4%","±0.2","109,218","±4,457","10.6%","±0.4","121,382","±5,114","10.5%","±0.4","719,528","±11,322","7.4%","±0.1","458,943","±9,175","9.3%","±0.2","226,737","±5,292","9.7%","±0.2","210,240","±5,422","9.9%","±0.3","311,073","±6,942","9.3%","±0.2","312,953","±7,697","9.1%","±0.2","128,940","±4,057","12.2%","±0.4","425,963","±8,323","9.6%","±0.2","386,609","±7,496","7.5%","±0.1","671,051","±8,205","8.9%","±0.1","366,790","±5,562","9.0%","±0.1","201,148","±5,647","9.1%","±0.3","490,162","±9,256","10.7%","±0.2","94,872","±3,990","12.3%","±0.5","146,104","±3,659","10.6%","±0.3","228,213","±7,462","11.1%","±0.4","115,297","±4,659","11.1%","±0.4","444,887","±7,382","6.6%","±0.1","177,041","±5,720","11.4%","±0.4","917,741","±12,003","6.1%","±0.1","740,470","±12,865","10.2%","±0.2","55,556","±2,851","10.5%","±0.5","876,163","±10,616","9.9%","±0.1","319,724","±7,070","11.3%","±0.2","319,194","±8,559","10.6%","±0.3","954,659","±9,967","9.6%","±0.1","71,863","±3,012","8.7%","±0.4","398,985","±8,806","11.2%","±0.2","70,027","±3,431","11.3%","±0.5","486,407","±8,469","9.9%","±0.2","1,593,072","±20,698","8.6%","±0.1","146,806","±4,879","7.6%","±0.3","51,373","±2,156","10.3%","±0.4","734,757","±12,515","12.0%","±0.2","597,778","±10,829","11.5%","±0.2","155,581","±5,019","10.6%","±0.3","413,735","±7,151","9.4%","±0.2","52,415","±3,369","12.2%","±0.8","","","",""
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","4,720,067","±2,155","4,720,067","(X)","699,272","±1,868","699,272","(X)","6,378,280","±1,787","6,378,280","(X)","2,885,212","±1,095","2,885,212","(X)","37,161,789","±5,236","37,161,789","(X)","5,024,885","±2,530","5,024,885","(X)","3,522,709","±1,144","3,522,709","(X)","892,132","±847","892,132","(X)","608,165","±325","608,165","(X)","18,752,294","±3,756","18,752,294","(X)","9,619,740","±3,609","9,619,740","(X)","1,326,065","±2,252","1,326,065","(X)","1,565,645","±611","1,565,645","(X)","12,688,006","±1,765","12,688,006","(X)","6,417,644","±1,247","6,417,644","(X)","3,017,465","±552","3,017,465","(X)","2,813,530","±1,400","2,813,530","(X)","4,284,357","±1,582","4,284,357","(X)","4,473,068","±1,771","4,473,068","(X)","1,314,121","±520","1,314,121","(X)","5,736,588","±2,191","5,736,588","(X)","6,507,596","±1,342","6,507,596","(X)","9,762,306","±764","9,762,306","(X)","5,286,728","±677","5,286,728","(X)","2,911,811","±1,630","2,911,811","(X)","5,898,968","±1,584","5,898,968","(X)","983,214","±886","983,214","(X)","1,814,388","±1,030","1,814,388","(X)","2,686,989","±2,047","2,686,989","(X)","1,303,868","±471","1,303,868","(X)","8,712,982","±1,438","8,712,982","(X)","2,047,242","±1,765","2,047,242","(X)","19,208,419","±2,296","19,208,419","(X)","9,461,018","±4,189","9,461,018","(X)","669,425","±795","669,425","(X)","11,369,102","±1,441","11,369,102","(X)","3,710,368","±1,361","3,710,368","(X)","3,832,640","±865","3,832,640","(X)","12,539,757","±1,068","12,539,757","(X)","1,035,117","±804","1,035,117","(X)","4,579,231","±2,414","4,579,231","(X)","805,505","±1,055","805,505","(X)","6,302,351","±2,349","6,302,351","(X)","25,197,453","±4,761","25,197,453","(X)","2,789,648","±1,314","2,789,648","(X)","620,159","±306","620,159","(X)","7,887,164","±4,700","7,887,164","(X)","6,716,822","±3,208","6,716,822","(X)","1,826,485","±271","1,826,485","(X)","5,634,063","±895","5,634,063","(X)","558,832","±750","558,832","(X)","","","",""
"    With a disability","764,988","±14,143","16.2%","±0.3","73,731","±3,469","10.5%","±0.5","732,730","±16,587","11.5%","±0.3","485,364","±9,714","16.8%","±0.3","3,749,792","±30,919","10.1%","±0.1","516,135","±10,376","10.3%","±0.2","377,847","±8,865","10.7%","±0.3","107,659","±5,379","12.1%","±0.6","67,435","±3,690","11.1%","±0.6","2,420,035","±29,617","12.9%","±0.2","1,161,966","±21,655","12.1%","±0.2","140,996","±6,177","10.6%","±0.5","200,237","±8,363","12.8%","±0.5","1,317,307","±18,024","10.4%","±0.1","842,673","±15,654","13.1%","±0.2","342,642","±8,149","11.4%","±0.3","345,718","±8,875","12.3%","±0.3","720,354","±12,948","16.8%","±0.3","680,573","±12,932","15.2%","±0.3","203,389","±6,267","15.5%","±0.5","586,467","±12,465","10.2%","±0.2","737,748","±15,126","11.3%","±0.2","1,356,359","±15,247","13.9%","±0.2","532,902","±9,978","10.1%","±0.2","471,504","±10,316","16.2%","±0.4","822,470","±15,168","13.9%","±0.3","130,582","±4,922","13.3%","±0.5","189,914","±5,406","10.5%","±0.3","303,879","±11,684","11.3%","±0.4","151,658","±7,128","11.6%","±0.5","871,783","±15,363","10.0%","±0.2","276,797","±9,892","13.5%","±0.5","2,091,270","±22,554","10.9%","±0.1","1,257,117","±19,796","13.3%","±0.2","69,721","±3,374","10.4%","±0.5","1,517,210","±16,984","13.3%","±0.1","577,032","±10,335","15.6%","±0.3","523,018","±12,539","13.6%","±0.3","1,671,648","±18,545","13.3%","±0.1","123,240","±5,758","11.9%","±0.6","630,828","±13,242","13.8%","±0.3","93,987","±4,569","11.7%","±0.6","961,894","±16,640","15.3%","±0.3","2,906,416","±30,976","11.5%","±0.1","246,570","±9,738","8.8%","±0.3","80,300","±3,000","12.9%","±0.5","867,558","±15,966","11.0%","±0.2","839,747","±15,222","12.5%","±0.2","345,931","±8,008","18.9%","±0.4","637,141","±10,475","11.3%","±0.2","63,853","±3,829","11.4%","±0.7","","","",""
"    Under 18 years","1,122,125","±2,463","1,122,125","(X)","187,708","±459","187,708","(X)","1,621,830","±1,382","1,621,830","(X)","708,888","±1,722","708,888","(X)","9,252,466","±2,198","9,252,466","(X)","1,226,828","±1,836","1,226,828","(X)","802,350","±445","802,350","(X)","204,295","±414","204,295","(X)","105,312","±258","105,312","(X)","3,986,946","±3,274","3,986,946","(X)","2,484,715","±3,319","2,484,715","(X)","304,077","±515","304,077","(X)","427,064","±1,283","427,064","(X)","3,091,887","±1,794","3,091,887","(X)","1,593,636","±2,413","1,593,636","(X)","721,561","±2,164","721,561","(X)","721,211","±1,576","721,211","(X)","1,022,948","±2,921","1,022,948","(X)","1,117,293","±1,948","1,117,293","(X)","269,901","±1,239","269,901","(X)","1,344,498","±1,249","1,344,498","(X)","1,401,873","±787","1,401,873","(X)","2,289,531","±2,220","2,289,531","(X)","1,276,035","±2,593","1,276,035","(X)","749,572","±1,971","749,572","(X)","1,409,255","±3,535","1,409,255","(X)","222,102","±1,343","222,102","(X)","459,191","±1,412","459,191","(X)","662,359","±879","662,359","(X)","279,210","±879","279,210","(X)","2,038,167","±1,141","2,038,167","(X)","516,787","±1,748","516,787","(X)","4,270,110","±2,678","4,270,110","(X)","2,286,872","±4,064","2,286,872","(X)","150,853","±1,028","150,853","(X)","2,688,340","±2,485","2,688,340","(X)","933,893","±1,167","933,893","(X)","861,059","±1,957","861,059","(X)","2,754,741","±2,001","2,754,741","(X)","218,624","±513","218,624","(X)","1,079,476","±3,013","1,079,476","(X)","200,704","±882","200,704","(X)","1,487,779","±3,233","1,487,779","(X)","6,946,969","±4,133","6,946,969","(X)","877,812","±1,597","877,812","(X)","125,599","±829","125,599","(X)","1,849,081","±2,772","1,849,081","(X)","1,578,179","±1,937","1,578,179","(X)","385,302","±2,056","385,302","(X)","1,322,921","±2,145","1,322,921","(X)","134,594","±1,017","134,594","(X)","","","",""
"    With a disability","54,307","±4,158","4.8%","±0.4","5,509","±1,414","2.9%","±0.8","56,497","±5,221","3.5%","±0.3","38,612","±3,749","5.4%","±0.5","289,003","±9,768","3.1%","±0.1","44,788","±4,425","3.7%","±0.4","29,864","±2,965","3.7%","±0.4","8,548","±1,683","4.2%","±0.8","5,763","±1,321","5.5%","±1.3","152,002","±7,329","3.8%","±0.2","98,650","±7,254","4.0%","±0.3","9,966","±1,680","3.3%","±0.6","19,727","±3,445","4.6%","±0.8","101,867","±5,581","3.3%","±0.2","73,242","±5,624","4.6%","±0.4","28,154","±2,832","3.9%","±0.4","29,581","±2,679","4.1%","±0.4","54,153","±3,819","5.3%","±0.4","61,055","±4,707","5.5%","±0.4","17,284","±2,420","6.4%","±0.9","46,571","±3,904","3.5%","±0.3","63,423","±5,303","4.5%","±0.4","111,410","±5,098","4.9%","±0.2","48,562","±3,609","3.8%","±0.3","33,757","±3,328","4.5%","±0.4","63,709","±4,527","4.5%","±0.3","8,035","±1,380","3.6%","±0.6","15,963","±2,114","3.5%","±0.5","21,854","±3,363","3.3%","±0.5","12,982","±1,898","4.6%","±0.7","70,505","±4,869","3.5%","±0.2","17,717","±2,417","3.4%","±0.5","156,704","±7,255","3.7%","±0.2","98,633","±7,061","4.3%","±0.3","3,409","±771","2.3%","±0.5","127,808","±5,280","4.8%","±0.2","44,111","±2,982","4.7%","±0.3","40,389","±4,221","4.7%","±0.5","132,524","±6,231","4.8%","±0.2","7,353","±1,599","3.4%","±0.7","40,857","±3,862","3.8%","±0.4","6,440","±1,323","3.2%","±0.7","69,158","±4,881","4.6%","±0.3","272,565","±9,552","3.9%","±0.1","26,091","±3,210","3.0%","±0.4","7,092","±1,015","5.6%","±0.8","67,369","±4,650","3.6%","±0.3","68,665","±5,124","4.4%","±0.3","20,027","±2,215","5.2%","±0.6","60,438","±3,776","4.6%","±0.3","3,935","±991","2.9%","±0.7","","","",""
"    18 to 64 years","2,944,024","±3,977","2,944,024","(X)","454,580","±2,067","454,580","(X)","3,845,434","±2,591","3,845,434","(X)","1,763,728","±2,795","1,763,728","(X)","23,607,468","±7,064","23,607,468","(X)","3,238,825","±3,818","3,238,825","(X)","2,227,298","±1,874","2,227,298","(X)","557,777","±1,350","557,777","(X)","435,158","±685","435,158","(X)","11,468,487","±6,803","11,468,487","(X)","6,088,938","±6,669","6,088,938","(X)","823,708","±2,500","823,708","(X)","938,531","±1,951","938,531","(X)","8,014,095","±3,843","8,014,095","(X)","4,004,670","±3,345","4,004,670","(X)","1,861,411","±2,325","1,861,411","(X)","1,728,449","±2,696","1,728,449","(X)","2,690,030","±3,550","2,690,030","(X)","2,805,080","±2,938","2,805,080","(X)","834,021","±1,638","834,021","(X)","3,684,538","±3,236","3,684,538","(X)","4,223,139","±2,348","4,223,139","(X)","6,122,753","±2,913","6,122,753","(X)","3,340,333","±3,055","3,340,333","(X)","1,788,212","±2,701","1,788,212","(X)","3,671,075","±4,464","3,671,075","(X)","614,806","±1,751","614,806","(X)","1,117,300","±2,113","1,117,300","(X)","1,688,466","±2,915","1,688,466","(X)","847,734","±1,287","847,734","(X)","5,506,938","±2,591","5,506,938","(X)","1,252,249","±2,704","1,252,249","(X)","12,374,574","±4,580","12,374,574","(X)","5,939,488","±6,870","5,939,488","(X)","426,165","±1,397","426,165","(X)","7,101,086","±3,586","7,101,086","(X)","2,277,736","±2,520","2,277,736","(X)","2,428,380","±3,193","2,428,380","(X)","7,883,366","±3,839","7,883,366","(X)","670,434","±1,414","670,434","(X)","2,862,576","±3,810","2,862,576","(X)","491,514","±1,478","491,514","(X)","3,962,855","±5,343","3,962,855","(X)","15,623,903","±7,487","15,623,903","(X)","1,657,744","±2,389","1,657,744","(X)","404,163","±987","404,163","(X)","5,055,962","±6,159","5,055,962","(X)","4,297,899","±4,785","4,297,899","(X)","1,148,554","±2,444","1,148,554","(X)","3,549,651","±3,007","3,549,651","(X)","354,598","±1,340","354,598","(X)","","","",""
"    With a disability","433,042","±12,731","14.7%","±0.4","44,003","±3,001","9.7%","±0.7","375,002","±12,504","9.8%","±0.3","268,822","±7,459","15.2%","±0.4","1,879,561","±24,051","8.0%","±0.1","281,930","±8,240","8.7%","±0.3","185,373","±5,960","8.3%","±0.3","55,773","±4,053","10.0%","±0.7","36,735","±3,363","8.4%","±0.8","1,131,661","±20,511","9.9%","±0.2","663,904","±17,009","10.9%","±0.3","63,025","±4,591","7.7%","±0.6","100,818","±5,460","10.7%","±0.6","659,300","±13,068","8.2%","±0.2","459,135","±11,823","11.5%","±0.3","168,942","±6,208","9.1%","±0.3","181,978","±6,528","10.5%","±0.4","421,076","±9,469","15.7%","±0.4","384,372","±10,530","13.7%","±0.4","108,156","±5,123","13.0%","±0.6","305,903","±10,310","8.3%","±0.3","373,361","±10,583","8.8%","±0.3","749,714","±12,418","12.2%","±0.2","270,050","±8,033","8.1%","±0.2","264,876","±8,106","14.8%","±0.5","449,310","±11,326","12.2%","±0.3","67,840","±4,130","11.0%","±0.7","93,933","±3,999","8.4%","±0.4","166,295","±9,311","9.8%","±0.6","77,941","±5,282","9.2%","±0.6","412,949","±11,066","7.5%","±0.2","147,060","±7,422","11.7%","±0.6","1,062,862","±17,180","8.6%","±0.1","687,820","±14,672","11.6%","±0.2","33,678","±2,522","7.9%","±0.6","816,572","±12,921","11.5%","±0.2","322,232","±7,676","14.1%","±0.3","279,001","±10,301","11.5%","±0.4","862,369","±14,567","10.9%","±0.2","64,693","±4,133","9.6%","±0.6","351,739","±10,490","12.3%","±0.4","47,498","±3,486","9.7%","±0.7","546,248","±12,905","13.8%","±0.3","1,572,066","±24,719","10.1%","±0.2","133,893","±7,185","8.1%","±0.4","41,854","±2,405","10.4%","±0.6","458,657","±11,775","9.1%","±0.2","457,528","±10,748","10.6%","±0.3","198,721","±6,615","17.3%","±0.6","327,040","±8,285","9.2%","±0.2","36,302","±3,550","10.2%","±1.0","","","",""
"    65 years and over","653,918","±2,352","653,918","(X)","56,984","±1,124","56,984","(X)","911,016","±1,963","911,016","(X)","412,596","±2,012","412,596","(X)","4,301,855","±3,714","4,301,855","(X)","559,232","±2,003","559,232","(X)","493,061","±1,525","493,061","(X)","130,060","±874","130,060","(X)","67,695","±543","67,695","(X)","3,296,861","±5,344","3,296,861","(X)","1,046,087","±4,355","1,046,087","(X)","198,280","±861","198,280","(X)","200,050","±1,785","200,050","(X)","1,582,024","±3,046","1,582,024","(X)","819,338","±2,356","819,338","(X)","434,493","±1,295","434,493","(X)","363,870","±1,887","363,870","(X)","571,379","±2,575","571,379","(X)","550,695","±2,172","550,695","(X)","210,199","±1,108","210,199","(X)","707,552","±2,069","707,552","(X)","882,584","±1,873","882,584","(X)","1,350,022","±2,099","1,350,022","(X)","670,360","±1,576","670,360","(X)","374,027","±1,661","374,027","(X)","818,638","±2,904","818,638","(X)","146,306","±974","146,306","(X)","237,897","±1,267","237,897","(X)","336,164","±1,524","336,164","(X)","176,924","±920","176,924","(X)","1,167,877","±1,792","1,167,877","(X)","278,206","±1,510","278,206","(X)","2,563,735","±2,965","2,563,735","(X)","1,234,658","±3,484","1,234,658","(X)","92,407","±519","92,407","(X)","1,579,676","±2,823","1,579,676","(X)","498,739","±1,794","498,739","(X)","543,201","±2,119","543,201","(X)","1,901,650","±3,154","1,901,650","(X)","146,059","±826","146,059","(X)","637,179","±2,391","637,179","(X)","113,287","±970","113,287","(X)","851,717","±2,656","851,717","(X)","2,626,581","±5,122","2,626,581","(X)","254,092","±1,549","254,092","(X)","90,397","±578","90,397","(X)","982,121","±3,656","982,121","(X)","840,744","±3,076","840,744","(X)","292,629","±1,586","292,629","(X)","761,491","±2,057","761,491","(X)","69,640","±751","69,640","(X)","","","",""
"    With a disability","277,639","±5,687","42.5%","±0.9","24,219","±1,752","42.5%","±3.0","301,231","±8,229","33.1%","±0.9","177,930","±4,519","43.1%","±1.1","1,581,228","±17,800","36.8%","±0.4","189,417","±4,497","33.9%","±0.8","162,610","±5,163","33.0%","±1.0","43,338","±2,580","33.3%","±1.9","24,937","±2,118","36.8%","±3.1","1,136,372","±16,777","34.5%","±0.5","399,412","±9,071","38.2%","±0.8","68,005","±2,711","34.3%","±1.3","79,692","±3,900","39.8%","±1.9","556,140","±8,405","35.2%","±0.5","310,296","±6,866","37.9%","±0.8","145,546","±4,150","33.5%","±0.9","134,159","±3,993","36.9%","±1.1","245,125","±6,059","42.9%","±1.0","235,146","±5,704","42.7%","±1.0","77,949","±2,868","37.1%","±1.3","233,993","±5,597","33.1%","±0.8","300,964","±6,372","34.1%","±0.7","495,235","±7,207","36.7%","±0.5","214,290","±4,882","32.0%","±0.7","172,871","±5,221","46.2%","±1.4","309,451","±6,226","37.8%","±0.7","54,707","±2,500","37.4%","±1.7","80,018","±3,096","33.6%","±1.3","115,730","±4,774","34.4%","±1.4","60,735","±3,294","34.3%","±1.9","388,329","±6,731","33.3%","±0.6","112,020","±4,232","40.3%","±1.5","871,704","±13,100","34.0%","±0.5","470,664","±9,088","38.1%","±0.7","32,634","±1,933","35.3%","±2.1","572,830","±7,704","36.3%","±0.5","210,689","±4,922","42.2%","±1.0","203,628","±5,578","37.5%","±1.0","676,755","±8,369","35.6%","±0.5","51,194","±2,659","35.1%","±1.8","238,232","±5,870","37.4%","±0.9","40,049","±2,383","35.4%","±2.1","346,488","±7,382","40.7%","±0.9","1,061,785","±13,551","40.4%","±0.5","86,586","±3,493","34.1%","±1.4","31,354","±1,618","34.7%","±1.8","341,532","±6,444","34.8%","±0.6","313,554","±6,677","37.3%","±0.8","127,183","±3,469","43.5%","±1.2","249,663","±4,497","32.8%","±0.6","23,616","±1,642","33.9%","±2.4","","","",""
"RESIDENCE 1 YEAR AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over","4,745,278","±4,078","4,745,278","(X)","711,962","±1,401","711,962","(X)","6,402,301","±5,660","6,402,301","(X)","2,906,632","±2,928","2,906,632","(X)","37,222,678","±9,999","37,222,678","(X)","5,048,443","±4,037","5,048,443","(X)","3,548,667","±2,644","3,548,667","(X)","897,187","±1,369","897,187","(X)","611,608","±1,403","611,608","(X)","18,863,948","±8,536","18,863,948","(X)","9,699,859","±5,580","9,699,859","(X)","1,357,806","±1,803","1,357,806","(X)","1,559,637","±2,674","1,559,637","(X)","12,718,402","±5,792","12,718,402","(X)","6,437,155","±3,841","6,437,155","(X)","3,027,718","±2,514","3,027,718","(X)","2,833,584","±2,851","2,833,584","(X)","4,316,297","±3,382","4,316,297","(X)","4,518,629","±3,250","4,518,629","(X)","1,315,833","±1,456","1,315,833","(X)","5,759,087","±4,326","5,759,087","(X)","6,515,057","±3,680","6,515,057","(X)","9,766,574","±4,376","9,766,574","(X)","5,277,329","±3,380","5,277,329","(X)","2,943,021","±3,088","2,943,021","(X)","5,937,896","±4,110","5,937,896","(X)","987,076","±1,359","987,076","(X)","1,817,126","±2,304","1,817,126","(X)","2,688,336","±3,578","2,688,336","(X)","1,305,678","±2,046","1,305,678","(X)","8,719,952","±4,595","8,719,952","(X)","2,055,293","±2,718","2,055,293","(X)","19,248,685","±7,023","19,248,685","(X)","9,539,412","±5,364","9,539,412","(X)","675,161","±1,047","675,161","(X)","11,418,944","±4,418","11,418,944","(X)","3,742,698","±2,585","3,742,698","(X)","3,828,714","±3,857","3,828,714","(X)","12,610,486","±5,092","12,610,486","(X)","1,040,022","±1,440","1,040,022","(X)","4,624,180","±3,871","4,624,180","(X)","814,175","±1,297","814,175","(X)","6,333,466","±4,450","6,333,466","(X)","25,327,104","±10,987","25,327,104","(X)","2,769,627","±2,949","2,769,627","(X)","621,354","±940","621,354","(X)","7,996,552","±5,256","7,996,552","(X)","6,748,474","±4,248","6,748,474","(X)","1,836,614","±1,681","1,836,614","(X)","5,647,213","±2,653","5,647,213","(X)","561,389","±1,021","561,389","(X)","","","",""
"    Same house","4,024,442","±22,751","84.8%","±0.5","571,857","±8,892","80.3%","±1.2","5,107,496","±39,045","79.8%","±0.6","2,421,746","±18,606","83.3%","±0.6","31,213,310","±71,183","83.9%","±0.2","4,048,042","±22,888","80.2%","±0.4","3,139,496","±16,755","88.5%","±0.5","775,414","±8,584","86.4%","±1.0","489,659","±6,701","80.1%","±1.1","15,742,168","±59,355","83.5%","±0.3","8,095,407","±40,769","83.5%","±0.4","1,160,948","±10,743","85.5%","±0.8","1,284,530","±13,188","82.4%","±0.9","11,076,528","±31,383","87.1%","±0.2","5,478,683","±24,180","85.1%","±0.4","2,573,313","±16,682","85.0%","±0.5","2,372,033","±15,236","83.7%","±0.5","3,686,232","±19,523","85.4%","±0.4","3,865,118","±18,789","85.5%","±0.4","1,120,364","±10,400","85.1%","±0.8","5,008,452","±20,478","87.0%","±0.4","5,658,768","±20,357","86.9%","±0.3","8,340,767","±29,076","85.4%","±0.3","4,505,462","±20,788","85.4%","±0.4","2,534,036","±16,620","86.1%","±0.6","4,963,040","±26,160","83.6%","±0.4","828,254","±8,593","83.9%","±0.9","1,505,191","±11,978","82.8%","±0.7","2,084,668","±23,272","77.5%","±0.9","1,141,236","±9,064","87.4%","±0.7","7,825,661","±21,158","89.7%","±0.2","1,753,413","±15,690","85.3%","±0.8","17,055,260","±37,016","88.6%","±0.2","8,070,238","±36,924","84.6%","±0.4","559,906","±6,503","82.9%","±0.9","9,764,366","±32,087","85.5%","±0.3","3,089,041","±15,209","82.5%","±0.4","3,128,121","±20,096","81.7%","±0.5","11,099,077","±27,780","88.0%","±0.2","903,786","±8,645","86.9%","±0.8","3,899,705","±25,459","84.3%","±0.6","688,436","±7,824","84.6%","±0.9","5,342,978","±29,750","84.4%","±0.5","20,984,855","±65,490","82.9%","±0.3","2,295,961","±19,215","82.9%","±0.7","537,304","±5,021","86.5%","±0.8","6,789,620","±30,962","84.9%","±0.4","5,565,069","±27,197","82.5%","±0.4","1,609,110","±9,854","87.6%","±0.5","4,846,550","±18,735","85.8%","±0.3","462,808","±7,194","82.4%","±1.3","","","",""
"    Different house in the U.S.","706,019","±22,603","14.9%","±0.5","135,364","±8,618","19.0%","±1.2","1,251,243","±38,009","19.5%","±0.6","475,676","±18,075","16.4%","±0.6","5,739,596","±68,738","15.4%","±0.2","965,357","±22,175","19.1%","±0.4","388,385","±16,371","10.9%","±0.5","117,068","±8,370","13.0%","±0.9","114,585","±6,615","18.7%","±1.1","2,952,852","±61,014","15.7%","±0.3","1,560,527","±40,478","16.1%","±0.4","180,269","±10,063","13.3%","±0.7","268,770","±13,568","17.2%","±0.9","1,570,057","±30,223","12.3%","±0.2","937,032","±23,269","14.6%","±0.4","440,959","±16,200","14.6%","±0.5","446,422","±15,290","15.8%","±0.5","615,772","±19,659","14.3%","±0.5","637,829","±18,843","14.1%","±0.4","190,920","±9,986","14.5%","±0.8","707,874","±20,345","12.3%","±0.4","796,271","±19,521","12.2%","±0.3","1,382,075","±28,774","14.2%","±0.3","747,205","±19,953","14.2%","±0.4","401,445","±16,723","13.6%","±0.6","950,485","±26,171","16.0%","±0.4","155,763","±8,726","15.8%","±0.9","305,339","±12,050","16.8%","±0.7","590,662","±23,002","22.0%","±0.9","159,129","±9,208","12.2%","±0.7","833,574","±20,144","9.6%","±0.2","290,348","±15,303","14.1%","±0.7","2,038,314","±34,087","10.6%","±0.2","1,425,801","±35,961","14.9%","±0.4","112,347","±6,170","16.6%","±0.9","1,617,487","±31,962","14.2%","±0.3","637,376","±15,127","17.0%","±0.4","677,238","±20,895","17.7%","±0.5","1,458,855","±26,531","11.6%","±0.2","128,458","±8,503","12.4%","±0.8","704,310","±25,384","15.2%","±0.5","122,161","±7,547","15.0%","±0.9","965,525","±28,684","15.2%","±0.5","4,162,986","±66,409","16.4%","±0.3","459,201","±18,703","16.6%","±0.7","81,182","±4,987","13.1%","±0.8","1,146,881","±30,271","14.3%","±0.4","1,128,432","±26,804","16.7%","±0.4","222,330","±9,599","12.1%","±0.5","785,062","±19,084","13.9%","±0.3","97,299","±7,138","17.3%","±1.3","","","",""
"        Same county","439,576","±20,589","9.3%","±0.4","80,837","±7,416","11.4%","±1.0","901,151","±33,273","14.1%","±0.5","306,205","±14,598","10.5%","±0.5","4,208,649","±65,064","11.3%","±0.2","498,820","±18,637","9.9%","±0.4","249,933","±15,358","7.0%","±0.4","74,460","±6,664","8.3%","±0.7","66,519","±6,073","10.9%","±1.0","1,894,403","±49,038","10.0%","±0.3","817,043","±30,881","8.4%","±0.3","114,842","±8,455","8.5%","±0.6","156,205","±11,443","10.0%","±0.7","1,045,373","±26,343","8.2%","±0.2","584,958","±18,515","9.1%","±0.3","251,801","±12,084","8.3%","±0.4","269,241","±13,508","9.5%","±0.5","362,129","±16,676","8.4%","±0.4","382,398","±17,852","8.5%","±0.4","112,603","±7,884","8.6%","±0.6","405,707","±16,405","7.0%","±0.3","480,456","±16,656","7.4%","±0.3","870,635","±22,151","8.9%","±0.2","397,712","±14,328","7.5%","±0.3","223,623","±13,105","7.6%","±0.4","534,063","±21,872","9.0%","±0.4","89,498","±7,870","9.1%","±0.8","186,984","±10,070","10.3%","±0.6","457,255","±23,232","17.0%","±0.9","92,644","±6,640","7.1%","±0.5","511,371","±18,091","5.9%","±0.2","180,292","±12,370","8.8%","±0.6","1,288,178","±30,758","6.7%","±0.2","829,716","±28,985","8.7%","±0.3","58,236","±6,236","8.6%","±0.9","1,081,142","±27,336","9.5%","±0.2","370,872","±12,101","9.9%","±0.3","415,213","±18,498","10.8%","±0.5","918,155","±22,777","7.3%","±0.2","85,200","±7,372","8.2%","±0.7","406,813","±18,244","8.8%","±0.4","63,411","±5,410","7.8%","±0.7","597,067","±23,741","9.4%","±0.4","2,690,338","±58,652","10.6%","±0.2","289,717","±14,732","10.5%","±0.5","47,522","±3,934","7.6%","±0.6","520,631","±24,874","6.5%","±0.3","727,018","±24,146","10.8%","±0.4","127,615","±7,779","6.9%","±0.4","493,019","±16,361","8.7%","±0.3","51,315","±5,584","9.1%","±1.0","","","",""
