"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    65 years and over","743,274","±2,863","743,274","(X)","70,086","±1,161","70,086","(X)","1,107,887","±1,814","1,107,887","(X)","461,223","±1,744","461,223","(X)","5,094,631","±3,307","5,094,631","(X)","696,097","±2,574","696,097","(X)","543,412","±1,341","543,412","(X)","156,750","±724","156,750","(X)","73,677","±900","73,677","(X)","3,878,581","±4,401","3,878,581","(X)","1,270,304","±3,864","1,270,304","(X)","232,866","±722","232,866","(X)","239,003","±1,908","239,003","(X)","1,765,021","±3,230","1,765,021","(X)","929,091","±2,551","929,091","(X)","477,527","±1,744","477,527","(X)","407,106","±1,936","407,106","(X)","651,569","±2,463","651,569","(X)","631,982","±2,785","631,982","(X)","243,336","±1,154","243,336","(X)","823,583","±2,139","823,583","(X)","1,005,729","±1,975","1,005,729","(X)","1,533,234","±2,177","1,533,234","(X)","774,084","±1,860","774,084","(X)","428,426","±2,079","428,426","(X)","913,999","±2,474","913,999","(X)","174,170","±1,183","174,170","(X)","266,746","±1,573","266,746","(X)","417,738","±1,327","417,738","(X)","210,350","±969","210,350","(X)","1,303,519","±2,475","1,303,519","(X)","325,540","±2,038","325,540","(X)","2,870,378","±3,440","2,870,378","(X)","1,473,471","±3,957","1,473,471","(X)","101,473","±800","101,473","(X)","1,770,169","±2,765","1,770,169","(X)","557,971","±2,143","557,971","(X)","650,591","±1,712","650,591","(X)","2,101,626","±2,717","2,101,626","(X)","162,821","±1,128","162,821","(X)","776,587","±2,246","776,587","(X)","128,069","±1,515","128,069","(X)","988,284","±3,174","988,284","(X)","3,135,425","±5,075","3,135,425","(X)","304,002","±1,669","304,002","(X)","106,423","±653","106,423","(X)","1,162,216","±3,478","1,162,216","(X)","1,016,089","±2,383","1,016,089","(X)","327,764","±1,481","327,764","(X)","872,718","±2,166","872,718","(X)","80,404","±927","80,404","(X)","","","",""
"        With a disability","307,697","±6,344","41.4%","±0.8","27,762","±1,715","39.6%","±2.4","386,978","±7,693","34.9%","±0.7","195,154","±4,831","42.3%","±1.1","1,799,169","±15,474","35.3%","±0.3","227,761","±5,442","32.7%","±0.8","168,413","±5,021","31.0%","±0.9","49,375","±2,458","31.5%","±1.6","25,462","±1,714","34.6%","±2.3","1,301,252","±14,416","33.5%","±0.4","463,669","±8,364","36.5%","±0.7","76,798","±3,552","33.0%","±1.5","88,339","±4,064","37.0%","±1.6","593,861","±8,118","33.6%","±0.4","350,742","±6,822","37.8%","±0.7","156,308","±3,778","32.7%","±0.8","148,502","±4,502","36.5%","±1.1","265,070","±5,784","40.7%","±0.9","251,557","±6,251","39.8%","±0.9","82,862","±2,874","34.1%","±1.2","261,902","±5,514","31.8%","±0.7","330,201","±6,396","32.8%","±0.7","543,292","±6,757","35.4%","±0.4","247,627","±4,567","32.0%","±0.6","182,348","±5,215","42.6%","±1.2","339,024","±6,906","37.1%","±0.8","59,889","±2,569","34.4%","±1.5","89,690","±2,930","33.6%","±1.1","146,865","±4,804","35.2%","±1.1","68,673","±3,404","32.6%","±1.6","424,457","±6,724","32.6%","±0.5","132,241","±4,404","40.6%","±1.3","959,310","±12,683","33.4%","±0.4","538,438","±8,412","36.5%","±0.6","36,380","±1,858","35.9%","±1.8","612,287","±8,398","34.6%","±0.5","230,237","±4,464","41.3%","±0.8","244,593","±5,573","37.6%","±0.8","722,681","±10,090","34.4%","±0.5","55,981","±3,432","34.4%","±2.1","290,125","±6,301","37.4%","±0.8","41,697","±1,912","32.6%","±1.5","392,182","±8,319","39.7%","±0.8","1,208,024","±15,201","38.5%","±0.5","107,434","±3,761","35.3%","±1.2","35,724","±1,922","33.6%","±1.8","381,141","±8,645","32.8%","±0.7","363,543","±7,500","35.8%","±0.7","142,559","±4,083","43.5%","±1.2","276,613","±5,478","31.7%","±0.6","29,105","±2,180","36.2%","±2.6","","","",""
"RESIDENCE 1 YEAR AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over","4,801,599","±3,420","4,801,599","(X)","727,862","±1,356","727,862","(X)","6,747,595","±4,243","6,747,595","(X)","2,938,341","±3,200","2,938,341","(X)","38,675,135","±11,051","38,675,135","(X)","5,393,067","±3,719","5,393,067","(X)","3,554,844","±3,252","3,554,844","(X)","935,813","±1,401","935,813","(X)","663,006","±1,528","663,006","(X)","20,068,392","±6,492","20,068,392","(X)","10,088,525","±6,934","10,088,525","(X)","1,414,355","±1,729","1,414,355","(X)","1,635,366","±2,042","1,635,366","(X)","12,706,393","±5,951","12,706,393","(X)","6,540,691","±4,312","6,540,691","(X)","3,081,446","±2,995","3,081,446","(X)","2,875,640","±2,522","2,875,640","(X)","4,373,403","±3,381","4,373,403","(X)","4,612,024","±4,460","4,612,024","(X)","1,317,444","±1,397","1,317,444","(X)","5,934,005","±4,398","5,934,005","(X)","6,725,678","±3,740","6,725,678","(X)","9,811,416","±4,125","9,811,416","(X)","5,419,822","±3,620","5,419,822","(X)","2,959,289","±2,681","2,959,289","(X)","6,015,580","±3,399","6,015,580","(X)","1,019,646","±1,426","1,019,646","(X)","1,869,217","±1,976","1,869,217","(X)","2,859,489","±2,806","2,859,489","(X)","1,318,121","±1,867","1,318,121","(X)","8,854,363","±4,962","8,854,363","(X)","2,060,441","±2,662","2,060,441","(X)","19,570,171","±7,771","19,570,171","(X)","9,927,547","±5,134","9,927,547","(X)","745,291","±1,249","745,291","(X)","11,482,142","±4,883","11,482,142","(X)","3,864,908","±2,978","3,864,908","(X)","3,985,712","±3,006","3,985,712","(X)","12,662,192","±5,055","12,662,192","(X)","1,045,062","±1,593","1,045,062","(X)","4,839,984","±3,503","4,839,984","(X)","848,285","±1,092","848,285","(X)","6,522,259","±4,265","6,522,259","(X)","27,092,848","±11,293","27,092,848","(X)","2,947,423","±3,093","2,947,423","(X)","619,952","±781","619,952","(X)","8,283,737","±4,532","8,283,737","(X)","7,089,143","±3,701","7,089,143","(X)","1,823,753","±2,120","1,823,753","(X)","5,708,201","±3,093","5,708,201","(X)","579,102","±1,256","579,102","(X)","","","",""
"        Same house","4,113,945","±22,379","85.7%","±0.5","582,909","±9,527","80.1%","±1.3","5,536,087","±26,178","82.0%","±0.4","2,440,359","±17,443","83.1%","±0.6","33,446,324","±47,467","86.5%","±0.1","4,404,058","±21,899","81.7%","±0.4","3,109,580","±17,815","87.5%","±0.5","800,701","±9,561","85.6%","±1.0","525,024","±7,553","79.2%","±1.1","16,832,374","±48,927","83.9%","±0.2","8,489,689","±34,028","84.2%","±0.3","1,206,066","±10,201","85.3%","±0.7","1,333,758","±15,568","81.6%","±0.9","11,029,917","±29,927","86.8%","±0.2","5,527,512","±24,338","84.5%","±0.4","2,598,298","±16,346","84.3%","±0.5","2,405,677","±14,673","83.7%","±0.5","3,706,705","±22,052","84.8%","±0.5","4,007,364","±20,659","86.9%","±0.4","1,127,394","±9,359","85.6%","±0.7","5,076,791","±24,604","85.6%","±0.4","5,893,936","±18,618","87.6%","±0.3","8,394,658","±25,486","85.6%","±0.3","4,618,325","±19,800","85.2%","±0.4","2,554,660","±15,529","86.3%","±0.5","5,056,661","±24,391","84.1%","±0.4","855,861","±9,601","83.9%","±0.9","1,570,592","±11,472","84.0%","±0.6","2,291,842","±18,502","80.1%","±0.6","1,134,482","±9,193","86.1%","±0.7","7,987,859","±26,012","90.2%","±0.3","1,767,704","±12,817","85.8%","±0.6","17,506,652","±32,943","89.5%","±0.2","8,376,304","±32,816","84.4%","±0.3","608,377","±7,924","81.6%","±1.1","9,719,944","±31,583","84.7%","±0.3","3,202,689","±16,599","82.9%","±0.4","3,277,453","±19,786","82.2%","±0.5","11,109,753","±32,343","87.7%","±0.2","901,338","±9,189","86.2%","±0.9","4,106,166","±20,224","84.8%","±0.4","702,122","±7,738","82.8%","±0.9","5,535,963","±28,320","84.9%","±0.4","22,723,345","±58,176","83.9%","±0.2","2,435,722","±19,625","82.6%","±0.6","532,319","±5,199","85.9%","±0.8","6,952,362","±28,986","83.9%","±0.3","5,778,806","±28,406","81.5%","±0.4","1,610,407","±10,957","88.3%","±0.6","4,891,636","±19,111","85.7%","±0.3","474,927","±7,256","82.0%","±1.3","","","",""
"        Different house in the U.S.","675,895","±21,571","14.1%","±0.5","140,465","±9,525","19.3%","±1.3","1,164,192","±26,981","17.3%","±0.4","488,946","±17,214","16.6%","±0.6","4,892,144","±44,594","12.6%","±0.1","955,522","±21,822","17.7%","±0.4","417,123","±17,145","11.7%","±0.5","130,504","±9,307","13.9%","±1.0","127,093","±7,227","19.2%","±1.1","3,023,766","±46,381","15.1%","±0.2","1,542,332","±34,369","15.3%","±0.3","190,538","±10,123","13.5%","±0.7","292,600","±14,585","17.9%","±0.9","1,609,657","±29,676","12.7%","±0.2","990,739","±24,319","15.1%","±0.4","472,402","±14,832","15.3%","±0.5","452,055","±14,042","15.7%","±0.5","650,729","±21,417","14.9%","±0.5","589,544","±20,272","12.8%","±0.4","186,394","±9,316","14.1%","±0.7","807,682","±22,683","13.6%","±0.4","767,001","±19,188","11.4%","±0.3","1,371,941","±25,385","14.0%","±0.3","769,859","±19,510","14.2%","±0.4","397,205","±15,928","13.4%","±0.5","936,213","±23,722","15.6%","±0.4","160,960","±9,501","15.8%","±0.9","289,167","±11,163","15.5%","±0.6","549,830","±18,376","19.2%","±0.6","175,888","±9,434","13.3%","±0.7","800,644","±23,767","9.0%","±0.3","283,856","±12,325","13.8%","±0.6","1,910,879","±31,875","9.8%","±0.2","1,504,769","±34,461","15.2%","±0.3","133,116","±7,672","17.9%","±1.0","1,712,364","±30,472","14.9%","±0.3","643,854","±16,089","16.7%","±0.4","685,938","±19,443","17.2%","±0.5","1,491,255","±31,254","11.8%","±0.2","136,066","±9,362","13.0%","±0.9","713,854","±20,637","14.7%","±0.4","143,305","±7,595","16.9%","±0.9","962,447","±27,765","14.8%","±0.4","4,147,314","±55,983","15.3%","±0.2","488,010","±18,377","16.6%","±0.6","83,299","±5,168","13.4%","±0.8","1,261,284","±28,335","15.2%","±0.3","1,248,128","±26,926","17.6%","±0.4","209,709","±10,462","11.5%","±0.6","796,817","±18,682","14.0%","±0.3","101,331","±7,263","17.5%","±1.3","","","",""
"            Same county","410,330","±17,741","8.5%","±0.4","86,474","±8,425","11.9%","±1.2","798,972","±24,968","11.8%","±0.4","292,271","±16,473","9.9%","±0.6","3,314,066","±42,939","8.6%","±0.1","464,316","±16,451","8.6%","±0.3","262,279","±13,041","7.4%","±0.4","73,579","±6,942","7.9%","±0.7","67,188","±5,688","10.1%","±0.9","1,806,706","±41,989","9.0%","±0.2","782,139","±28,132","7.8%","±0.3","128,513","±8,991","9.1%","±0.6","168,437","±11,566","10.3%","±0.7","1,071,716","±27,137","8.4%","±0.2","604,567","±19,966","9.2%","±0.3","266,954","±10,527","8.7%","±0.3","262,126","±11,676","9.1%","±0.4","364,754","±17,856","8.3%","±0.4","354,502","±15,741","7.7%","±0.3","114,604","±7,565","8.7%","±0.6","460,769","±19,551","7.8%","±0.3","443,952","±16,734","6.6%","±0.2","880,599","±20,468","9.0%","±0.2","412,063","±14,616","7.6%","±0.3","224,885","±15,201","7.6%","±0.5","517,740","±17,634","8.6%","±0.3","84,149","±6,431","8.3%","±0.6","169,131","±8,461","9.0%","±0.5","389,068","±16,973","13.6%","±0.6","96,633","±7,513","7.3%","±0.6","461,956","±19,415","5.2%","±0.2","181,082","±11,260","8.8%","±0.5","1,172,634","±28,807","6.0%","±0.1","834,982","±23,110","8.4%","±0.2","66,059","±6,573","8.9%","±0.9","1,108,440","±29,193","9.7%","±0.3","363,628","±14,605","9.4%","±0.4","401,167","±16,395","10.1%","±0.4","925,181","±24,768","7.3%","±0.2","81,188","±7,538","7.8%","±0.7","391,364","±15,803","8.1%","±0.3","73,424","±5,730","8.7%","±0.7","559,000","±20,070","8.6%","±0.3","2,522,075","±48,670","9.3%","±0.2","302,104","±15,761","10.2%","±0.5","47,340","±4,334","7.6%","±0.7","564,790","±20,740","6.8%","±0.3","776,027","±24,282","10.9%","±0.3","114,561","±7,759","6.3%","±0.4","492,210","±15,704","8.6%","±0.3","48,368","±5,834","8.4%","±1.0","","","",""
"            Different county","265,565","±12,300","5.5%","±0.3","53,991","±5,139","7.4%","±0.7","365,220","±13,092","5.4%","±0.2","196,675","±11,003","6.7%","±0.4","1,578,078","±33,741","4.1%","±0.1","491,206","±16,805","9.1%","±0.3","154,844","±10,299","4.4%","±0.3","56,925","±5,614","6.1%","±0.6","59,905","±4,750","9.0%","±0.7","1,217,060","±28,051","6.1%","±0.1","760,193","±22,032","7.5%","±0.2","62,025","±5,244","4.4%","±0.4","124,163","±8,360","7.6%","±0.5","537,941","±17,133","4.2%","±0.1","386,172","±14,954","5.9%","±0.2","205,448","±11,789","6.7%","±0.4","189,929","±9,536","6.6%","±0.3","285,975","±11,745","6.5%","±0.3","235,042","±11,415","5.1%","±0.2","71,790","±5,838","5.4%","±0.4","346,913","±14,014","5.8%","±0.2","323,049","±12,516","4.8%","±0.2","491,342","±15,482","5.0%","±0.2","357,796","±12,321","6.6%","±0.2","172,320","±9,667","5.8%","±0.3","418,473","±13,219","7.0%","±0.2","76,811","±7,264","7.5%","±0.7","120,036","±6,453","6.4%","±0.3","160,762","±10,709","5.6%","±0.4","79,255","±5,954","6.0%","±0.5","338,688","±12,848","3.8%","±0.1","102,774","±6,886","5.0%","±0.3","738,245","±18,326","3.8%","±0.1","669,787","±22,476","6.7%","±0.2","67,057","±5,680","9.0%","±0.8","603,924","±16,968","5.3%","±0.1","280,226","±10,543","7.3%","±0.3","284,771","±11,700","7.1%","±0.3","566,074","±18,352","4.5%","±0.1","54,878","±5,323","5.3%","±0.5","322,490","±13,616","6.7%","±0.3","69,881","±5,296","8.2%","±0.6","403,447","±15,908","6.2%","±0.2","1,625,239","±31,484","6.0%","±0.1","185,906","±11,727","6.3%","±0.4","35,959","±3,178","5.8%","±0.5","696,494","±20,769","8.4%","±0.3","472,101","±16,910","6.7%","±0.2","95,148","±7,140","5.2%","±0.4","304,607","±10,335","5.3%","±0.2","52,963","±5,368","9.1%","±0.9","","","",""
"                Same state","150,689","±9,422","3.1%","±0.2","19,295","±2,193","2.7%","±0.3","111,939","±7,650","1.7%","±0.1","115,081","±8,813","3.9%","±0.3","1,063,601","±25,940","2.8%","±0.1","263,761","±11,832","4.9%","±0.2","77,847","±8,338","2.2%","±0.2","12,430","±2,521","1.3%","±0.3","0","±200","0.0%","±0.1","632,122","±20,497","3.1%","±0.1","476,868","±15,082","4.7%","±0.1","8,283","±2,581","0.6%","±0.2","50,354","±5,849","3.1%","±0.4","328,113","±12,954","2.6%","±0.1","238,643","±11,224","3.6%","±0.2","119,511","±8,365","3.9%","±0.3","98,589","±6,591","3.4%","±0.2","179,057","±9,240","4.1%","±0.2","141,721","±9,236","3.1%","±0.2","41,667","±4,921","3.2%","±0.4","178,019","±10,050","3.0%","±0.2","190,407","±10,007","2.8%","±0.1","348,703","±12,400","3.6%","±0.1","249,320","±10,106","4.6%","±0.2","102,969","±8,155","3.5%","±0.3","259,321","±11,709","4.3%","±0.2","34,051","±4,192","3.3%","±0.4","67,086","±5,189","3.6%","±0.3","24,763","±3,199","0.9%","±0.1","25,809","±3,063","2.0%","±0.2","194,614","±10,765","2.2%","±0.1","47,021","±4,804","2.3%","±0.2","480,634","±13,330","2.5%","±0.1","359,175","±14,429","3.6%","±0.1","24,439","±2,747","3.3%","±0.4","400,449","±15,604","3.5%","±0.1","169,348","±7,506","4.4%","±0.2","143,609","±8,633","3.6%","±0.2","333,391","±12,932","2.6%","±0.1","16,534","±3,029","1.6%","±0.3","152,124","±9,534","3.1%","±0.2","42,919","±4,091","5.1%","±0.5","207,524","±11,652","3.2%","±0.2","1,072,207","±27,289","4.0%","±0.1","88,545","±8,627","3.0%","±0.3","14,727","±2,160","2.4%","±0.3","418,779","±17,307","5.1%","±0.2","241,194","±13,185","3.4%","±0.2","53,070","±5,177","2.9%","±0.3","198,096","±6,920","3.5%","±0.1","17,016","±2,927","2.9%","±0.5","","","",""
"                Different state","114,876","±8,513","2.4%","±0.2","34,696","±4,503","4.8%","±0.6","253,281","±12,395","3.8%","±0.2","81,594","±7,126","2.8%","±0.2","514,477","±19,053","1.3%","±0.1","227,445","±12,112","4.2%","±0.2","76,997","±6,705","2.2%","±0.2","44,495","±5,586","4.8%","±0.6","59,905","±4,750","9.0%","±0.7","584,938","±21,044","2.9%","±0.1","283,325","±17,018","2.8%","±0.2","53,742","±4,403","3.8%","±0.3","73,809","±7,373","4.5%","±0.5","209,828","±10,119","1.7%","±0.1","147,529","±10,054","2.3%","±0.2","85,937","±7,418","2.8%","±0.2","91,340","±7,226","3.2%","±0.3","106,918","±8,171","2.4%","±0.2","93,321","±7,854","2.0%","±0.2","30,123","±2,991","2.3%","±0.2","168,894","±10,301","2.8%","±0.2","132,642","±7,404","2.0%","±0.1","142,639","±8,234","1.5%","±0.1","108,476","±7,030","2.0%","±0.1","69,351","±6,816","2.3%","±0.2","159,152","±8,254","2.6%","±0.1","42,760","±6,511","4.2%","±0.6","52,950","±4,461","2.8%","±0.2","135,999","±9,981","4.8%","±0.3","53,446","±5,177","4.1%","±0.4","144,074","±8,425","1.6%","±0.1","55,753","±5,781","2.7%","±0.3","257,611","±10,637","1.3%","±0.1","310,612","±15,103","3.1%","±0.2","42,618","±5,171","5.7%","±0.7","203,475","±10,154","1.8%","±0.1","110,878","±6,734","2.9%","±0.2","141,162","±7,834","3.5%","±0.2","232,683","±11,644","1.8%","±0.1","38,344","±4,294","3.7%","±0.4","170,366","±10,880","3.5%","±0.2","26,962","±3,687","3.2%","±0.4","195,923","±11,637","3.0%","±0.2","553,032","±19,120","2.0%","±0.1","97,361","±7,413","3.3%","±0.3","21,232","±2,519","3.4%","±0.4","277,715","±12,444","3.4%","±0.2","230,907","±11,515","3.3%","±0.2","42,078","±4,511","2.3%","±0.2","106,511","±8,097","1.9%","±0.1","35,947","±4,840","6.2%","±0.8","","","",""
"        Abroad","11,759","±2,403","0.2%","±0.1","4,488","±1,282","0.6%","±0.2","47,316","±5,688","0.7%","±0.1","9,036","±2,094","0.3%","±0.1","336,667","±16,275","0.9%","±0.1","33,487","±3,701","0.6%","±0.1","28,141","±3,996","0.8%","±0.1","4,608","±1,492","0.5%","±0.2","10,889","±3,045","1.6%","±0.5","212,252","±13,881","1.1%","±0.1","56,504","±6,654","0.6%","±0.1","17,751","±3,472","1.3%","±0.2","9,008","±2,615","0.6%","±0.2","66,819","±5,622","0.5%","±0.1","22,440","±3,730","0.3%","±0.1","10,746","±2,176","0.3%","±0.1","17,908","±3,502","0.6%","±0.1","15,969","±3,239","0.4%","±0.1","15,116","±2,842","0.3%","±0.1","3,656","±990","0.3%","±0.1","49,532","±4,940","0.8%","±0.1","64,741","±6,266","1.0%","±0.1","44,817","±5,346","0.5%","±0.1","31,638","±4,705","0.6%","±0.1","7,424","±1,551","0.3%","±0.1","22,706","±2,811","0.4%","±0.1","2,825","±986","0.3%","±0.1","9,458","±1,447","0.5%","±0.1","17,817","±2,686","0.6%","±0.1","7,751","±1,908","0.6%","±0.1","65,860","±6,182","0.7%","±0.1","8,881","±1,917","0.4%","±0.1","152,640","±10,397","0.8%","±0.1","46,474","±4,415","0.5%","±0.1","3,798","±1,097","0.5%","±0.1","49,834","±5,647","0.4%","±0.1","18,365","±3,244","0.5%","±0.1","22,321","±3,833","0.6%","±0.1","61,184","±5,651","0.5%","±0.1","7,658","±2,447","0.7%","±0.2","19,964","±3,530","0.4%","±0.1","2,858","±1,416","0.3%","±0.2","23,849","±3,901","0.4%","±0.1","222,189","±13,283","0.8%","±0.1","23,691","±2,638","0.8%","±0.1","4,334","±1,885","0.7%","±0.3","70,091","±6,318","0.8%","±0.1","62,209","±7,091","0.9%","±0.1","3,637","±1,269","0.2%","±0.1","19,748","±3,327","0.3%","±0.1","2,844","±1,277","0.5%","±0.2","","","",""
"PLACE OF BIRTH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,858,979","*****","4,858,979","(X)","738,432","*****","738,432","(X)","6,828,065","*****","6,828,065","(X)","2,978,204","*****","2,978,204","(X)","39,144,818","*****","39,144,818","(X)","5,456,574","*****","5,456,574","(X)","3,590,886","*****","3,590,886","(X)","945,934","*****","945,934","(X)","672,228","*****","672,228","(X)","20,271,272","*****","20,271,272","(X)","10,214,860","*****","10,214,860","(X)","1,431,603","*****","1,431,603","(X)","1,654,930","*****","1,654,930","(X)","12,859,995","*****","12,859,995","(X)","6,619,680","*****","6,619,680","(X)","3,123,899","*****","3,123,899","(X)","2,911,641","*****","2,911,641","(X)","4,425,092","*****","4,425,092","(X)","4,670,724","*****","4,670,724","(X)","1,329,328","*****","1,329,328","(X)","6,006,401","*****","6,006,401","(X)","6,794,422","*****","6,794,422","(X)","9,922,576","*****","9,922,576","(X)","5,489,594","*****","5,489,594","(X)","2,992,333","*****","2,992,333","(X)","6,083,672","*****","6,083,672","(X)","1,032,949","*****","1,032,949","(X)","1,896,190","*****","1,896,190","(X)","2,890,845","*****","2,890,845","(X)","1,330,608","*****","1,330,608","(X)","8,958,013","*****","8,958,013","(X)","2,085,109","*****","2,085,109","(X)","19,795,791","*****","19,795,791","(X)","10,042,802","*****","10,042,802","(X)","756,928","*****","756,928","(X)","11,613,423","*****","11,613,423","(X)","3,911,338","*****","3,911,338","(X)","4,028,977","*****","4,028,977","(X)","12,802,503","*****","12,802,503","(X)","1,056,298","*****","1,056,298","(X)","4,896,146","*****","4,896,146","(X)","858,469","*****","858,469","(X)","6,600,299","*****","6,600,299","(X)","27,469,114","*****","27,469,114","(X)","2,995,919","*****","2,995,919","(X)","626,042","*****","626,042","(X)","8,382,993","*****","8,382,993","(X)","7,170,351","*****","7,170,351","(X)","1,844,128","*****","1,844,128","(X)","5,771,337","*****","5,771,337","(X)","586,107","*****","586,107","(X)","","","",""
"        Native","4,689,007","±7,267","96.5%","±0.1","679,888","±4,089","92.1%","±0.6","5,913,665","±15,780","86.6%","±0.2","2,835,363","±5,470","95.2%","±0.2","28,456,482","±47,464","72.7%","±0.1","4,919,508","±13,583","90.2%","±0.2","3,071,238","±14,163","85.5%","±0.4","858,425","±5,462","90.7%","±0.6","577,111","±5,695","85.9%","±0.8","16,185,032","±42,279","79.8%","±0.2","9,191,143","±16,327","90.0%","±0.2","1,178,189","±8,901","82.3%","±0.6","1,560,566","±5,556","94.3%","±0.3","11,033,839","±22,081","85.8%","±0.2","6,298,372","±8,167","95.1%","±0.1","2,975,178","±5,960","95.2%","±0.2","2,705,921","±7,842","92.9%","±0.3","4,267,756","±8,192","96.4%","±0.2","4,484,355","±8,016","96.0%","±0.2","1,284,634","±3,899","96.6%","±0.3","5,094,819","±14,920","84.8%","±0.2","5,698,469","±18,149","83.9%","±0.3","9,270,486","±14,179","93.4%","±0.1","5,032,409","±10,800","91.7%","±0.2","2,920,075","±5,209","97.6%","±0.2","5,840,911","±8,048","96.0%","±0.1","1,011,593","±1,943","97.9%","±0.2","1,767,800","±5,263","93.2%","±0.3","2,332,675","±12,420","80.7%","±0.4","1,250,649","±4,819","94.0%","±0.4","6,980,688","±21,383","77.9%","±0.2","1,888,154","±8,679","90.6%","±0.4","15,265,704","±37,087","77.1%","±0.2","9,248,118","±13,171","92.1%","±0.1","728,279","±2,606","96.2%","±0.3","11,109,512","±14,696","95.7%","±0.1","3,675,988","±7,159","94.0%","±0.2","3,631,684","±11,831","90.1%","±0.3","11,965,344","±17,094","93.5%","±0.1","913,974","±6,027","86.5%","±0.6","4,663,397","±7,074","95.2%","±0.1","830,624","±2,921","96.8%","±0.3","6,268,729","±11,356","95.0%","±0.2","22,797,819","±41,267","83.0%","±0.2","2,751,452","±7,430","91.8%","±0.2","597,795","±3,170","95.5%","±0.5","7,364,367","±14,693","87.8%","±0.2","6,190,193","±17,106","86.3%","±0.2","1,814,606","±3,378","98.4%","±0.2","5,492,356","±9,463","95.2%","±0.2","564,108","±3,551","96.2%","±0.6","","","",""
"            Born in United States","4,652,805","±7,008","95.8%","±0.1","663,601","±4,479","89.9%","±0.6","5,814,924","±16,854","85.2%","±0.2","2,812,921","±6,584","94.5%","±0.2","27,936,009","±48,438","71.4%","±0.1","4,833,570","±14,539","88.6%","±0.3","2,942,217","±13,886","81.9%","±0.4","845,668","±5,760","89.4%","±0.6","564,275","±5,716","83.9%","±0.9","15,456,521","±40,764","76.2%","±0.2","9,054,433","±19,408","88.6%","±0.2","1,130,144","±9,738","78.9%","±0.7","1,546,454","±5,915","93.4%","±0.4","10,888,812","±22,068","84.7%","±0.2","6,254,404","±8,794","94.5%","±0.1","2,958,186","±5,927","94.7%","±0.2","2,680,205","±8,145","92.1%","±0.3","4,239,221","±8,589","95.8%","±0.2","4,455,196","±8,507","95.4%","±0.2","1,271,227","±4,263","95.6%","±0.3","5,006,852","±15,113","83.4%","±0.3","5,507,682","±17,119","81.1%","±0.3","9,197,586","±14,080","92.7%","±0.1","4,992,115","±11,289","90.9%","±0.2","2,899,169","±6,394","96.9%","±0.2","5,791,884","±8,609","95.2%","±0.1","1,003,265","±2,482","97.1%","±0.2","1,751,693","±5,603","92.4%","±0.3","2,278,901","±13,065","78.8%","±0.5","1,236,040","±5,183","92.9%","±0.4","6,772,484","±20,808","75.6%","±0.2","1,864,070","±8,439","89.4%","±0.4","14,757,506","±36,751","74.5%","±0.2","9,133,848","±13,008","90.9%","±0.1","721,972","±2,721","95.4%","±0.4","11,008,918","±14,871","94.8%","±0.1","3,635,292","±8,304","92.9%","±0.2","3,584,625","±12,706","89.0%","±0.3","11,757,150","±16,281","91.8%","±0.1","888,618","±6,286","84.1%","±0.6","4,611,145","±8,683","94.2%","±0.2","825,548","±3,201","96.2%","±0.4","6,210,162","±10,972","94.1%","±0.2","22,407,069","±44,051","81.6%","±0.2","2,723,535","±8,208","90.9%","±0.3","590,845","±3,063","94.4%","±0.5","7,210,499","±14,404","86.0%","±0.2","6,058,337","±18,012","84.5%","±0.3","1,804,385","±3,698","97.8%","±0.2","5,447,917","±9,039","94.4%","±0.2","560,039","±3,736","95.6%","±0.6","","","",""
